Gene names	Intensity L Diaphragm
17196	150285.714286
69187	10669.4285714
12954	1561224.4898
11354	9771.42857143
14077	47443609.0226
12961	221142.857143
12889	82000.0
12955	31942857.1429
380684	37981.6513761
226180	22222.2222222
18039	441988.950276
17189	118857142.857
12960	12470.2857143
110187	1748.68571429
20617	121428.571429
18823	2011.05714286
12962	15080.0
19194	7712.28571429
G3UXD0	10499.4285714
12373	7457142.85714
21956	242857.142857
70350	1831.85714286
22349	74365.1753325
218038	4447.37609329
21954	19752.6066351
66473	68060.8365019
19752	70469.7986577
11723	322857.142857
21924	5956521.73913
68416	9793.71428571
16204	274218.75
19660	45714.2857143
22003	10845070.4225
22072	39586.1788618
282619	8570.28571429
12716	156698.564593
19293	2265714.28571
17906	38373493.9759
12409	210655.737705
227120	3971428.57143
56727	6746.66666667
109901	9971.80451128
12613	28881.4691152
12307	23507.4285714
12308	32571.4285714
12970	19792.2857143
22227	6636.15635179
59006	1597142.85714
109697	34606.2052506
55948	29151.2096774
215384	12759.1428571
13706	26075.2767528
26950	33428.5714286
16618	665.287356322
18378	7474.57142857
12797	83714.2857143
12957	25805.4285714
22287	37142.8571429
16612	25844.4444444
14120	228908.554572
17897	18676470.5882
22074	47714.2857143
29818	1260355.02959
107753	135384.615385
140781	5684754.52196
22004	45422535.2113
12652	4102.0
69117	2392.05714286
21345	582857.142857
76703	87428.5714286
18040	343160.377358
17888	5469556.24355
14580	558139.534884
233335	155028.827675
18946	45877.3784355
20259	11662.6573427
17901	89893617.0213
23795	40857.1428571
56370	9937.14285714
11847	22798.0225989
17287	2216.46586345
69191	258064.516129
66284	8386.57142857
17907	108284023.669
106393	15628571.4286
18645	230714.285714
53318	149142.857143
22003	94366197.1831
11770	9469696.9697
69060	11338.2795699
59290	215.2
68738	195014.662757
20215	3206.57142857
20618	28857.1428571
17896	11767.8756477
99709	164.965714286
21953	36538461.5385
11636	41185567.0103
17075	1117.14285714
16855	15626.0736196
67041	2076923.07692
67931	25418.2857143
66283	14316.8571429
12346	227969.348659
12180	1187755.10204
76722	9164677.8043
103968	31141.1992263
12865	10737500.0
380683	6582.0
12709	367454.068241
12036	798982.188295
18951	5742.27642276
16765	29560.4026846
19701	6621.39303483
11475	58620689.6552
59011	5314285.71429
19285	2431428.57143
11754	7404.70588235
236539	30769.2307692
17756	5579.86870897
11472	9630872.48322
20200	340000.0
22004	230633.802817
12722	23548.7404162
17762	35334.2428377
13807	359447.004608
18600	130757.800892
77337	9386.0
17882	79714285.7143
22223	146636.7713
54200	1362.66272189
67373	25498.0
75600	1323.4
24131	10771428.5714
67399	2320.11428571
17156	695787.831513
14264	390957.446809
12389	396067.41573
17868	2657.95275591
69824	4190.0
13346	6908315.56503
12958	5736.28571429
18479	1679.87155963
19695	1517.62857143
223809	6026.85714286
17880	351419.878296
259300	390423.572744
11459	29442970.8223
20964	13628.8571429
16832	19550898.2036
14778	315486.725664
53322	16261.4285714
21925	9187500.0
104069	19729.1428571
12715	66666666.6667
69983	11378.8381743
233799	21217.3913043
14598	3430.1056338
329251	214139.344262
13142	6470.72463768
12353	2549.77917981
12925	297142.857143
20203	38857.1428571
216188	3147.34561213
74551	3542.96875
20404	26347.4431818
66824	36545.0777202
15277	318429.661941
13823	8575.99569429
13070	8190.68441065
27357	233033.033033
27053	13438.1461676
20910	84000.0
14725	4377.68240343
12557	1134.37726723
67092	33569.7399527
56012	11581027.668
13628	3542116.63067
13808	18801843.318
14199	3771428.57143
13007	328497.409326
109042	26876.0
218138	165053.763441
19132	10261.4736842
19058	32778.2352941
224796	142231.075697
56421	18239.7959184
68794	854732.208364
17922	570.989115002
16777	59910.4143337
21916	63231.1977716
50876	20730.4843305
216350	1498.37142857
109272	27600000.0
18295	1144295.30201
