Gene names	Intensity L Kidney cortex
17196	196857.142857
69187	28857.1428571
12954	989795.918367
11354	83714.2857143
14077	10150375.9398
12961	314285.714286
12889	106857.142857
12955	2245714.28571
380684	1775.87155963
226180	19298.015873
18039	131860.036832
17189	705714.285714
12960	50000.0
110187	7574.28571429
20617	280714.285714
18823	12826.0
12962	50000.0
19194	19786.0
G3UXD0	21554.0
12373	27303.1428571
21956	435215.946844
70350	90857.1428571
22349	8742442.56348
218038	12624.7813411
21954	114691.943128
66473	80988.5931559
19752	139597.315436
11723	865714.285714
21924	214285.714286
68416	4836.0
16204	314062.5
19660	171428.571429
22003	250704.225352
22072	100813.00813
282619	43142.8571429
12716	1849282.29665
19293	2282857.14286
17906	945783.13253
12409	122131.147541
227120	87714.2857143
56727	6561403.50877
52430	371428.571429
109901	15057.8947368
12613	46076.7946578
12307	23542857.1429
12308	138857.142857
12970	16548.5714286
22227	374592.833876
59006	4988.28571429
109697	63484.4868735
55948	380645.16129
215384	35142.8571429
13706	15161.2546125
26950	28857.1428571
16618	7081.22605364
18378	16595.1428571
12797	297142.857143
12957	147428.571429
22287	128571.428571
16612	1068965.51724
14120	749262.536873
17897	1450980.39216
22074	48571.4285714
29818	11936.6863905
107753	76686.1538462
140781	8062.01550388
22004	2514084.50704
12652	15509.7142857
69117	428571.428571
21345	3714285.71429
76703	53142.8571429
18040	145047.169811
17888	98555.2115583
14580	23953.4883721
233335	3674.82383088
18946	32980.9725159
20259	405594.405594
17901	464361.702128
23795	48285.7142857
56370	202571.428571
11847	627118.644068
17287	2744310.57564
69191	156356.736243
66284	7109.42857143
17907	680473.372781
106393	110571.428571
18645	742857.142857
53318	56000.0
22003	17147887.3239
11770	5325757.57576
69060	30752.688172
59290	357.085714286
68738	2419354.83871
20215	11163.4285714
20618	368571.428571
17896	23485.492228
99709	5102.85714286
21953	473076.923077
11636	4237113.40206
17075	60000.0
16855	144785.276074
67041	11730769.2308
67931	57714.2857143
66283	126857.142857
12346	344061.302682
12180	3071.2244898
76722	121002.386635
103968	15289.9419729
12865	2612500.0
380683	252857.142857
12709	485564.304462
12036	3053435.1145
18951	25706.504065
16765	393288.590604
67868	7108.55018587
19701	4129353.23383
11475	10795755.9682
59011	19878.8571429
19285	882857.142857
11754	6369.01960784
236539	204502.814259
17756	18599.5623632
11472	22035.7941834
20200	768571.428571
22004	1443661.97183
12722	11500.5476451
17762	706684.856753
13807	274193.548387
18600	5275.33432392
77337	5971428.57143
17882	259142.857143
22223	663677.130045
54200	859.615384615
67373	52285.7142857
75600	882857.142857
17957	6090.28571429
24131	59428.5714286
67399	318.285714286
14264	7025.26595745
12389	218539.325843
17868	8425.19685039
69824	937142.857143
13346	846481.876333
12958	11088.5714286
81600	26004.2283298
18479	46055.0458716
19695	106285.714286
223809	36857.1428571
17880	1039553.75254
259300	155801.104972
11459	328912.466844
20964	52857.1428571
16832	28772455.0898
14778	10619469.0265
53322	305714.285714
21925	34571.25
104069	123714.285714
12715	253018.372703
69983	252697.095436
233799	12017391.3043
14598	1866197.1831
329251	67622.9508197
13142	1733333.33333
12353	26089.5899054
12925	528571.428571
20203	25867.4285714
216188	29035.7529794
74551	124687.5
20404	443181.818182
66824	244559.585492
15277	3668.26608506
13823	1184068.89128
13070	28707.2243346
27357	86786.7867868
27053	38859.1800357
20910	297142.857143
14725	914163.090129
12557	8255.50181378
67092	10780141.844
67182	73142.8571429
56012	3482213.43874
13628	24190.0647948
13808	276497.695853
14199	757142.857143
13007	3352331.60622
16763	1771428.57143
109042	20718.0
218138	454301.075269
19132	30947.3684211
19058	203529.411765
224796	2669322.70916
56421	353316.326531
68794	4658.84079237
17922	106010.411737
107993	8000.24038462
16777	158454.647256
21916	10435.097493
50876	118803.418803
216350	60857.1428571
109272	52000.0
18295	63422.8187919
21648	250000.0
665270	486.028571429
18073	164658.634538
15507	622009.569378
66695	46916.8900804
12512	123949.579832
72088	340000.0
12323	6343.54243542
67399	108857.142857
12372	35428.5714286
18746	4350282.48588
20198	322857.142857
104183	204285.714286
27273	23067.7184466
64661	3665.14285714
69787	138000.0
330440	10868.5714286
12971	348571.428571
17929	168571.428571
14660	921364.985163
12799	85476.1904762
17035	69142.8571429
16664	64049.5867769
226519	186060.983199
16854	1306818.18182
19283	4612.0
75572	4547169.81132
20195	1688571.42857
16775	17951.5418502
226041	19434.8571429
67326	108000.0
18489	257714.285714
118449	65714.2857143
12349	17230769.2308
76293	54000.0
17885	2567.21734641
17879	203398.558187
67971	133142.857143
270097	7333.14285714
11674	9972527.47253
66734	127272.727273
107272	217027.027027
13602	9206.0
17022	1571005.91716
14457	2216.6
171580	5317.14285714
11450	148582.995951
107029	78033.7941628
26558	3028.85714286
22240	235142.857143
232714	73714.2857143
232400	51714.2857143
17930	30000.0
18483	428571.428571
13179	338797.814208
23969	155428.571429
11983	5200000.0
17118	1883495.14563
69051	171250.0
14467	3057142.85714
56185	11019830.0283
16852	3340740.74074
72948	25660.2857143
11676	195041.322314
21985	1960000.0
12933	357142.857143
20965	50000.0
16890	13702.2397892
20194	1365714.28571
21753	276571.428571
229731	94571.4285714
17988	13857142.8571
73723	1168571.42857
13405	1908.97226754
12721	436008.67679
13184	10464.0
216739	887.604017217
14583	124677.187948
13010	452857.142857
16985	28400.5714286
11997	819620.253165
15275	957905.544148
22352	4570815.45064
107684	13140.8571429
18611	534285.714286
71960	92000.0
381204	3681.61073826
16952	788571.428571
11820	96753.2467532
12306	3971428.57143
14381	205825.242718
18074	173913.043478
66395	9800000.0
12362	40547.2636816
56356	49714.2857143
17105	11959459.4595
74340	386623.164763
11808	5485714.28571
109857	144404.33213
13821	465301.478953
17760	9735.98233996
56078	117034.700315
109934	65428.5714286
12406	1908872.90168
83397	320000.0
67103	790273.556231
216810	166571.428571
217124	183428.571429
12934	748251.748252
67865	47142.8571429
20324	905714.285714
29877	251714.285714
380698	16702.2857143
11766	9013.71428571
26556	78571.4285714
16776	10543.302851
12332	2838068.18182
269713	37153.7726839
24014	8280.68027211
192176	604457.876842
65969	3742857.14286
21346	5942857.14286
109264	326158.940397
66355	542028.985507
208943	36857.1428571
20963	78060.4133545
76281	577142.857143
12313	2825503.3557
23917	8979.76653696
18476	96120.6896552
66222	1406332.45383
20708	187428.571429
16779	37798.7770984
102502	3314285.71429
14590	69716.0883281
58194	89703.8081805
66098	528571.428571
66144	2815126.05042
16019	85142.8571429
76932	33714.2857143
67443	76571.2
30948	224571.428571
12696	72093.0232558
22138	17408.3435095
67834	5655737.70492
11717	26631.8537859
19038	518867.924528
67861	608571.428571
16403	153070.577452
68028	81741.8032787
26430	18163.0546956
72269	2513698.63014
12140	314393.939394
74145	30054.6448087
14571	653370.013755
56205	248000.0
12653	8074.85714286
12798	238285.714286
17755	10024.3506494
18799	45899.4708995
13017	169887.640449
56526	44571.4285714
16560	100294.985251
234267	111142.857143
50706	28208.8571429
19895	45544.5544554
P01864	30571.4285714
11544	156906.077348
66251	42447.418738
23999	292263.610315
11677	4651898.73418
229593	88285.7142857
68196	13354.8571429
22271	142122.186495
14432	233714.285714
97165	2404761.90476
22152	37555.5555556
19309	195961.995249
66471	186000.0
114584	6846473.02905
14079	279545.454545
74103	26974.5714286
72042	4714285.71429
15929	2900763.35878
73442	494285.714286
59046	92285.7142857
11486	400568.181818
22323	253600.0
66849	334285.714286
11641	1422857.14286
12554	6674.3697479
98878	1005545.28651
270685	6227.32855681
114663	145172.413793
16541	1539379.47494
17904	11986754.9669
212307	478527.607362
11857	1390000.0
227737	708571.428571
20692	76000.0
12810	61428.5714286
19055	104030.710173
11745	1580000.0
19339	58181.8181818
14086	27297.7142857
16594	52420.7011686
20193	3028571.42857
67980	180797.101449
15163	82510.2880658
13476	71714.2857143
68106	139142.857143
71733	1245714.28571
219072	205714.285714
11973	11946902.6549
16956	4206.75105485
17254	1463878.327
13860	227428.571429
98932	2988372.09302
54609	130564.263323
64933	5512.44019139
170718	6885714.28571
16678	103453.689168
13132	3185378.59008
107589	248325.605358
11518	1474285.71429
11775	1423.75231054
19231	3428571.42857
20719	1383597.8836
432516	45829.3384468
16906	3452380.95238
18537	1202643.17181
75974	662.457142857
74325	1851528.38428
93686	4240.28571429
227620	777120.315582
15129	38639455.7823
326618	9717741.93548
11964	6110210.69692
15122	13771428.5714
12908	1143769.96805
53416	242805.755396
110935	1957142.85714
75608	1026785.71429
12325	7136.10586011
26611	508571.428571
56360	1885714.28571
20362	213428.571429
353170	5967.14285714
18754	9586.43147897
56195	61428.5714286
22003	2080985.91549
16592	1800000.0
66111	22610.0
12550	83257.918552
104001	130857.142857
69654	1383084.57711
11465	1341333.33333
71780	271095.152603
320707	47428.5714286
110078	329774.614472
223601	30000.0
232748	6273.14285714
68631	3918495.29781
15444	223714.285714
107975	15437.4285714
209378	69714.2857143
68420	2640.97142857
19264	12625.8714175
14960	161718.75
16149	24965.2329749
23825	717142.857143
14007	22244.0944882
230972	130857.142857
18582	197333.333333
14936	115176.151762
213539	350476.190476
654795	255714.285714
22142	153658.536585
381694	27607.3619632
73212	2503.94285714
14593	112333.333333
170930	3263157.89474
67068	521875.0
57915	219142.857143
94181	800000.0
