!!SBtab TableType='Proteomaps' Organism='mmu' ValueType='Intensity L' Tissue='Pancreas'
!ProteinIdentifier	!Abundance
17196	187428.571429
69187	4885714.28571
12954	338775.510204
11354	21804.8571429
14077	190225.56391
12961	178571.428571
12889	31142.8571429
12955	668571.428571
380684	6724.67889908
226180	5286.11111111
18039	28176.7955801
17189	300000.0
110187	4042.85714286
20617	507142.857143
18823	1232.37142857
12962	60000.0
19194	3380.0
G3UXD0	934285.714286
12373	1303.91428571
21956	12872.4252492
70350	37142.8571429
22349	43409.9153567
218038	395.626822157
21954	44389.5734597
66473	14486692.0152
19752	33959731.5436
11723	51714285.7143
21924	153416.149068
68416	1077142.85714
16204	132812.5
19660	35714.2857143
22003	38028.1690141
22072	2678861.78862
282619	8788.85714286
12716	42344.4976077
19293	247428.571429
17906	207831.325301
12409	165983.606557
227120	65714.2857143
56727	3430.80701754
52430	47142.8571429
109901	15977443.609
12613	7362270.45075
12307	11010.0
12308	2276.22857143
12970	1371.88571429
22227	7545.60260586
59006	1673.0
109697	19260143.1981
55948	19275.0
215384	46285.7142857
13706	7232472.32472
26950	3109.42857143
16618	773.98467433
18378	4927.71428571
12797	22569.1428571
12957	11672.8571429
22287	14990.0
16612	5900383.14176
14120	21846.0176991
17897	93627.4509804
22074	7400000.0
29818	1999.17159763
107753	733076.923077
140781	492.568475452
22004	208098.591549
12652	132000.0
69117	5969.42857143
21345	857142.857143
76703	7714285.71429
18040	4602.00471698
17888	11093.9112487
14580	2567.90697674
233335	5125.88084561
18946	3784355.1797
20259	1265.8041958
17901	611702.12766
23795	26583.1428571
56370	16492.5714286
11847	16754.2372881
17287	700.240963855
69191	38330170.778
66284	913.342857143
17907	710059.171598
106393	14708.0
18645	25271.4285714
53318	2890.28571429
22003	1753521.12676
11770	3257575.75758
69060	4946236.55914
59290	170.991428571
68738	2968.76832845
20618	60857.1428571
17896	2300.3626943
99709	1041.62857143
21953	230769.230769
11636	463917.525773
17075	11765.7142857
16855	13692.0245399
67041	138269.230769
67931	10600000.0
66283	24001.7142857
20199	3855.71428571
12346	224137.931034
76722	129832.935561
103968	4964.60348162
12865	27735.0
380683	14103.7142857
12709	45931.7585302
12036	1506361.32316
18951	10057.7235772
16765	240268.456376
67868	1925650.55762
19701	2836.06965174
11475	416445.623342
59011	16988.5714286
19285	445714.285714
11754	3432.67973856
236539	2213883.6773
17756	121991.247265
11472	8027.62863535
20200	206285.714286
22004	185915.492958
12722	8672.72727273
17762	1887.31241473
13807	14222.5806452
18600	46805.3491828
77337	1029.02857143
17882	297142.857143
22223	5874439.46188
54200	1254.43786982
67373	2431428.57143
17957	2259.0
24131	124285.714286
14264	3598.40425532
17868	65.662992126
69824	1053.85714286
13346	29424.3070362
12958	3872.57142857
81600	8532.55813953
18479	860.128440367
19695	3346.28571429
223809	24286.8571429
17880	135395.537525
259300	28729.281768
11459	51193.6339523
20964	17461.7142857
16832	208083.832335
14778	137168.141593
53322	1751428.57143
21925	56119.375
104069	34000.0
12715	425196.850394
69983	29397.0954357
233799	29739.1304348
14598	302816.901408
13142	1949.15942029
12353	2834.22712934
12925	445714.285714
20203	5159.42857143
216188	612134.344529
74551	268750.0
20404	531250.0
66824	92746.1139896
15277	3824.86368593
13823	3932.29278794
13070	1309.84790875
27357	141141.141141
27053	932263.814617
20910	11675.1428571
14725	1782.68240343
12557	983.663845224
67092	735224.586288
56012	26924.1106719
13628	28077.7537797
13808	83640.5529954
14199	111428.571429
13007	689119.170984
16763	32571.4285714
109042	26704.2857143
218138	416666.666667
19132	2439.36842105
19058	231176.470588
224796	28312.3505976
56421	261479.591837
68794	834.409391049
17922	3663.03833412
16777	22340.4255319
21916	1008356.54596
50876	35042.7350427
109272	13164.0
18295	42281.8791946
21648	9824.57142857
18073	38393.5742972
15507	153588.516746
66695	80428.9544236
12512	14912.605042
12323	948.136531365
67399	9634.0
12372	109714.285714
18746	657250.47081
20198	21298.5714286
104183	26315.4285714
27273	4344.66019417
64661	218.314285714
69787	4714.85714286
330440	510.6
12971	6492.28571429
17929	5291.14285714
14660	27448.0712166
12799	10660.2380952
433470	1690.54285714
17035	226571.428571
16664	418.801652893
226519	9520.84629745
16854	14600.0
75572	24566.9811321
20195	134857.142857
16775	1932.4339207
226041	2298.97142857
67326	4743.71428571
18489	34285.7142857
118449	1318.71428571
12349	788461.538462
76293	10415.1428571
17885	199.468249871
17879	73635.4273944
67971	170285.714286
270097	5907.42857143
11674	2299450.54945
66734	44165.2892562
107272	1845945.94595
17022	881656.804734
14457	159.345714286
171580	25854.2857143
11450	34245.3441296
107029	6443.01075269
26558	1498.45714286
22240	27572.5714286
232714	52285.7142857
232400	3176.0
17930	12930.5714286
18483	367.828571429
13179	366120.218579
23969	8663.71428571
11983	268857.142857
17118	757281.553398
69051	249062.5
14467	662857.142857
56185	12541.0764873
16852	6333333.33333
72948	19208.2857143
11676	12035.8126722
21985	2028571.42857
12933	172857.142857
20965	3484.0
20194	272000.0
21753	87428.5714286
19340	158904.109589
229731	12972.8571429
17988	311428.571429
73723	79714.2857143
13405	2909.18977705
12721	69631.2364425
13184	1690.85714286
14583	135294.117647
13010	127857.142857
16985	2163.31428571
11997	22664.8734177
15275	9529.5687885
22352	418454.935622
18611	40000.0
71960	3418.75
16952	219428.571429
11820	1347.01298701
12306	757142.857143
14381	21553.3980583
18074	20242.3378475
66395	2185714.28571
12362	27860.6965174
56356	13497.1428571
17105	1632.5
74340	21044.045677
11808	777142.857143
13821	1505.46075085
17760	4288.41059603
56078	3529.65299685
109934	2463.54285714
12406	188009.592326
83397	57428.5714286
67103	95744.6808511
216810	6658.85714286
12934	20279.7202797
67865	6386.0
20324	78571.4285714
29877	64571.4285714
11766	3253.42857143
26556	11541.7142857
16776	48.0930607854
12332	76420.4545455
269713	826.494746896
24014	64.2027210884
192176	22780.5062335
65969	484.685714286
21346	931428.571429
66355	1687.62318841
208943	3650.57142857
20963	4999.68203498
76281	50285.7142857
12313	1040268.45638
23917	44357.9766537
18476	5009.48275862
66222	6781002.63852
20708	16605.7142857
16779	183.596442468
102502	75714.2857143
14590	3470031.54574
58194	698.194640339
66098	4849.14285714
66144	363025.210084
16019	4757.14285714
76932	33714.2857143
67443	14191.2
30948	111142.857143
12696	92441.8604651
22138	15960.0147673
67834	269125.68306
19038	30092.4528302
67861	12993.7142857
16403	24014.6654445
68028	6049180.32787
26430	1669.55624355
12140	47763.6363636
74145	17213.1147541
14571	46492.434663
56205	78000.0
