!!SBtab TableType='Proteomaps' Organism='hsa' ProteinIdentifier='http://identifiers.org/uniprot/' ValueType='Intensity H'
!ProteinIdentifier	!Abundance
A0AV56;B7Z2F6;B7ZLP6;F5GZU3;K7ES42;Q15424;Q15424-2	33120335
Q9H173	3513634.9
Q99798	41552918
O95816	50802037
P21980	11178197
P16949	2.2770745e+08
Q9P2E9	4.8259367e+08
A2A3N8;C9JTM0;D6RAH3;D6RF25;D6RJE2;E7ENY0;E7EV99;H0Y9H2;H0YFD8;P35611;P35611-2;P35611-3;P35612;P35612-2;P35612-3;P35612-4;P35612-8;Q86XM2	22448834
P62753	2.7816533e+08
P45880	2.9424361e+08
O75955	1553100.8
O15212	59724966
P04439	7847681.4
A2BFH1	4.5336694e+09
Q04917	1.3013341e+08
A2T926;G5E972;H0YJH7;P42166;P42167;P42167-2	17883872
O95865	40449907
A5PL29;K7EJR2;M0QX30;M0R165;M0R1V5;M0R2S2;M0R330;M0R3I1;Q9UBC2;Q9UBC2-2;Q9UBC2-3	45283223
P30044	1.7810643e+08
Q9GZQ8	23360409
A6NCP5;C9IZD3;E7ERK8;F5H6L3;I3L1S9;I3L4P0;I3L4P6;J3KRS3;Q17R89;Q68EM7;Q68EM7-2;Q68EM7-3;Q68EM7-4;Q68EM7-5;Q68EM7-6;Q68EM7-7	1777570.9
Q9UKK9	35743554
A6NDF3;Q9BVG4	22480038
P08865	1.0964761e+09
P61326	10710837
O95861	10000143
A6NFL3;H0Y2W2;J3QSF3;Q5SV16;Q5T2N8;Q5T9A4;Q5T9A4-2;Q5T9A4-3;Q9NVI7;Q9NVI7-2;Q9NVI7-3	39524322
Q9NYB9	11050154
A6NFQ9;A6NMH6;B7Z277;C9J4G8;C9JV02;F6W7K9;F8W8I8;Q92599;Q92599-2;Q92599-3	4220497.7
A6NG10;B4DFG2;K7EIJ0;K7EIK1;K7EIN1;K7EMC9;K7ENL2;K7ESN4;Q969T9	5982103.4
Q13162	1.5387641e+08
Q13813	4.3517529e+08
A6NGP5;B4DLH4;B4E1P3;H3BMM8;H3BMT0;H3BMV3;H3BS08;H3BTV5;H3BU16;Q9H910;Q9H910-2	36630163
P22090	1.3047329e+08
P30046	1.5735829e+08
Q9H7Z7	7706684.2
O95825	4867380.7
P17516	9605521.7
A6NIR2;Q9Y547	8269759
P32119	3.2827971e+08
Q92890	14237730
A6NJA2	67058315
A6NJG9	1.7195781e+08
O14602	51723700
A6NKH4;H0YK42;H0YK43;H0YK58;H0YKD5;H0YKL5;H0YKT3;J3KPH4;Q13596;Q13596-2;Q13596-3	1.8845111e+08
P07437	1.40576e+09
A6NL28;A6NL28-2;D6R904;D6RFM2;P06753-2;P06753-3;Q5VU59;Q5VU61;H0YL80;K7EP68;K7EQW8;Q5VU58	1.3166649e+09
P68032	5.2907924e+09
P21810	2180209.8
P51571	32352202
A6NLN1	2.6115354e+08
A6NM69	2.6381449e+08
A6NMQ3;C9JUF4;D6RE62;O43768;O43768-2;O43768-3;O43768-4;O43768-5;O43768-6;O43768-7;O43768-8;O43768-9;Q5T5H1;H3BMD8;H3BQ52;H3BTD3;P56211;P56211-2	13735806
P11908	5004742.8
Q92783	23441069
A6NMY6;H0YKL9;H0YKN4;H0YKS4;H0YKV8;H0YKX9;H0YKZ7;H0YL33;H0YLE2;H0YLV6;H0YM50;H0YMD0;H0YMD9;H0YMM1;H0YMT9;H0YMU9;H0YMW4;H0YN28;H0YN42;H0YN52;H0YNA0;H0YNB8;H0YNP5;P07355;P07355-2	5.0535658e+09
A6NN80;E5RFF0;E5RI05;E5RIU8;E5RJF5;E5RJR0;E5RK63;E5RK69;H0YC77;E7EMC6;P08133;P08133-2	37723413
A6NNR3	50264422
