!!SBtab TableType='Proteomaps' ProteinIdentifier='http://identifiers.org/uniprot/' Condition='Intensity L'
!ProteinIdentifier	!Abundance
A0AV56;B7Z2F6;B7ZLP6;F5GZU3;K7ES42;Q15424;Q15424-2	38350586
Q9H173	4228406.3
Q99798	51720059
O95816	53088935
P21980	8967950.3
P16949	3.6224174e+08
Q9P2E9	4.8158801e+08
A2A3N8;C9JTM0;D6RAH3;D6RF25;D6RJE2;E7ENY0;E7EV99;H0Y9H2;H0YFD8;P35611;P35611-2;P35611-3;P35612;P35612-2;P35612-3;P35612-4;P35612-8;Q86XM2	25853321
P62753	3.778922e+08
P45880	3.6921366e+08
O75955	3080104.3
O15212	39040072
P04439	12123824
A2BFH1	5.9029312e+09
Q04917	2.0375368e+08
A2T926;G5E972;H0YJH7;P42166;P42167;P42167-2	17836771
O95865	54339265
A5PL29;K7EJR2;M0QX30;M0R165;M0R1V5;M0R2S2;M0R330;M0R3I1;Q9UBC2;Q9UBC2-2;Q9UBC2-3	37657469
P30044	1.697432e+08
Q9GZQ8	40082946
A6NCP5;C9IZD3;E7ERK8;F5H6L3;I3L1S9;I3L4P0;I3L4P6;J3KRS3;Q17R89;Q68EM7;Q68EM7-2;Q68EM7-3;Q68EM7-4;Q68EM7-5;Q68EM7-6;Q68EM7-7	2645667.5
Q9UKK9	39071774
A6NDF3;Q9BVG4	30086975
P08865	1.4641338e+09
P61326	17490134
O95861	11330826
A6NFL3;H0Y2W2;J3QSF3;Q5SV16;Q5T2N8;Q5T9A4;Q5T9A4-2;Q5T9A4-3;Q9NVI7;Q9NVI7-2;Q9NVI7-3	43968666
Q9NYB9	10899475
A6NFQ9;A6NMH6;B7Z277;C9J4G8;C9JV02;F6W7K9;F8W8I8;Q92599;Q92599-2;Q92599-3	8044672.9
A6NG10;B4DFG2;K7EIJ0;K7EIK1;K7EIN1;K7EMC9;K7ENL2;K7ESN4;Q969T9	7412048.9
Q13162	1.8643678e+08
Q13813	5.0082992e+08
A6NGP5;B4DLH4;B4E1P3;H3BMM8;H3BMT0;H3BMV3;H3BS08;H3BTV5;H3BU16;Q9H910;Q9H910-2	51484820
P22090	1.6356966e+08
P30046	1.151443e+08
Q9H7Z7	7371382.4
O95825	7896736.7
P17516	9414724.7
A6NIR2;Q9Y547	13722530
P32119	3.5614397e+08
Q92890	17442671
A6NJA2	77726473
A6NJG9	1.5093695e+08
O14602	51372923
A6NKH4;H0YK42;H0YK43;H0YK58;H0YKD5;H0YKL5;H0YKT3;J3KPH4;Q13596;Q13596-2;Q13596-3	1.4688934e+08
P07437	1.638097e+09
A6NL28;A6NL28-2;D6R904;D6RFM2;P06753-2;P06753-3;Q5VU59;Q5VU61;H0YL80;K7EP68;K7EQW8;Q5VU58	9.9060232e+08
P68032	6.8107423e+09
P21810	3305489.4
P51571	45609215
A6NLN1	3.6979064e+08
A6NM69	2.4859618e+08
A6NMQ3;C9JUF4;D6RE62;O43768;O43768-2;O43768-3;O43768-4;O43768-5;O43768-6;O43768-7;O43768-8;O43768-9;Q5T5H1;H3BMD8;H3BQ52;H3BTD3;P56211;P56211-2	13699278
P11908	6743328
Q92783	27807781
