!!SBtab TableType='Proteomaps'
!ProteinIdentifier	!Abundance
LIC12133	34.3923372776
LIC12134	32.8574778646
LIC12131	224.0769632262
LIC12132	8.5915690533
LIC12137	23.9104364567
LIC12138	24.3821275743
LIC12526	518.2600146977
LIC11479	214.8970370097
LIC12524	89.5589361444
LIC12130	220.2825374455
LIC12528	28.0061554467
LIC12529	675.9317096952
LIC11474	29.9748873546
LIC12523	147.0758197311
LIC12521	0.8542927447
LIC11477	20.702504861
LIC12520	81.1015037392
LIC12139	267.0713440341
LIC11470	682.9961792578
LIC12121	5.8956287488
LIC12123	428.6531344324
LIC12124	686.0316111158
LIC12125	90.140932012
LIC12126	601.1459788149
LIC12127	32.3168445774
LIC12535	230.7570187047
LIC12536	78.458627175
LIC12537	275.0898834951
LIC12538	638.4343671099
LIC12539	152.5009857286
LIC11485	102.5871004294
LIC11808	383.0196441313
LIC11482	31.4307405114
LIC11483	62.3641958622
LIC11809	1575.9651962087
LIC11488	896.5165711824
LIC12531	189.7556987773
LIC11489	627.3611960159
LIC12534	475.3774158608
LIC11486	116.8184546668
LIC12128	22.8406452512
LIC11800	365.1060687671
LIC11801	552.4459141628
LIC11480	112.3033682998
LIC11803	109.3367378138
LIC11481	19.4334312398
LIC11804	134.1330270278
LIC12115	4.7020461294
LIC12113	2373.9764870683
LIC12114	36.6933231029
LIC12111	1896.3000711149
LIC12112	2196.002027379
LIC12110	2671.8749241724
LIC12508	217.3795962641
LIC12506	11.017849505
LIC12504	93.0890067119
LIC11458	49.6454344754
LIC12505	56.2034504613
LIC12502	595.5150527346
LIC12501	86.7609529869
LIC11453	230.9575348139
LIC12500	118.2618674492
LIC11454	91.2840132989
LIC11455	18.1903590441
LIC11456	1566.3491560874
LIC11452	40.305494313
LIC12117	101.0826120068
LIC12102	108.1742658194
LIC12100	29.5443606552
LIC12101	50.3777128345
LIC12514	42.8402912629
LIC12515	150.0706330318
LIC11468	78.8508740453
LIC12516	89.8818169517
LIC11465	30.7506522564
LIC11462	285.6634574975
LIC11463	71.5549424863
LIC11460	271.9051245731
LIC11461	599.4667978004
LIC12107	201.154373685
LIC12106	17.6157530889
LIC12109	107.411775871
LIC12108	262.0200979488
LIC11834	928.0992261922
LIC11832	513.0096280232
LIC11831	232.9450858557
LIC11838	173.5395492634
LIC11837	157.0767525344
LIC11836	183.8051715175
LIC11835	1138.2443893476
LIC11839	701.3222144479
LIC10098	4.3816054293
LIC10097	29.9833096152
LIC13202	5.5067776251
LIC13204	92.6193735459
LIC10095	712.4093703061
LIC10094	741.4391051254
LIC11840	59.4042063872
LIC13201	44.9018282502
LIC11845	487.945661778
LIC11844	314.4874892794
LIC11847	191.4954478808
LIC13206	288.8617205421
LIC11846	110.692052928
LIC11849	18.0877378291
LIC13208	71.1443937826
LIC11848	7057.537489455
LIC13212	849.5262535311
LIC13210	4.5177125453
LIC13216	29.6264479658
LIC13214	120.6082053925
LIC11490	39.0939276047
LIC11816	5.3786179855
LIC13219	140.7925652555
LIC11814	70.2184488378
LIC13218	28.1853358294
LIC11491	143.0596891781
LIC11813	163.2551210245
LIC11812	17.1020943061
LIC11811	247.7599838397
LIC11810	89.6518677676
LIC11498	82.8373332135
LIC11497	11.4949039718
LIC11499	4751.0210750101
LIC11819	2.5497465752
LIC11493	10.6554542917
LIC11496	90.7743795665
LIC11495	6.5384768411
LIC13222	62.7989146684
LIC13223	507.4152641118
LIC13224	5.2315350759
LIC11825	137.6071186114
LIC11824	42.1357908445
LIC11827	6.6123238371
LIC11826	49.5757036296
LIC11821	1055.7939731166
LIC11820	469.0423682982
LIC11823	8.8228111073
LIC11822	952.087169292
LIC11008	50.9498452164
LIC11009	2114.4628290971
LIC11006	279.3673167848
LIC10749	2015.8212625354
LIC10748	1600.8222561797
LIC10747	120.4531344334
LIC10740	150.981680052
LIC11005	39.7138249623
LIC10741	33.4957034607
LIC11004	2564.03863405
LIC11003	2249.4975093901
LIC11400	198.7390019231
LIC10754	1769.6858079904
LIC10753	1881.28474481
LIC10756	2647.2889595598
LIC10755	492.6885322757
LIC10759	62.7730122107
LIC10750	1217.9774706751
LIC10751	2831.2815382997
LIC10752	5253.7765127658
LIC11403	312.6291006366
LIC11405	274.5929766798
LIC11404	48.8483465221
LIC11406	1624.7150119802
LIC11409	641.8783357734
LIC11408	779.9260691149
LIC12587	60.715780746
LIC12586	5.5227105222
LIC12589	220.5569140756
LIC12588	5.9942367187
LIC10728	130.8079626255
LIC12581	196.594952421
LIC10724	53.1352802355
LIC12580	543.3221504765
LIC10723	21.3316032694
LIC10721	9.3645651485
LIC12598	9.1789090239
LIC10739	25.1623930526
LIC12595	12.2293974683
LIC10736	381.369988373
LIC12591	148.9806063395
LIC10738	144.6649034506
LIC10732	530.4056309977
LIC10731	23.0746612854
LIC10733	236.2635549476
LIC10700	2817.2229767629
LIC10705	148.5505965957
LIC12560	197.8912989829
LIC12561	268.3366734659
LIC10706	52.2590984066
LIC12563	404.0191515703
LIC12564	91.6279799392
LIC11434	6.6601699535
LIC12565	790.1878175627
LIC11433	26.3298543716
LIC11432	1.5256560418
LIC11431	990.5646895989
LIC11437	126.576702693
LIC11438	2120.1080208156
LIC12568	509.9870596081
LIC11435	92.223511864
LIC11436	28.2197747636
LIC11439	8.0464119101
LIC11045	25.0632637664
LIC11048	351.170668205
LIC11046	396.213592042
LIC10710	164.501217717
LIC11039	50.3213168477
LIC10711	145.4226544276
LIC10712	240.063154292
LIC10713	194.9627783294
LIC10714	318.2494133503
LIC12570	50.0738368451
LIC12573	2691.3090251598
LIC10717	39.1538909487
LIC12574	3298.0357093976
LIC10718	228.3751205676
LIC10719	176.6268888476
LIC11441	1090.2053033943
LIC11440	46.5708336173
LIC12572	123.1403877343
LIC12577	163.7595937755
LIC12578	45.0309393124
LIC11442	222.1828438091
LIC12575	1695.682803918
LIC12576	93.9727300039
LIC11444	340.3385469768
LIC11446	147.3569560743
LIC11447	91.5698311766
LIC12579	32.4198115504
LIC11035	54.617021329
LIC11036	117.2710810936
LIC11037	43.0165418199
LIC11038	281.7815154867
LIC11028	22.1481983649
LIC11412	7.6198627712
LIC12542	27.300612414
LIC12543	214.0238005745
LIC12544	775.5376745575
LIC11410	401.2934382566
LIC12545	544.6247562319
LIC12540	538.7210772363
LIC12541	161.3096983897
LIC11417	2877.0060382262
LIC11418	522.7413433921
LIC12547	25.8711055405
LIC12546	55.1808853887
LIC11416	1740.3630735272
LIC11413	441.1610116892
LIC11414	38.609044542
LIC12548	141.7547274768
LIC11026	26.0059644053
LIC11027	19.4960593744
LIC11024	64.9005230607
LIC11025	1100.4025247958
LIC11023	10.917438229
LIC11017	97.04039563
LIC11421	227.2206498741
LIC11423	824.1991377345
LIC11422	20.9001123181
LIC12554	62.3029772383
LIC12551	349.6146013843
LIC11424	1732.6799350531
LIC11426	7.8873140379
LIC11013	344.7470569645
LIC11014	22.2166102592
LIC11016	290.5034697005
LIC11011	123.8550405581
LIC11012	2.3295725398
LIC11076	232.2189265966
LIC11075	27.685246839
LIC11074	816.8836415558
LIC11072	24.1626971609
LIC11071	167.6904410541
LIC11070	221.6710611998
LIC11086	20.3082286156
LIC11089	651.0030854939
LIC11088	19.538495205
LIC11082	34.5598847598
LIC11085	16.4434375535
LIC11081	51.4394273721
LIC10692	46.1891672769
LIC10690	217.3361814646
LIC11054	135.747192874
LIC11059	182.7769869574
LIC11058	86.6993799007
LIC10695	4.7669272023
LIC11051	107.752410086
LIC10699	482.4865137021
LIC10698	14.5434917117
LIC11065	255.4676887604
LIC11064	6.831749915
LIC10680	607.6894517832
LIC10681	381.860683389
