!!SBtab TableType='Proteomaps'
!ProteinIdentifier	!Abundance
b3986	109420.2
b3980	87672.53
b1094	75918.7
b4142	64668.67
b1779	49090.58
b3829	41263.67
b1823	40354.68
b3318	37317.23
b2609	29550.86
b3236	29034.27
b3303	28222.73
b3298	27437.39
b0605	25610.33
b3340	24623.18
b2414	24399.67
b3297	23941.87
b2913	23461.62
b3315	22984.52
b3231	22513.86
b3312	21711.37
b3305	21615.13
b2185	21500.5
b3774	21100.49
b0911	20651.77
b3309	20543.12
b3341	20417.8
b1656	19637.41
b1136	19479.77
b2518	19029.95
b4203	18725.37
b3296	18021.27
b3295	17803.54
b2606	17795.89
b3186	17757.45
b3321	17655.98
b3308	17624.22
b1237	17549.26
b3314	17407.9
b3320	16983.19
b2925	16325.84
b2094	16057.25
b2323	16042.49
b3317	15111.52
b0170	15094.06
b4000	15025.7
b3433	14970.8
b2926	14681.75
b3319	14669.26
b3984	14447.57
b4200	13860.74
b0014	13814.81
b3261	13782.09
b3636	13631.11
b3609	13475.06
b0169	13099.68
b0623	13020.78
b0004	12922.78
b3870	12717.43
b3294	12696.08
b3165	12562.91
b3983	12449.73
b3316	12179.99
b2942	11978.78
b4143	11649.26
b0166	11485.99
b2779	11282.75
b3556	11070.18
b3928	11053.66
b0008	10547.61
b4090	10409.04
b0729	10260.17
b1324	10163.69
b0436	10042.87
b0118	9926.15
b0023	9652.35
b2093	9635.27
b2417	9435.59
b4202	9413.13
b3065	9386.08
b3637	9283.19
b3919	9105.73
b3313	9058.83
b3172	8869.39
b0002	8864.15
b3230	8851.91
b0728	8812.38
b3302	8799.16
b2480	8687.12
b2029	8435.17
b0928	8329.33
b4226	8324.05
b0907	8305.57
b0720	8268.3
b2309	8230.56
b0116	7569.96
b0071	7290.97
b0220	7170.32
b1761	7143.48
b4024	6849.76
b3304	6671.48
b3301	6638.93
b3956	6554.01
b3349	6525.25
b3212	6437.72
b4177	6363.21
b1207	6223.05
b2551	6180.43
b2764	6160.56
b3306	6095.37
b0114	6045.75
b3985	5903.05
b0440	5891.69
b0415	5882.43
b0437	5786.68
b2752	5705.04
b3310	5656.03
b0145	5606.51
b1718	5488.52
b2153	5368.76
b2904	5336.13
b2095	5305.97
b1243	5256.88
b2508	5210.17
b1288	5184.69
b0903	5107.31
b0754	5073.35
b3414	5011.15
b1716	4998.25
b0755	4871.93
b0778	4801.7
b0525	4763.98
b1654	4664.32
b0115	4640.4
b3783	4608.22
b3732	4552.23
b0072	4524.61
b1261	4460.49
b3359	4458.17
b0126	4442.37
b3987	4425.6
b0930	4388.18
b1241	4361.85
b2416	4259.89
b0172	4237.62
b1092	4223.37
b3560	4168.93
b0222	4155.67
b2531	4077.85
b0727	4074.53
b3988	4044.52
b0726	4022.02
b2507	3935.07
b0474	3832.25
b2763	3734.94
b3649	3700.2
b2041	3699.38
b0438	3671.65
b2312	3628.13
b3307	3612.08
b2614	3564.48
b1676	3525.86
b3671	3487.21
b0194	3361.71
b3495	3355.84
b0178	3350.11
b3255	3337.88
b1174	3289.85
b1131	3289.78
b1035	3289.14
b3916	3287.39
b0074	3281.05
b3858	3277.68
b0860	3258.34
b3347	3241.64
