!!SBtab TableType='Proteomaps' Organism='spo' Condition='Quiescent'
!ProteinIdentifier	!Abundance
SPBC16H5.02	77207
SPAC4H3.10c	206022
SPAC1F8.07c	200256
SPCC417.08	58844
SPCC1739.13	68852
SPBC19C2.07	292133
SPBC1815.01	292253
SPAC926.04c	60585
SPAC4A8.11c	23571
SPAC222.12c	97914
SPAC9.09	71307
SPAC926.09c	21696
SPAC1071.10c	95744
SPCP31B10.07	51682
SPBC14F5.04c	227211
SPBC215.08c	47799
SPBC32H8.12c	207736
SPBC660.16	69565
SPAC26A3.05	26641
SPCC13B11.01	261089
SPAC637.05c	54217
SPAC23A1.10	3366
SPBC32F12.11	272090
SPCC794.09c	2755
SPAC56E4.04c	11060
SPBC2G5.05	72152
SPAC1565.08	34070
SPAC3G9.11c	52334
SPAC12G12.04	44876
SPAC343.05	50094
SPBC215.05	94947
SPBC354.12	84934
SPBC1709.05	60726
SPAC14C4.14	65853
SPBC1778.06c	37488
SPAC24C9.06c	44930
SPBC17G9.11c	25202
SPAC110.04c	32575
SPBC16E9.16c	18752
SPCC794.12c	75486
SPAC1006.07	53577
SPAC13G7.02c	17453
SPAC2E1P3.04	54681
SPAC664.11	41985
SPBC8D2.20c	20886
SPBC1604.05	78314
SPAPB1E7.07	9630
SPCC24B10.21	170052
SPBC1604.21c	19375
SPAC26F1.06	194042
SPAC24C9.12c	56512
SPCC1322.14c	27073
SPAC869.04	124784
SPAC3A11.07	47385
SPCPB16A4.03c	33844
SPCC736.15	143657
SPAC1556.02c	38251
SPAC14C4.11	26576
SPBC146.13c	17376
SPCC622.12c	33111
SPAC22A12.15c	35320
SPBC56F2.12	62794
SPBC428.05c	49550
SPAC10F6.01c	15396
SPAC23C11.05	83080
SPAC30.04c	15074
SPAC4G9.09c	33200
SPBC19C7.06	28922
SPAC9E9.09c	56699
SPCC1795.11	25905
SPAC17A2.13c	60743
SPBC1711.06	28396
SPAC4F8.07c	58461
SPAC1002.09c	34368
SPAC24H6.04	42944
SPBC25D12.04	42149
SPBC26H8.01	97097
SPAC22A12.11	23419
SPAC8E11.02c	61837
SPBC8D2.18c	51914
SPCC962.01	10552
SPAC3A12.18	26790
SPBC24C6.04	39160
SPBP8B7.03c	28457
SPAC10F6.06	128485
SPAC6G10.08	22768
SPBC646.10c	19629
SPAC3A11.10c	67518
SPBC26H8.07c	45331
SPBC1921.05	23260
SPBC1539.03c	24178
SPBC1703.07	23624
SPAC1834.02	10619
SPBC27.08c	28115
SPBC16A3.02c	65340
SPAC23H4.06	63384
SPCC757.07c	28580
SPAPB8E5.06c	41062
SPAC26F1.07	49863
SPBP23A10.15c	32779
SPCC1322.04	42894
SPAP7G5.04c	9253
SPAC26F1.14c	29547
SPCC645.14c	14563
SPCC736.13	37457
SPBC1105.02c	26853
SPCC550.14	10541
SPAC24C9.08	43857
SPAC29A4.02c	48597
SPAC1834.11c	14046
SPAC4F8.14c	41556
SPAC1039.02	70315
SPBC14F5.09c	19108
SPBC16A3.15c	22800
SPCC306.08c	42342
SPAC17G8.06c	24869
SPBC3B8.03	57004
SPCC613.10	49337
SPCC1020.06c	70616
SPBC646.13	22857
SPBC18H10.12c	43713
SPBC29A3.04	47848
SPBPJ4664.04	11049
SPCC63.14	12687
SPAC17A2.05	23150
SPAC6B12.15	104812
SPAC19G12.09	51711
SPBC1685.05	14495
SPBC1A4.02c	44476
SPCC584.01c	12363
SPAC29B12.04	36049
SPAC23C4.02	23659
SPBC800.10c	15654
SPCC70.03c	31046
SPBC2G5.06c	33316
SPBC530.10c	57823
SPAC23H3.15c	26078
SPBC14F5.05c	57865
SPBC16D10.08c	13193
SPAC10F6.13c	37335
SPCC777.09c	38160
SPAC22G7.06c	7383
SPAC25B8.12c	55361
SPAC57A7.10c	16147
SPAC57A7.04c	27292
SPBC17A3.04c	10807
SPBC365.12c	14856
SPAC13G6.06c	15960
SPAC521.03	39094
SPAC688.11	11463
SPAC29A4.04c	22779
SPBC56F2.09c	39587
SPAC922.07c	23283
SPBC12C2.12c	43192
SPBC1703.13c	60052
SPAC19G12.10c	43926
SPBC947.15c	20485
SPAC23H4.10c	17817
SPAC26H5.10c	61011
SPBC215.09c	37982
SPBC660.07	12509
SPBP8B7.18c	19142
SPAC23C11.09	13371
SPAC977.14c	17001
SPAC9E9.03	15853
SPBP19A11.03c	10266
SPAC17C9.03	6643
SPAPYUK71.03c	9254
SPBC1709.02c	10896
SPAC22H12.04c	31932
SPAC3H5.12c	56168
SPAC26F1.03	25830
SPAPJ698.02c	55244
SPBC2G2.12	10461
SPBC18H10.02	23446
SPBC215.11c	23662
SPAPB1E7.12	8129
SPAP7G5.02c	21938
SPAC1F12.07	27936
SPCC965.06	44694
SPBC428.03c	50497
SPAC27F1.02c	38093
SPAC13A11.05	15100
SPBC25H2.02	18433
SPBC405.01	12481
SPAC13G6.07c	5613
SPBC30D10.13c	34187
SPAC17G6.14c	33645
SPAC19A8.15	22459
SPBC3H7.03c	12309
SPBC1773.03c	22320
SPAC630.03	35114
SPBC28F2.03	102803
SPAC13G6.02c	22579
SPCC338.14	36464
SPAC1F5.02	25419
SPBC16C6.08c	52433
SPAC23G3.06	15886
SPBC776.03	33344
SPBC800.05c	13520
SPBC16G5.14c	61412
SPAC1952.11c	12909
SPAC3C7.11c	26713
SPAC6B12.12	11870
SPBC4F6.18c	52828
SPCC794.07	23885
SPBC16C6.13c	13568
SPAC16E8.07c	21409
SPAC23D3.04c	24787
SPAC25G10.08	13495
SPCC23B6.01c	21595
SPBC119.10	21538
SPBC21B10.10	7777
SPBC3D6.02	60477
SPCC550.07	13387
SPCC1672.02c	33334
SPBC32F12.10	20837
SPAC26F1.13c	10892
SPAPB2B4.05	21883
SPBC18A7.01	22101
SPBC1289.05c	36431
SPBC342.02	8120
SPAC3F10.11c	8274
SPCC1223.02	57312
SPAC22F8.05	13841
SPAC11G7.03	28464
SPBC1198.08	31166
SPAC19A8.04	20265
SPAC6C3.04	24353
SPCC645.08c	10593
SPBC15D4.15	41298
SPAC22A12.16	20192
SPBC16H5.08c	12308
SPBC16A3.08c	35861
SPAC4D7.02c	29964
SPCC1827.03c	23678
SPAC3G9.03	49374
SPCC576.03c	130559
SPAC16.02c	22951
SPCC330.06c	186299
SPBC902.05c	31719
SPBC215.15	32756
SPAC27E2.03c	17026
SPAC25G10.09c	7111
SPCC1223.09	47269
SPCC364.07	18950
SPAC959.07	8925
SPCC1322.05c	17277
SPBC725.01	20721
SPAC328.10c	48864
SPBC9B6.04c	18315
SPAC4G9.03	33637
SPBC106.03	18051
SPAC8C9.04	55540
SPBC1347.02	24301
SPBC14C8.06	34028
SPBC21B10.08c	64096
SPAC20G4.06c	79539
SPCC1450.04	74468
SPBC3F6.03	45303
SPAC56E4.03	22624
SPAC9E9.06c	18201
SPAC6G10.09	12777
SPBC713.02c	8087
SPBC25H2.16c	11965
SPBC16G5.05c	35845
SPAC222.11	10479
SPBP35G2.07	14038
SPACUNK4.10	28674
SPBC725.09c	24703
SPCC737.09c	13917
SPCC306.09c	17949
SPAC694.02	5722
SPBC839.16	8574
SPAC17C9.12	35430
SPAC513.07	19742
SPCC1442.16c	29518
SPAC6F6.15	28575
SPBC2D10.10c	37070
SPCC5E4.05c	35415
SPCC191.02c	17788
SPBC25B2.09c	12532
SPAP8A3.09c	12351
SPBC31A8.01c	37280
SPAC4F10.14c	41980
SPAC821.10c	119938
SPBC428.02c	25076
SPAC2C4.16c	61583
SPBC2F12.14c	16353
SPAC1783.08c	40900
SPAC29A4.15	13210
SPCC1223.08c	24677
SPCC4B3.01	24334
SPAC3A11.12c	10446
SPBC646.08c	13892
SPBC18H10.04c	15703
SPAC9E9.11	33630
SPBC28F2.11	25497
SPAC17H9.14c	19417
SPAC227.18	41946
SPAC22G7.01c	18130
SPAC57A7.12	15514
SPCC1223.07c	13565
SPAC18G6.14c	68127
SPACUNK4.07c	7050
SPBC646.16	26114
SPBC12C2.04	22485
SPAC3H5.07	20397
SPBC839.05c	30336
SPAC2G11.07c	28701
SPBC13G1.02	20744
SPAC57A10.10c	15227
SPAC1142.02c	18839
SPCC338.15	18687
SPCC11E10.01	28748
SPBC4.07c	12683
SPAC4A8.04	54741
SPBC646.05c	15689
SPAC16E8.01	9370
SPBC17A3.07	27609
SPAC6G10.11c	23244
SPACUNK4.16c	9445
SPAC1039.10	51041
SPBC609.05	11154
SPAC24H6.07	2964
SPCC962.04	57224
SPAC140.02	19346
SPAC26A3.15c	16842
SPAC1F5.06	9303
SPBC29A3.12	8568
SPBC776.09	11519
SPAPB8E5.09	19942
SPBC4C3.06	8102
SPBC13E7.04	44127
SPAC1071.07c	14190
SPCC1906.01	24248
SPAC9G1.05	17905
SPBC31F10.07	14568
SPBC17D11.05	7037
SPAC17A5.15c	11053
SPBC2G2.04c	70035
SPAC1296.02	45310
SPAC890.06	5090
SPAC4D7.05	22768
SPAC1F7.04	21834
SPAC18G6.04c	12844
SPCC576.08c	51134
SPAC3A12.14	39964
SPCC1393.03	20406
SPAC637.13c	13617
SPAC328.03	20772
SPAC1F7.12	27366
SPAC11G7.02	6630
SPAC17H9.12c	34407
SPCC18B5.01c	6503
SPAC3A12.10	45719
SPBC146.14c	8572
SPBC19F5.03	13034
SPBC30D10.14	29889
SPAC1002.12c	10156
SPBP8B7.19	8636
SPBC17G9.03c	13502
SPBC776.02c	13953
SPBC11B10.02c	17001
SPCC18.18c	23826
SPBC725.15	17940
SPAC959.02	17368
SPAC6F6.10c	23958
SPAC1486.01	65637
SPAC343.16	5976
SPBC1271.14	20718
SPBC1A4.08c	8680
SPAC3F10.03	11192
SPBC18E5.07	14014
SPBC3E7.16c	13764
SPAC30D11.01c	14577
SPBC1711.12	11526
SPBC776.15c	16279
SPAC5H10.03	44175
SPBP8B7.05c	32905
SPBC21D10.12	18306
SPAC1635.01	79739
SPBC3E7.05c	10713
SPAC17G8.04c	41641
SPBC1289.16c	6699
SPBP16F5.08c	23931
SPBC1604.07	36212
SPBPB2B2.06c	19562
SPBC1861.05	9250
SPAC17A2.03c	26263
SPAC4F10.20	83906
SPAC1A6.04c	32633
SPBC25H2.05	43891
SPCC285.05	56473
SPAC1B3.01c	22228
