!!SBtab TableType='Proteomaps' Organism='hsa' ProteinIdentifier='http://identifiers.org/uniprot/'
!ProteinIdentifier	!Abundance
P60709	1244934385.71238
P68363	480552585.028628
P62805	1986175281.95642
P00352	1618166.68041238
P05783	427767280.94067
Q71DI3	771655674.551336
P0C0S8	909520947.228992
P07355-2;P07355;P07355-1;B4DNH8;B3KRQ1	266713604.440077
P68104	566353379.327197
P62807	760829014.399428
P14618	323503908.328641
P04406	639878518.426262
P07737	351206116.780363
P23528	324880057.235992
P62979	436909293.063035
P06733	390179963.512108
Q06830	446073019.177539
P15121	81465635.8741766
P62937	615887133.14189
P08670	596742728.929023
P68371	341936339.623955
P08238	484432562.215009
P52895	513768.880335273
P04083;B5BU38;Q05BR2;Q5TZZ9;B4DL19	129256026.781994
P00338	300200146.445847
O43707	165763216.199053
O60218	1564464.49233142
P06703;B2R577	207133122.940856
P09382	146383258.004267
P42330	1673831.17126416
P07195	357159993.424565
P11142	349333113.825177
P60866	331693664.540898
Q53HE2	295083699.054201
P62826	350013319.607276
P63104	211580115.634773
P11413	27838346.8559535
P62263	317819701.216092
P29401	148343326.023107
P05387	327739273.083102
B4DNM7;Q3B792	13059940.7364375
P06748	313740151.957972
P09211	1445785.10056726
P22626	296756136.463435
P10599	209709858.51394
P04792	215820122.865292
P16403	325653556.100346
P63241	342376881.426532
P62888	238126922.457496
P09429	249606881.623858
P26447	114517021.256078
P04075	261123201.499564
Q07020	231043316.021033
P62857	193420496.100878
P25398	224456785.363129
P62750	278730033.255254
P62280	234529927.409485
P22392	193113641.659352
P61604	173776501.772526
P21333	85564269.1366264
P14174	204693573.519782
P05386	198132146.263305
Q0P5T0	61232445.2752698
P62829	124876791.529633
P60903;Q6FGE5	68822953.7820617
P62241	293043077.840278
P42766	187883482.761862
P62701	202620142.309836
P61247	195199836.856446
P09651	237306401.705334
P12236	164080417.468122
P62424	218916672.795232
P62851	205710460.15473
P09936	2616122.43787292
P23284	286139987.969365
P37802	117098743.412456
Q6LES2;P09525;B4DDF9;B4DDZ4;B4DE02;B4E1S2;Q59FK3;Q6MZI0;Q6P452	12972908.5436033
P62910	117056912.248439
P08708	174509993.255506
P62269	178186331.218279
P39023	171986642.66074
P10809	247122889.354219
P00558	247143245.854559
P23396	188466694.326701
P35268	165933602.623466
P46781	210440071.289999
P06576	162600280.043818
P08865	191963570.647331
P60842	233109700.590949
P46776	158823781.624059
P61978	178873614.951634
P21796	152746771.311181
P36578	165073073.424318
P63173	158481375.392393
P40926	104318776.752771
P61254	104500691.119318
P13639	262710471.466566
P61956	74635387.7947332
P62906	189026813.177544
P08195	132416708.21301
Q9Y3U8	158406423.699524
Q9BUQ0	116150699.58654
P62158	147076719.085762
P30050	196929828.60425
P07910	167289996.863146
P18124	194620119.986024
Q02878	213286151.684273
P52209	29286971.5941627
P07951	72302926.6096274
P84098	167596617.451501
P63244	155703349.295748
O60701	15188639.3224322
P50914	115356730.240386
P60981	52078259.1347634
P84090;B2R5H2	121146781.205975
P62249	181836896.830754
O75531;B2R4V4	61619607.6032588
P62899	149749853.201456
P31943	155981599.327666
P61313	135329704.18896
P62917	132289026.923795
P31949;B2R5H0	122189501.51496
P62258	159700231.612755
P10620	86162733.7470025
P62913	112031210.51523
P32969	160506662.722846
P39019	125373664.59757
P50238	44841561.0838967
P07900	139103142.476405
P23526	95443369.8558478
Q6PUV4;B4DEW3	393638.033423761
P05388	118535024.845147
P18669	150866713.718833
P14866	119640164.986273
