!!SBtab TableType='Proteomaps' Organism='eco' Condition='Growth rate 0.21 1/h'
!ProteinIdentifier	!Abundance
b3933	13
b0948	15
b0381	17
b0167	19
b3590	20
b4170	20
b2341	22
b2795	24
b0208	29
b2289	29
b3771	31
b2291	33
b2502	33
b4266	33
b0409	34
b1280	34
b3804	35
b3972	35
b2379	36
b3487	36
b3813	36
b4149	36
b4261	36
b0414	38
b0470	38
b3655	39
b0676	40
b3702	40
b4390	40
b2520	42
b3162	42
b0604	43
b2216	43
b0633	44
b1511	44
b1846	46
b2806	47
b1188	48
b1305	48
b2811	48
b1098	50
b1049	52
b3290	52
b4350	54
b1114	55
b2568	55
b4211	55
b0760	56
b3850	56
b0346	57
b0506	57
b1190	57
b1584	57
b0054	60
b0967	60
b1086	60
b1518	60
b1990	60
b3791	60
b1272	61
b3163	62
b0914	63
b1853	63
b3195	63
b0662	65
b0006	66
b1378	66
b2566	67
b1323	68
b2472	68
b2079	69
b2794	69
b2829	69
b3963	69
b4016	69
b0261	70
b0772	70
b1462	70
b2344	72
b3020	72
b1192	74
b0059	75
b1490	75
b1927	75
b4049	75
b3605	77
b0088	79
b3125	79
b1107	80
b2501	80
b3706	80
b0049	83
b1209	84
b1608	84
b3345	84
b0712	86
b3197	86
b0741	87
b0779	87
b3053	87
b3999	88
b4129	88
b4323	90
b0406	91
b3205	91
b0239	92
b3146	92
b3940	92
b2254	93
b3281	93
b2615	94
b4388	94
b1594	95
b2593	95
b3974	95
b2411	96
b2600	96
b3835	96
b0092	97
b1264	97
b3068	97
b0420	98
b2473	98
b2532	98
b3289	98
b4262	98
b1668	99
b4043	99
b0091	100
b0113	100
b2086	101
b3094	102
b3524	102
b1176	103
b2905	106
b1326	107
b3081	107
b3193	107
b3407	107
b4046	107
b2081	108
b1117	109
b2684	109
b2428	110
b2688	110
b3055	110
b0086	111
b1661	112
b3210	113
b1217	115
b3259	118
b3526	118
b2517	119
b4167	119
b2500	121
b3054	121
b2936	123
b3802	123
b2312	124
b3282	124
b4173	124
b1427	125
b3202	125
b2034	126
b4179	127
b0124	128
b3648	128
b1400	129
b1424	129
b2290	129
b2526	129
b3147	129
b4295	130
b3752	133
b0968	134
b0851	135
b3032	136
b0085	137
b1782	137
b1787	137
b2342	137
b1269	138
b2475	138
b2838	138
b1757	139
b2784	140
b1703	141
b1983	141
