Numerator	Denominator	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8712	0.7671	0.8392	0.8695	0.8045	0.8173	0.9057	0.8183	0.8189	0.8903	0.8933	0.8152	0.8179	0.8176	0.8384	0.8853	0.8007	0.8168	0.8874	0.8063	0.8169	0.8223	0.82	0.8258	0.7996	0.8219	0.7823	0.8395
Genetic Information Processing	TOTAL	0.2269	0.1582	0.1483	0.1069	0.1571	0.2223	0.05033	0.2243	0.376	0.09541	0.06922	0.2282	0.2408	0.1449	0.1489	0.1553	0.1467	0.155	0.04812	0.1616	0.2355	0.4089	0.2686	0.2185	0.1806	0.2751	0.2285	0.1327
-Transcription	TOTAL	0.01354	0.01264	0.007136	0.003621	0.01236	0.01569	0.001879	0.01415	0.04452	0.006296	0.00516	0.01227	0.01299	0.009212	0.009159	0.005257	0.01008	0.0125	0.001478	0.01116	0.0214	0.007631	0.01343	0.02152	0.01293	0.03391	0.02961	0.006148
-Translation	TOTAL	0.04611	0.03457	0.03238	0.03186	0.0365	0.06256	0.01475	0.06765	0.115	0.02516	0.01627	0.06896	0.07482	0.03735	0.03182	0.05268	0.03239	0.03447	0.01781	0.04182	0.05395	0.2056	0.09175	0.05408	0.05245	0.07041	0.0629	0.03474
-Folding, Sorting and Degradation	TOTAL	0.1577	0.1013	0.1018	0.06763	0.09966	0.1323	0.03028	0.1327	0.175	0.05672	0.04453	0.1343	0.1375	0.08972	0.09732	0.09194	0.09667	0.09859	0.02507	0.1007	0.1445	0.1829	0.1468	0.1244	0.09811	0.143	0.1136	0.08411
-DNA Maintenance	TOTAL	0.01071	0.009785	0.006537	0.005037	0.008751	0.0119	0.004168	0.009663	0.0405	0.007731	0.00341	0.01382	0.016	0.008166	0.008186	0.00677	0.00951	0.01087	0.003735	0.008017	0.01755	0.01277	0.01453	0.01961	0.01563	0.0322	0.0228	0.008732
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.0557	0.04705	0.04313	0.0271	0.05169	0.05154	0.0308	0.05073	0.04115	0.02975	0.03721	0.05252	0.05556	0.03943	0.02961	0.01912	0.05168	0.04473	0.01947	0.06159	0.05463	0.02077	0.03394	0.05127	0.04182	0.04542	0.03987	0.04041
-Signal Transduction	TOTAL	0.02444	0.04381	0.0366	0.02362	0.0425	0.03633	0.02946	0.04253	0.03469	0.02588	0.03438	0.0323	0.03577	0.03322	0.02507	0.01478	0.03814	0.03953	0.0172	0.05207	0.04254	0.01472	0.02909	0.04152	0.03143	0.03714	0.03103	0.03284
