Numerator	Denominator	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8712	0.8712	0.8712	0.7671	0.7671	0.7671	0.8392	0.8392	0.8392	0.8695	0.8695	0.8695	0.8045	0.8045	0.8045	0.8173	0.8173	0.8173	0.9057	0.9057	0.9057	0.8183	0.8183	0.8183	0.8189	0.8189	0.8189	0.8903	0.8903	0.8903	0.8933	0.8933	0.8933	0.8152	0.8152	0.8152	0.8179	0.8179	0.8179	0.8176	0.8176	0.8176	0.8384	0.8384	0.8384	0.8853	0.8853	0.8853	0.8007	0.8007	0.8007	0.8168	0.8168	0.8168	0.8874	0.8874	0.8874	0.8063	0.8063	0.8063	0.8169	0.8169	0.8169	0.8223	0.8223	0.8223	0.82	0.82	0.82	0.8258	0.8258	0.8258	0.7996	0.7996	0.7996	0.8219	0.8219	0.8219	0.7823	0.7823	0.7823	0.8395	0.8395	0.8395
Genetic Information Processing	TOTAL	0.2253	0.2298	0.2347	0.156	0.1639	0.168	0.1448	0.1475	0.1497	0.1063	0.1073	0.1092	0.1544	0.1603	0.1624	0.2173	0.2197	0.2251	0.04964	0.05064	0.0518	0.2185	0.2238	0.2315	0.3677	0.3735	0.3796	0.09348	0.09589	0.09705	0.06836	0.06905	0.06956	0.2233	0.2266	0.2319	0.2355	0.2394	0.2431	0.1424	0.1444	0.1461	0.1445	0.1495	0.1525	0.1537	0.155	0.159	0.1456	0.1489	0.1512	0.1501	0.1615	0.1656	0.04724	0.04785	0.04847	0.1597	0.1673	0.1688	0.2315	0.2421	0.2473	0.3916	0.4122	0.4516	0.2597	0.2635	0.2704	0.2139	0.2183	0.2211	0.1709	0.1778	0.1846	0.271	0.2747	0.2816	0.2232	0.2322	0.2363	0.1314	0.1539	0.1586
-Transcription	TOTAL	0.01354	0.01354	0.01372	0.01263	0.01264	0.01276	0.007129	0.007129	0.007239	0.003616	0.003617	0.003738	0.01234	0.01236	0.0127	0.01567	0.01568	0.01608	0.001878	0.001879	0.001986	0.01414	0.01414	0.01449	0.04436	0.0445	0.04603	0.00629	0.006291	0.006455	0.00516	0.00516	0.005192	0.01225	0.01225	0.01253	0.01295	0.01296	0.01343	0.009196	0.0092	0.009383	0.009147	0.009149	0.009343	0.005246	0.005246	0.005395	0.01006	0.01007	0.01067	0.01247	0.01248	0.01256	0.001475	0.001478	0.001524	0.01114	0.01115	0.01135	0.02134	0.02137	0.02162	0.00762	0.007628	0.007723	0.01341	0.01342	0.01353	0.02149	0.0215	0.02196	0.01291	0.01292	0.01308	0.03387	0.0339	0.03453	0.02959	0.0296	0.02987	0.00614	0.006144	0.006285
-Translation	TOTAL	0.04448	0.04466	0.04613	0.03283	0.03296	0.0346	0.03166	0.03177	0.03239	0.0315	0.03163	0.03187	0.03552	0.03588	0.03651	0.061	0.0614	0.0626	0.01463	0.01474	0.01475	0.06635	0.0667	0.06772	0.1109	0.1126	0.115	0.0242	0.02436	0.02517	0.01608	0.01611	0.01628	0.06786	0.06814	0.06897	0.0732	0.07367	0.07485	0.03649	0.03669	0.03737	0.0313	0.03149	0.03184	0.05213	0.0523	0.05267	0.03139	0.032	0.0324	0.03309	0.03317	0.03454	0.0176	0.01765	0.01782	0.04084	0.04104	0.04185	0.05101	0.05126	0.05405	0.2048	0.2049	0.2057	0.09036	0.09046	0.09186	0.04996	0.05041	0.05409	0.05207	0.05222	0.05261	0.06383	0.06448	0.07043	0.05843	0.05869	0.06317	0.03361	0.03375	0.03476
-Folding, Sorting and Degradation	TOTAL	0.157	0.1617	0.1659	0.09823	0.109	0.1109	0.1007	0.1019	0.1051	0.06725	0.06793	0.06979	0.09767	0.1033	0.1059	0.1309	0.133	0.1358	0.02987	0.03049	0.03128	0.1296	0.1344	0.1432	0.1713	0.177	0.1836	0.05567	0.05784	0.05913	0.04349	0.04422	0.04485	0.1325	0.1354	0.1384	0.1368	0.1381	0.1394	0.08941	0.09077	0.09248	0.09676	0.1017	0.1035	0.0914	0.09243	0.09479	0.09481	0.09752	0.1027	0.09455	0.1059	0.1091	0.02438	0.02493	0.0259	0.09948	0.1073	0.1089	0.1419	0.155	0.1608	0.1673	0.1866	0.2269	0.1426	0.1499	0.1524	0.1237	0.1265	0.1306	0.09248	0.09998	0.1062	0.1405	0.1444	0.1526	0.1117	0.1194	0.1259	0.08324	0.1065	0.1109
-DNA Maintenance	TOTAL	0.008122	0.009696	0.01135	0.007841	0.01021	0.01243	0.004268	0.005398	0.007734	0.003336	0.00397	0.005036	0.006129	0.007914	0.009126	0.007745	0.009628	0.01191	0.002963	0.003281	0.004438	0.006408	0.008531	0.009685	0.03041	0.03749	0.04075	0.005361	0.006828	0.007701	0.002934	0.003222	0.003592	0.009316	0.01135	0.0158	0.01157	0.01297	0.01745	0.005859	0.007371	0.008157	0.004992	0.007614	0.008174	0.003973	0.005062	0.007427	0.006078	0.00858	0.009521	0.00674	0.009276	0.01101	0.002931	0.003777	0.004304	0.005832	0.007098	0.008563	0.01025	0.01459	0.01761	0.007495	0.009533	0.01301	0.008245	0.01322	0.01463	0.01321	0.01762	0.02177	0.008288	0.01221	0.01553	0.02468	0.02881	0.03538	0.01456	0.01924	0.02379	0.006681	0.00814	0.008717
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.05567	0.05592	0.05633	0.04698	0.0476	0.04831	0.04298	0.04359	0.04451	0.02709	0.02731	0.02756	0.05149	0.05208	0.05278	0.05152	0.05199	0.05224	0.03076	0.03088	0.03098	0.0507	0.05106	0.05127	0.0411	0.04159	0.04262	0.0295	0.03013	0.03051	0.03719	0.03738	0.03768	0.05241	0.05286	0.05357	0.05546	0.05599	0.0569	0.03926	0.03969	0.04031	0.02952	0.02996	0.03027	0.0191	0.01929	0.01974	0.0516	0.05263	0.05297	0.04437	0.04496	0.04569	0.01943	0.01954	0.01958	0.06158	0.06194	0.0627	0.05448	0.05523	0.05546	0.02069	0.02093	0.02102	0.03388	0.03415	0.03452	0.05105	0.05232	0.05328	0.04178	0.0421	0.04271	0.04541	0.04599	0.04651	0.03982	0.04032	0.0408	0.04039	0.04082	0.04101
