Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
TOTAL	TOTAL	1	1	1	1
MAPPED	TOTAL	0.7796	0.7685	0.8272	0.8324
Genetic Information Processing	TOTAL	0.3155	0.3195	0.3388	0.3338
-Transcription	TOTAL	0.04051	0.04146	0.04301	0.04038
-Translation	TOTAL	0.1088	0.1332	0.09931	0.0956
-Folding, Sorting and Degradation	TOTAL	0.1064	0.09343	0.1507	0.1467
-DNA Maintenance	TOTAL	0.0659	0.05858	0.05414	0.0557
-RNA Family	TOTAL	0	0	0	0
Environmental Information Processing	TOTAL	0.0484	0.04499	0.02049	0.02152
-Signal Transduction	TOTAL	0.01466	0.01204	0.007322	0.008376
-Signaling Molecules and Interaction	TOTAL	0.04104	0.03784	0.01496	0.01352
Cellular Processes	TOTAL	0.1094	0.1005	0.107	0.1005
-Cell structure	TOTAL	0	0	0	0
-Crystallins	TOTAL	0	0	0	0
-Stress Response	TOTAL	0	0	0	0
-Vesicular Transport	TOTAL	0.03737	0.04213	0.02299	0.02348
-Cytoskeleton	TOTAL	0.05157	0.04264	0.06064	0.05247
-Cell Motility	TOTAL	0	0	0	0
-Cell Growth and Death	TOTAL	0.01255	0.01064	0.01396	0.01455
-Cell Communication	TOTAL	0.01316	0.01104	0.01844	0.01839
Metabolism	TOTAL	0.2063	0.2056	0.2696	0.2966
-Membrane Transport	TOTAL	0.005217	0.004475	0.002712	0.001977
-Central Carbon Metabolism	TOTAL	0.03076	0.03828	0.07339	0.08403
-Energy Metabolism	TOTAL	0.00833	0.007754	0.02139	0.02538
-Biosynthesis	TOTAL	0.05208	0.05384	0.06458	0.06785
-Other Enzymes	TOTAL	0.1279	0.1184	0.1383	0.1477
Organismal Systems	TOTAL	0.06912	0.07155	0.04892	0.04828
-Immune System	TOTAL	0.03882	0.04595	0.02359	0.02587
-Endocrine System	TOTAL	0.009373	0.008247	0.01012	0.007993
-Circulatory System	TOTAL	0.001966	0.001868	0.003218	0.002952
-Digestive System	TOTAL	0.005542	0.004964	0.00326	0.003475
-Excretory System	TOTAL	0.007185	0.00556	0.006196	0.005674
-Nervous System	TOTAL	0.007744	0.007036	0.00927	0.008194
-Sensory System	TOTAL	0.0009344	0.0007047	0.0004492	0.0001864
-Development	TOTAL	0.006551	0.004978	0.002705	0.002317
-Environmental Adaptation	TOTAL	0.002156	0.002826	0.003379	0.00278
Human Diseases	TOTAL	0.07639	0.08317	0.1018	0.09791
-Cancers	TOTAL	0.01389	0.01149	0.01036	0.0093
-Immune System Diseases	TOTAL	0.005742	0.005461	0.003985	0.003567
-Neurodegenerative Diseases	TOTAL	0.02992	0.03766	0.06025	0.05904
-Cardiovascular Diseases	TOTAL	0.007045	0.005487	0.01551	0.01302
-Metabolic Diseases	TOTAL	0.001274	0.001147	0.00959	0.01454
-Infectious Diseases	TOTAL	0.0301	0.03325	0.02408	0.02622
Not Mapped	TOTAL	0.2204	0.2315	0.1728	0.1676
-Not Mapped	TOTAL	0.2204	0.2315	0.1728	0.1676
TOTAL	MAPPED	1.283	1.301	1.209	1.201
MAPPED	MAPPED	1	1	1	1
Genetic Information Processing	MAPPED	0.4047	0.4158	0.4095	0.401
-Transcription	MAPPED	0.05196	0.05395	0.05199	0.04851
-Translation	MAPPED	0.1396	0.1733	0.1201	0.1148
-Folding, Sorting and Degradation	MAPPED	0.1365	0.1216	0.1822	0.1763
-DNA Maintenance	MAPPED	0.08453	0.07622	0.06546	0.06691
-RNA Family	MAPPED	0	0	0	0
Environmental Information Processing	MAPPED	0.06209	0.05854	0.02477	0.02586
-Signal Transduction	MAPPED	0.01881	0.01566	0.008851	0.01006
-Signaling Molecules and Interaction	MAPPED	0.05264	0.04924	0.01808	0.01625
Cellular Processes	MAPPED	0.1403	0.1308	0.1293	0.1207
-Cell structure	MAPPED	0	0	0	0
-Crystallins	MAPPED	0	0	0	0
-Stress Response	MAPPED	0	0	0	0
-Vesicular Transport	MAPPED	0.04794	0.05482	0.0278	0.0282
-Cytoskeleton	MAPPED	0.06615	0.05549	0.0733	0.06303
-Cell Motility	MAPPED	0	0	0	0
-Cell Growth and Death	MAPPED	0.0161	0.01385	0.01687	0.01748
-Cell Communication	MAPPED	0.01688	0.01437	0.0223	0.02209
Metabolism	MAPPED	0.2647	0.2676	0.3259	0.3564
-Membrane Transport	MAPPED	0.006691	0.005823	0.003278	0.002375
-Central Carbon Metabolism	MAPPED	0.03946	0.04981	0.08873	0.1009
-Energy Metabolism	MAPPED	0.01068	0.01009	0.02586	0.03049
-Biosynthesis	MAPPED	0.0668	0.07006	0.07807	0.0815
-Other Enzymes	MAPPED	0.1641	0.1541	0.1672	0.1775
Organismal Systems	MAPPED	0.08867	0.09311	0.05914	0.058
-Immune System	MAPPED	0.0498	0.05979	0.02852	0.03108
-Endocrine System	MAPPED	0.01202	0.01073	0.01223	0.009602
-Circulatory System	MAPPED	0.002522	0.002431	0.00389	0.003547
-Digestive System	MAPPED	0.007109	0.006459	0.003942	0.004175
-Excretory System	MAPPED	0.009217	0.007235	0.007491	0.006816
-Nervous System	MAPPED	0.009933	0.009155	0.01121	0.009844
-Sensory System	MAPPED	0.001199	0.0009169	0.0005431	0.000224
-Development	MAPPED	0.008403	0.006477	0.00327	0.002783
-Environmental Adaptation	MAPPED	0.002765	0.003677	0.004085	0.00334
Human Diseases	MAPPED	0.09798	0.1082	0.123	0.1176
-Cancers	MAPPED	0.01782	0.01495	0.01253	0.01117
-Immune System Diseases	MAPPED	0.007365	0.007107	0.004818	0.004285
-Neurodegenerative Diseases	MAPPED	0.03838	0.04901	0.07284	0.07092
-Cardiovascular Diseases	MAPPED	0.009036	0.00714	0.01876	0.01564
-Metabolic Diseases	MAPPED	0.001634	0.001493	0.01159	0.01747
-Infectious Diseases	MAPPED	0.03861	0.04327	0.02911	0.0315
Not Mapped	MAPPED	0.2827	0.3012	0.2089	0.2013
-Not Mapped	MAPPED	0.2827	0.3012	0.2089	0.2013
TOTAL	Genetic Information Processing	3.267	3.216	3.073	3.153
MAPPED	Genetic Information Processing	2.547	2.472	2.542	2.624
