KO number	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
K14721	NaN	NaN	NaN	NaN
K03040	NaN	NaN	NaN	NaN
K03043	NaN	NaN	NaN	NaN
K03046	NaN	NaN	NaN	NaN
K03048	NaN	NaN	NaN	NaN
K03060	NaN	NaN	NaN	NaN
K03010	33.7133	27.7875	923458.7	848613.6
K03006	29.617	14.9955	221650.77	212752.97
K03011	22.1429	21.4584	571455.52	651536.27
K03008	NaN	NaN	NaN	NaN
K03012	31.9263	16.3395	130216.58	125882
K03015	31.7205	30.2439	241479.04	311525.73
K03017	NaN	NaN	NaN	NaN
K03013	100.782	77.2361	1471204.8	1902741.1
K03016	17.0929	22.9722	471652.88	982437.6
K03009	40.8847	36.7101	543101.09	605322.06
K03021	2.14661	1.59577	28614.134	18495.386
K03018	5.94059	4.96372	52097.517	21362.92
K03020	55.0618	55.7925	294553.47	286816.35
K03027	10.8332	13.3647	1046930.8	894482.72
K03023	9.82407	12.7657	315765.11	101851.69
K03026	NaN	NaN	NaN	NaN
K03019	NaN	NaN	NaN	NaN
K03022	NaN	NaN	NaN	NaN
K03024	NaN	NaN	NaN	NaN
K03002	20.1345	10.8068	175468.21	227510.55
K02999	10.0251	4.98381	264710.99	530988.7
K03000	NaN	NaN	NaN	NaN
K03005	NaN	NaN	NaN	NaN
K03142	35.7467	38.7614	537418.99	403826.68
K14649	NaN	NaN	NaN	NaN
K14651	NaN	NaN	NaN	NaN
K14650	NaN	NaN	NaN	NaN
K03122	NaN	NaN	NaN	NaN
K03123	NaN	NaN	NaN	NaN
K03124	30.4578	28.9182	336793.74	332277.4
K03120	NaN	NaN	NaN	NaN
K03128	NaN	NaN	NaN	NaN
K03134	NaN	NaN	NaN	NaN
K03130	NaN	NaN	NaN	NaN
K03129	5.77997	5.08553	14892.629	43496.893
K03126	NaN	NaN	NaN	NaN
K03131	NaN	NaN	NaN	NaN
K14535	NaN	NaN	NaN	NaN
K03133	NaN	NaN	NaN	NaN
K03136	11.4127	9.37865	49323.77	153002.36
K03137	41.213	39.1178	197827.98	302479.99
K03138	28.2084	25.9902	502868.2	181388.87
K03139	NaN	NaN	NaN	NaN
K03141	NaN	NaN	NaN	NaN
K03143	NaN	NaN	NaN	NaN
K03144	NaN	NaN	NaN	NaN
K10843	NaN	NaN	NaN	NaN
K10844	11.014	7.2863	164239.67	261449.92
K10845	NaN	NaN	NaN	NaN
K02202	11.2438	10.0459	223998.97	388770.14
K10842	NaN	NaN	NaN	NaN
K06634	NaN	NaN	NaN	NaN
K03121	20.5294	12.6587	756253.89	1132904.1
K09028	179.41	69.3922	247421.57	80077.22
K09035	NaN	NaN	NaN	NaN
K04450	NaN	NaN	NaN	NaN
K05870	8.13555	7.81727	773467.09	868133.85
K09052	NaN	NaN	NaN	NaN
K10048	NaN	NaN	NaN	NaN
K14431	NaN	NaN	NaN	NaN
K14432	NaN	NaN	NaN	NaN
K09061	5.95879	5.73742	65582.964	197383.74
K09105	24.8527	26.5801	213985.58	131582.94
K04377	NaN	NaN	NaN	NaN
K04453	NaN	NaN	NaN	NaN
K09113	NaN	NaN	NaN	NaN
K09173	2.0148	1.90314	43327.704	27211.11
K08061	47.9675	35.4863	96139.832	119601.38
K08539	NaN	NaN	NaN	NaN
K07292	NaN	NaN	NaN	NaN
K08037	NaN	NaN	NaN	NaN
K08525	15.3416	11.6438	10636.636	22254.36
K05771	44.8394	25.5652	109785.79	196916.87
K08558	9.90107	0.933718	1425406.6	499137.37
K09187	NaN	NaN	NaN	NaN
K07466	66.3967	52.778	1867185.9	2284169
K10779	11.6531	12.1626	12658.834	37729.909
K04684	NaN	NaN	NaN	NaN
K09220	23.3879	20.8906	232935.09	393295.86
K09228	1.73617	0.975165	195403.03	169293.41
K12236	11.8825	10.9576	34836.682	18110.78
K09250	228.939	238.319	140977.93	179412.74
K09299	NaN	NaN	NaN	NaN
K08036	NaN	NaN	NaN	NaN
K08034	NaN	NaN	NaN	NaN
K09377	33.9733	13.7823	560962.38	324685.73
K04682	NaN	NaN	NaN	NaN
K09404	6.56448	2.90133	171598.9	163174.33
K07201	NaN	NaN	NaN	NaN
K09414	15.3743	11.5248	19421.289	43571.076
K03211	NaN	NaN	NaN	NaN
K02678	NaN	NaN	NaN	NaN
K09435	NaN	NaN	NaN	NaN
K09436	NaN	NaN	NaN	NaN
K05411	34.3076	52.5292	1031750.5	179830.72
K09445	95.0287	101.328	627807.88	1499472.9
K09446	18.0863	56.2854	81543.163	797160.83
K10155	19.3013	108.869	28934.776	200073.88
K02580	38.7412	39.9819	556979.16	701477.89
K04469	72.6102	43.584	873508.17	635464.79
K04735	23.0773	18.3968	659119.85	338610.17
K09254	32.2418	4.11375	895054.9	588127.44
K04734	NaN	NaN	NaN	NaN
K05872	42.4233	50.6683	5009337.7	8163450.7
K04446	NaN	NaN	NaN	NaN
K11220	159.246	200.423	7460807.4	13410843
K11221	26.7952	27.6835	701389.19	513270.53
K04692	101.957	25.4294	1689563.3	1420484.3
K11223	27.2938	8.42274	511476.61	268290.02
K11224	40.4489	21.5644	87706.073	80588.393
K11225	35.6336	28.941	768673.72	930423.02
K09262	31.9614	15.2987	66669.65	245865.3
K02620	NaN	NaN	NaN	NaN
K09273	22.3694	22.5495	502057.09	370192.82
K08065	NaN	NaN	NaN	NaN
K08066	NaN	NaN	NaN	NaN
K09275	13.9978	15.0455	77561.386	255185.38
K06099	NaN	NaN	NaN	NaN
K08367	NaN	NaN	NaN	NaN
K09279	53.9371	23.3941	236440.16	65607.355
K09282	1.50733	1.31373	1018304.1	756731.52
K06618	13.4008	33.8828	98179.681	324847.49
K04681	NaN	NaN	NaN	NaN
K04498	NaN	NaN	NaN	NaN
K10166	8.03123	29.5697	300372.53	449291.67
K14514	NaN	NaN	NaN	NaN
K03704	NaN	NaN	NaN	NaN
K02825	NaN	NaN	NaN	NaN
K12811	17.3544	11.3591	1293099.7	1300417
K12813	17.9735	9.3239	264136.42	305678.04
K12815	16.3687	14.5422	143070.83	128577.22
K12816	9.46282	6.71985	110550.95	73005.428
K12817	NaN	NaN	NaN	NaN
K12818	14.2167	11.5995	49317.949	54702.573
K12819	NaN	NaN	NaN	NaN
K12820	33.7459	32.0728	3402318.9	4678738.8
K11086	NaN	NaN	NaN	NaN
K11087	67.3326	91.8298	6776741.6	6806403.2
K11096	9.98254	8.91474	9913559.9	7615926.1
K11088	NaN	NaN	NaN	NaN
K11097	27.2404	35.7966	37314687	30120106
K11098	19.3161	35.6157	3667932.6	8740553.2
K11099	0.463364	17.7774	2355817.5	8054863.2
K11093	37.751	30.76	3561089.5	3500741.3
K11091	57.6305	77.1623	5159750.9	4519644.7
K11095	NaN	NaN	NaN	NaN
K12821	51.0015	31.3804	801223.66	844327.75
K12822	27.8356	19.4747	1001051.7	1029096.3
K12823	159.16	158.279	3385528.2	2425868.4
K12824	22.3536	17.2317	971587.73	1193257.1
K11092	6.42448	16.2889	3736475.3	4003310.9
K11094	30.0011	44.0842	2675124.4	1280986.8
K12825	30.9911	24.452	2682891.9	2580520
K12826	39.9136	52.0586	1791621	1696897.7
K12827	25.1152	16.7889	2225583.5	2099574.9
K12828	93.1184	77.2368	3135559.9	2844756.3
K12829	51.5563	42.4063	2701820.6	2575221.4
K12830	43.3124	32.835	1022768.9	1423404.9
K12831	NaN	NaN	NaN	NaN
K12832	NaN	NaN	NaN	NaN
K12833	NaN	NaN	NaN	NaN
K12834	NaN	NaN	NaN	NaN
K12835	45.3287	39.2666	815224.98	815554.18
K12836	5.34227	4.30331	2106963	2622456
K12837	82.3469	90.0183	1505758.3	2468838.5
K12838	26.2193	22.6409	1901244.9	1895988.3
K12839	13.56	12.3011	739187.87	566305.55
K12840	19.081	17.221	565676.59	446923.07
K12841	7.07836	6.86973	579542.95	531844.71
K12842	16.1476	15.4041	489279.71	752783.95
K12621	78.1685	75.0144	2531729.9	3088065.8
K12622	7.55995	9.52575	3304842.5	5850111.6
K12623	NaN	NaN	NaN	NaN
K12624	NaN	NaN	NaN	NaN
K12625	NaN	NaN	NaN	NaN
K12626	102.703	120.84	1032850.1	959270.72
K12627	27.3544	27.7368	694096.76	1254637.8
K12843	6.53069	6.38249	722832.52	668131.15
K12662	18.1669	16.0463	687167.98	747598.13
K09567	8.11604	9.79883	3269440.7	2502463.5
K12844	21.7329	24.8137	2070990.4	1676983.8
K12845	101.184	99.4348	1053391.5	1485443.3
K12846	17.4201	11.4524	355962.38	321376.26
K12847	19.5778	15.7734	1014381.8	1151895.7
K11984	28.5809	25.6225	671006.06	537424.32
K12848	43.5098	32.1698	278395.02	166124.82
K12849	5.05113	7.38051	386539.36	409849.99
K12850	24.4786	25.7947	253445.38	512688.3
K12852	33.8543	22.2365	1696436.5	2325173
K12854	40.1621	29.003	1493085.1	1603778.1
K12855	33.8673	51.9219	779675.52	938729.57
K12856	57.4902	41.3803	1373696.8	1213396.6
K12857	12.3363	13.1431	807302.41	863409.75
K12858	19.8247	14.4235	895365.55	852297.31
K12859	48.9628	81.612	208215.3	381831.91
K10599	38.202	37.3252	3454207.5	3132500.2
K12860	15.079	11.1266	796225.68	1273144.2
K12861	27.1244	32.7775	651820.52	823548.34
K12862	15.2946	15.4751	651609.6	804260.51
K12863	NaN	NaN	NaN	NaN
K12864	24.2679	22.8787	1168435.2	767178.77
K12865	24.0751	37.9913	368643.11	385323.88
K12866	19.5958	12.7113	438690.62	715380.92
K06063	44.6719	37.9576	781075.55	481771.07
K12867	19.3143	21.2813	262471.4	205626.55
K12868	NaN	NaN	NaN	NaN
K12869	9.50354	5.75263	247988.92	193478.59
K12870	NaN	NaN	NaN	NaN
K12733	NaN	NaN	NaN	NaN
K09564	7.23075	7.35274	378210.13	355410.08
K12871	NaN	NaN	NaN	NaN
K12872	20.7133	17.6541	344979.42	393420.05
K12873	46.4915	45.7429	148214.39	500633.4
K12874	12.5935	9.13168	274353.21	273114.72
K12875	30.5454	26.2266	440222.75	448982.51
K13025	NaN	NaN	NaN	NaN
K12876	31.8713	24.931	3480369.8	3958147.7
K12877	NaN	NaN	NaN	NaN
K12878	13.5187	14.5026	146671.9	304776.54
K12879	16.9241	13.2565	296200.1	426353.05
K12880	NaN	NaN	NaN	NaN
K12881	89.4061	89.9977	961062.12	1727108.3
K12882	12.7774	10.6167	766369.83	1186641.7
K12883	49.8925	33.929	626618.39	727525.67
K12741	15.4195	201.215	7456277.1	6091795.1
K12884	158.813	79.9808	11717515	8891766.2
K12885	30.7959	32.8643	1212829	1496027.9
K12886	50.9314	48.0125	14499607	17571144
K12887	97.5041	110.335	14019091	12379502
K12888	70.9246	75.6132	12274021	12506317
K12889	NaN	NaN	NaN	NaN
K12890	106.1638	125.0649	5349270.8	4927747
K12891	NaN	NaN	NaN	NaN
K12892	86.5815	100.422	3798140.1	2510570.4
K12893	190.1859	195.6738	3314285.2	2863234.3
K12896	58.3384	64.3366	2074466.1	2196883.3
K12897	85.2244	89.8984	2589109.6	2912186.7
K12900	15.1298	20.3334	587794.04	314020.19
K02926	NaN	NaN	NaN	NaN
K02970	NaN	NaN	NaN	NaN
K02899	NaN	NaN	NaN	NaN
K02895	NaN	NaN	NaN	NaN
K02892	NaN	NaN	NaN	NaN
K02988	NaN	NaN	NaN	NaN
K02935	NaN	NaN	NaN	NaN
K02939	NaN	NaN	NaN	NaN
K02948	NaN	NaN	NaN	NaN
K02946	NaN	NaN	NaN	NaN
K02888	NaN	NaN	NaN	NaN
K02884	NaN	NaN	NaN	NaN
K02887	NaN	NaN	NaN	NaN
K02886	NaN	NaN	NaN	NaN
K02906	NaN	NaN	NaN	NaN
K02950	NaN	NaN	NaN	NaN
K02902	NaN	NaN	NaN	NaN
K02959	NaN	NaN	NaN	NaN
K02992	NaN	NaN	NaN	NaN
K02991	1090.93	1601.74	9794356.3	10075245
K02990	NaN	NaN	NaN	NaN
K02996	NaN	NaN	NaN	NaN
K02874	NaN	NaN	NaN	NaN
K02876	NaN	NaN	NaN	NaN
K02878	NaN	NaN	NaN	NaN
K02879	NaN	NaN	NaN	NaN
K02907	NaN	NaN	NaN	NaN
K02956	NaN	NaN	NaN	NaN
K02955	NaN	NaN	NaN	NaN
K02954	NaN	NaN	NaN	NaN
K02913	NaN	NaN	NaN	NaN
K02911	NaN	NaN	NaN	NaN
K02916	NaN	NaN	NaN	NaN
K02914	NaN	NaN	NaN	NaN
K02963	NaN	NaN	NaN	NaN
K02961	NaN	NaN	NaN	NaN
K02863	NaN	NaN	NaN	NaN
K02867	NaN	NaN	NaN	NaN
K02864	NaN	NaN	NaN	NaN
K02945	NaN	NaN	NaN	NaN
K02967	NaN	NaN	NaN	NaN
K02982	NaN	NaN	NaN	NaN
K02986	NaN	NaN	NaN	NaN
K02994	NaN	NaN	NaN	NaN
K02952	NaN	NaN	NaN	NaN
K02965	NaN	NaN	NaN	NaN
K02968	NaN	NaN	NaN	NaN
K02981	NaN	NaN	NaN	NaN
K02985	648.64	908.724	23077477	33279012
K02984	NaN	NaN	NaN	NaN
K02987	267.017	334.397	7350977.4	11302915
K02989	290.771	376.79	10898445	14434573
K02993	11.2218	174.876	5605651.2	6556466.4
K02995	6.4734	885.279	3545998.8	2022922.8
K02997	11.2595	280.482	10675918	10252630
K02947	3.516	2.67556	351939.91	465643.36
K02949	NaN	NaN	NaN	NaN
K02951	NaN	NaN	NaN	NaN
K02953	236.637	286.862	10380632	4172557.8
K02958	NaN	NaN	NaN	NaN
K02957	NaN	NaN	NaN	NaN
K02960	643.95	633.166	6501131.5	6223744.3
K02962	NaN	NaN	NaN	NaN
K02964	NaN	NaN	NaN	NaN
K02966	NaN	NaN	NaN	NaN
K02969	11.4568	208.536	8270517.6	4091432.5
K02971	11.5459	165.553	18043009	27034528
K02973	462.826	474.419	1846549.5	1598388.1
K02974	305.736	863.932	13307464	17521051
K02975	NaN	NaN	NaN	NaN
K02976	NaN	NaN	NaN	NaN
K02978	69.3815	50.4161	404892.15	357031.07
K02977	52.9094	67.4952	1175012.2	1205446.1
K02979	NaN	NaN	NaN	NaN
K02980	NaN	NaN	NaN	NaN
K02983	NaN	NaN	NaN	NaN
K02998	21.6972	205.262	4189426.3	4463231
