KO number	eco WeiLi old	eco WeiLi complete	eco WeiLi minimal	eco WeiLi without methionine
K03040	2.0713215e+08	15668625	2779063	8219078
K03043	8.794958e+08	21681352	5447178	14290958
K03046	1.0849968e+09	24697071	5227005	14604660
K03086	1.2096206e+08	7238917	1400092	3242157
K03087	10387080	824964	3741252	818376
K02405	131450	9560	2151	8.9
K03088	1249060	121507	51737	102146
K03089	10255240	972416	327736	508928
K03092	3543156	218943	150732	197001
K03048	NaN	NaN	NaN	NaN
K03060	10634260	2683408	651469	1371461
K03010	NaN	NaN	NaN	NaN
K03006	NaN	NaN	NaN	NaN
K03011	NaN	NaN	NaN	NaN
K03008	NaN	NaN	NaN	NaN
K03015	NaN	NaN	NaN	NaN
K03017	NaN	NaN	NaN	NaN
K03013	NaN	NaN	NaN	NaN
K03016	NaN	NaN	NaN	NaN
K03018	NaN	NaN	NaN	NaN
K03020	NaN	NaN	NaN	NaN
K03027	NaN	NaN	NaN	NaN
K03023	NaN	NaN	NaN	NaN
K03026	NaN	NaN	NaN	NaN
K14721	NaN	NaN	NaN	NaN
K03019	NaN	NaN	NaN	NaN
K03022	NaN	NaN	NaN	NaN
K03024	NaN	NaN	NaN	NaN
K03002	NaN	NaN	NaN	NaN
K02999	NaN	NaN	NaN	NaN
K03000	NaN	NaN	NaN	NaN
K03005	NaN	NaN	NaN	NaN
K03004	NaN	NaN	NaN	NaN
K03122	NaN	NaN	NaN	NaN
K03123	NaN	NaN	NaN	NaN
K03124	NaN	NaN	NaN	NaN
K03120	NaN	NaN	NaN	NaN
K03128	NaN	NaN	NaN	NaN
K14649	NaN	NaN	NaN	NaN
K14650	NaN	NaN	NaN	NaN
K03134	NaN	NaN	NaN	NaN
K03130	NaN	NaN	NaN	NaN
K03129	NaN	NaN	NaN	NaN
K03126	NaN	NaN	NaN	NaN
K03131	NaN	NaN	NaN	NaN
K14535	NaN	NaN	NaN	NaN
K03133	NaN	NaN	NaN	NaN
K14651	NaN	NaN	NaN	NaN
K03136	NaN	NaN	NaN	NaN
K03137	NaN	NaN	NaN	NaN
K03138	NaN	NaN	NaN	NaN
K03139	NaN	NaN	NaN	NaN
K03141	NaN	NaN	NaN	NaN
K03142	NaN	NaN	NaN	NaN
K03143	NaN	NaN	NaN	NaN
K03144	NaN	NaN	NaN	NaN
K10843	NaN	NaN	NaN	NaN
K10845	NaN	NaN	NaN	NaN
K02202	NaN	NaN	NaN	NaN
K10842	NaN	NaN	NaN	NaN
K06634	NaN	NaN	NaN	NaN
K03121	NaN	NaN	NaN	NaN
K03530	24739470	6660180	2537370	3170880
K04064	2759400	513100	3516800	294350
K05787	24383700	7806060	2613780	3451410
K09035	NaN	NaN	NaN	NaN
K04450	NaN	NaN	NaN	NaN
K05870	NaN	NaN	NaN	NaN
K09052	NaN	NaN	NaN	NaN
K10048	NaN	NaN	NaN	NaN
K14431	NaN	NaN	NaN	NaN
K14432	NaN	NaN	NaN	NaN
K04377	NaN	NaN	NaN	NaN
K04453	NaN	NaN	NaN	NaN
K09113	NaN	NaN	NaN	NaN
K08527	NaN	NaN	NaN	NaN
K08539	NaN	NaN	NaN	NaN
K07292	NaN	NaN	NaN	NaN
K08037	NaN	NaN	NaN	NaN
K05771	NaN	NaN	NaN	NaN
K09187	NaN	NaN	NaN	NaN
K07466	NaN	NaN	NaN	NaN
K04684	NaN	NaN	NaN	NaN
K09299	NaN	NaN	NaN	NaN
K08036	NaN	NaN	NaN	NaN
K08034	NaN	NaN	NaN	NaN
K04682	NaN	NaN	NaN	NaN
K07201	NaN	NaN	NaN	NaN
K09414	NaN	NaN	NaN	NaN
K03211	NaN	NaN	NaN	NaN
K02678	NaN	NaN	NaN	NaN
K09435	NaN	NaN	NaN	NaN
K09436	NaN	NaN	NaN	NaN
K05411	NaN	NaN	NaN	NaN
K10155	NaN	NaN	NaN	NaN
K02580	NaN	NaN	NaN	NaN
K04469	NaN	NaN	NaN	NaN
K04735	NaN	NaN	NaN	NaN
K04734	NaN	NaN	NaN	NaN
K04446	NaN	NaN	NaN	NaN
K11220	NaN	NaN	NaN	NaN
K11221	NaN	NaN	NaN	NaN
K04692	NaN	NaN	NaN	NaN
K11223	NaN	NaN	NaN	NaN
K11224	NaN	NaN	NaN	NaN
K11225	NaN	NaN	NaN	NaN
K02620	NaN	NaN	NaN	NaN
K04491	NaN	NaN	NaN	NaN
K08065	NaN	NaN	NaN	NaN
K08066	NaN	NaN	NaN	NaN
K06099	NaN	NaN	NaN	NaN
K08367	NaN	NaN	NaN	NaN
K04681	NaN	NaN	NaN	NaN
K04498	NaN	NaN	NaN	NaN
K14514	NaN	NaN	NaN	NaN
K02099	402111	29505	32315	19389
K02854	7614	564	282	8.9
K02855	13622	1112	2502	8.9
K03490	86800	4200	7560	6160
K03755	91333	9361	2783	8.9
K04033	90650	6650	7700	1400
K07780	422800	30100	25200	12250
K11920	21350	700	3150	8.9
K13631	538959	149265	49969	56389
K13632	816312	149640	50826	78174
K14063	68950	3850	5950	8.9
K10778	100890	7434	5310	2832
K03566	899750	87535	35685	53070
K02521	404336	29600	9768	20128
K03576	1085091	92564	126166	2661532
K03717	459025	42441	20468	27090
K04761	7474025	569435	221430	406260
K05596	2444310	234333	185328	199584
K05798	69102	3839	3839	8.9
K05817	152950	11550	21350	7700
K07592	30576	1872	312	8.9
K10972	7700	308	8.9	8.9
K11921	785050	53200	16450	32900
K13634	4856112	418284	291924	1449900
K13635	46452	1896	117552	847828
K13636	589034	41985	15550	28923
K14057	147000	9450	9100	6650
K11534	739872	87444	48384	69048
K02444	3601754	316043	88205	210795
K02081	2190736	169201	50303	171353
K02430	392202	31347	23571	27459
K02468	651752	53970	19789	26728
K03477	959573	103161	30371	82328
K02529	2629181	168894	63930	126859
K05499	1504833	98890	30349	99913
K03435	4432848	329658	104876	228122
K03485	1041705	74655	45045	47565
K03487	1189440	73584	34608	79632
K03604	18027306	1431518	414997	690866
K06145	2796950	195952	52298	140675
K06146	351256	27888	19920	18260
K12113	2747400	231360	64588	128212
K03482	22050	1400	700	8.9
K02043	482	8.9	241	8.9
K10711	861700	121100	45150	75950
K11922	858200	102200	32550	66850
K03603	4493917	439760	94405	219163
K05799	5709920	540004	68580	256032
K11474	261396	21646	34524	13426
K13637	1223063	121304	45489	59881
K14348	222912	15738	6708	6708
K13654	38500	2450	19600	8.9
K02167	96135	11505	7605	11505
K03577	432795	51600	18705	32680
K05501	3366198	459954	112464	188496
K09017	555228	42612	19504	15476
K03718	494608	105488	23712	45600
K03719	7014510	867477	1028901	1191033
K05800	271620	43740	10980	9360
K03556	11563434	339677	269399	191913
K04333	36288	3024	18360	2592
K07781	34155	2898	15318	8.9
K07782	1183920	104160	20880	135120
K03712	18606624	2495856	464880	1260736
K06075	1257060	187902	135050	153008
K11923	346410	60615	59535	73575
K13638	310341	53862	41736	85446
K13639	243166	31724	11396	39886
K03711	5967508	951048	387612	684500
K09823	622953	56943	28557	99522
K13641	1693868	142206	40278	96722
K05818	112512	9168	10800	5088
K10973	7017816	479941	232247	360972
K10914	16030350	2051070	819630	1083390
K01420	18816500	1637750	645500	626000
K13643	8359362	899262	538488	1575936
K13771	506331	60066	23688	59784
K11924	1038965	98735	38905	70215
K07722	571235	100814	53333	77539
K03892	51363	9594	2808	12051
K03524	2988189	165315	42051	71904
K03557	28224686	7112840	755678	1744890
K03720	533628	99792	59292	55404
K02688	10560	8.9	5280	8.9
K06211	2847693	173472	96327	140112
K13655	1144150	156800	111650	113050
K14056	835100	86100	91000	34300
