K01369	LgmN
K01368	CtsS
K01365	CtsL1
K01367	CapN1
K01366	CtsH
K01363	CtsB
K09178	TfaP2d
K09170	NfiC
K09171	NfiX
K09173	Rfx1
K09173	Rfx2
K09173	Rfx3
K09175	-
K09176	TfaP2a
K09176	TfaP2b
K09177	TfaP2c
K08568	CtsZ
K05849	Slc8a1
K05849	Slc8a3
K05849	Slc8a2
K05841	-
K08562	Nr0B1
K05843	TgfBr3
K08564	-
K08565	NapSa
K05846	-
K05847	-
K00509	PtgS1
K00502	Tph1
K00502	Tph2
K00503	Dbh
K00500	Pah
K00501	Th
K00506	TyrP1
K00507	Scd
K00507	Scd5
K00504	Pam
K01109	InpP4b
K01109	InpP4a
K01108	-
K16931	STAR,
K16931	STARD1
K04461	Ppm1b
K04460	Ppp5c
K01103	-
K01102	Pdp1
K01102	Pdp2
K04465	Nr4A1
K04464	MapK7
K04467	ChuK
K01106	InpP5a
K01106	InpP5j
K01106	InpP5k
K01106	InpPl1
K05592	-
K05590	-
K05591	-
K05596	-
K02045	-
K14549	UTP15,
K14549	NET21
K14549	UTP15
K14548	CIRH1A,
K14548	CIRHIN,
K14548	NAIC,
K14548	TEX292,
K14548	UTP4
K14548	CIRH1A
K14238	-
K14235	-
K14234	-
K14237	-
K14547	-
K14546	WDR43
K14546	WDR43,
K14546	NET12,
K14546	UTP5
K14545	RRP7A,
K14545	BK126B4.3,
K14545	CGI-96
K14545	RRP7A
K14544	NOL6
K14544	NOL6,
K14544	NRAP,
K14544	UTP22,
K14544	bA311H10.1
K06573	Slc4a1
hsa_B8ZZJ2	B8ZZJ2
K02044	-
K12528	-
K07958	Arl10
eco_b4155	-
K02047	-
K10568	NeiL2
hsa_Q9C0K3	ARP3C
K02046	-
K02456	-
K02105	CtnNb1
K02106	-
K02455	-
K02100	-
K02453	-
K02450	-
K02451	-
K08138	-
K02108	-
K02109	-
K02458	-
K02459	-
K08137	-
K03850	Alg10
K03850	Alg10b
K03853	CapN2
K03854	-
K03857	PigA
K03859	PigC
K03858	PigH
K08132	Col12a1
K02195	-
K05601	-
K08130	TskU
K13014	-
K05842	TicAm1
K12358	FoxO4
K04883	KcnAb2
K04882	KcnAb1
K03718	-
K05845	-
K03719	-
K08567	-
K13273	PmvK
K13279	PrdX1
K13198	KhdRbs1
K03275	-
K03274	-
K03277	-
K03271	-
K03270	-
K03273	-
K03272	-
mpn_MPN452	-
mpn_MPN453	-
K03279	-
K12275	Sec62
K12274	-
K12273	-
K12272	SrpRb
K16196	-
K16197	-
K16195	-
K16190	-
K09283	HmgA2
K16198	-
K08520	Sec22c
K08520	Sec22a
K13908	Muc5b
K06737	EpcAm
K06736	Cdh2
K06734	Cd320
K06732	CdcP1
K06731	Bst2
K06730	IgsF8
K06229	SufU
K01101	-
K06221	-
K09903	-
K06222	-
K09905	B4gAlt5
K09288	CcdC6
