P37802	P37802	hsa_P37802	15800000
P22626	P22626	K13158	9270000
P31949	P31949	hsa_P31949	7080000
P08758	P08758	hsa_P08758	5270000
Q16658	Q16658	NotMapped	3760000
P04083	P04083	NotMapped	3000000
P49773	P49773	hsa_P49773	2800000
P60903	P60903	NotMapped	2290000
Q9UQ80	Q9UQ80	NotMapped	2240000
O75531	O75531	NotMapped	2030000
P63244	P63244	NotMapped	1990000
P26599	P26599	K13218	1740000
P13693	P13693	NotMapped	1530000
P20290	P20290	NotMapped	1450000
P35232	P35232	NotMapped	1400000
Q15233	Q15233	K13214	1380000
P50395	P50395	NotMapped	1200000
Q9C005	Q9C005	NotMapped	1170000
A8MW06	A8MW06	NotMapped	1170000
O60664	O60664	NotMapped	1140000
P62988	P62988	NotMapped	1130000
P61970	P61970	NotMapped	1070000
Q9BRA2	Q9BRA2	NotMapped	1050000
P31943	P31943	K12898	1010000
Q15121	Q15121	NotMapped	1010000
Q01518	Q01518	NotMapped	997000
P14866	P14866	K13159	986000
P06703	P06703	NotMapped	897000
P30086	P30086	NotMapped	838000
Q15366	Q15366	K13162	728000
Q9ULC4	Q9ULC4	NotMapped	712000
Q9UKY7	Q9UKY7	NotMapped	706000
Q15185	Q15185	NotMapped	685000
Q12905	Q12905	K13089	678000
O75347	O75347	NotMapped	632000
Q9Y224	Q9Y224	NotMapped	629000
P58546	P58546	NotMapped	617000
A8MWD9	A8MWD9	NotMapped	596000
P62263	P62263	NotMapped	594000
Q9NTK5	Q9NTK5	NotMapped	585000
P53999	P53999	NotMapped	569000
P43487	P43487	NotMapped	555000
P29034	P29034	NotMapped	554000
P06454	P06454	NotMapped	550000
Q14847	Q14847	NotMapped	549000
Q9P258	Q9P258	NotMapped	536000
Q96AE4	Q96AE4	K13210	533000
P31942	P31942	K12898	514000
Q9UK76	Q9UK76	NotMapped	511000
P22676	P22676	NotMapped	496000
P55060	P55060	NotMapped	481000
O60888	O60888	NotMapped	475000
P43243	P43243	K13213	458000
Q96C19	Q96C19	NotMapped	454000
P51858	P51858	NotMapped	451000
P02795	P02795	NotMapped	450000
O75368	O75368	NotMapped	435000
Q13283	Q13283	NotMapped	431000
Q15019	Q15019	NotMapped	421000
Q9UHD1	Q9UHD1	NotMapped	415000
Q9Y3I0	Q9Y3I0	NotMapped	405000
Q99439	Q99439	NotMapped	403000
Q99623	Q99623	NotMapped	399000
Q8NC51	Q8NC51	K13199	394000
P22087	P22087	NotMapped	385000
P52292	P52292	NotMapped	384000
Q8WUH6	Q8WUH6	NotMapped	377000
Q9GZZ1	Q9GZZ1	NotMapped	375000
Q9Y266	Q9Y266	NotMapped	374000
Q01995	Q01995	NotMapped	372000
P39687	P39687	NotMapped	368000
P23246	P23246	K13219	368000
P30626	P30626	NotMapped	362000
P51397	P51397	NotMapped	350000
P31150	P31150	NotMapped	344000
P84090	P84090	NotMapped	336000
Q14103	Q14103	K13044	331000
P52597	P52597	K12898	329000
O43809	O43809	NotMapped	326000
Q15631	Q15631	NotMapped	325000
Q9ULV4	Q9ULV4	NotMapped	322000
O75083	O75083	NotMapped	319000
Q16181	Q16181	NotMapped	306000
