P07355-2	P07355-2	NotMapped	1.2682853e+09
P04083	P04083	NotMapped	4.4155074e+08
P06703	P06703	NotMapped	1.8143742e+08
P62263	P62263	NotMapped	3.7678899e+08
B4DNM7	B4DNM7	NotMapped	1.0964273e+08
P22626	P22626	K13158	5.067038e+08
P26447	P26447	NotMapped	14099722
P60903	P60903	NotMapped	2.4576941e+08
P37802	P37802	hsa_P37802	5.4478537e+08
Q6LES2	Q6LES2	NotMapped	22312019
Q9BUQ0	Q9BUQ0	K13218	2.0686876e+08
P63244	P63244	NotMapped	2.4372312e+08
P84090	P84090	NotMapped	2.0189002e+08
O75531	O75531	NotMapped	2.5093921e+08
P31943	P31943	K12898	2.2685324e+08
P31949	P31949	hsa_P31949	2.3261527e+08
P50238	P50238	NotMapped	631465.62
Q6PUV4	Q6PUV4	NotMapped	288900.28
P14866	P14866	K13159	2.3801316e+08
Q5TEC6	Q5TEC6	NotMapped	1.8375562e+08
Q14847-1	Q14847-1	NotMapped	1.2450973e+08
Q13151	Q13151	K12894	1.8098228e+08
P04080	P04080	NotMapped	1.3227794e+08
B4DP11	B4DP11	NotMapped	1.4385726e+08
Q9UQ80	Q9UQ80	NotMapped	1.6234111e+08
Q14103	Q14103	K13044	2.2079968e+08
Q92686	Q92686	NotMapped	16235026
P30086	P30086	NotMapped	1.8263978e+08
P39687	P39687	NotMapped	3.138859e+08
Q00325-2	Q00325-2	NotMapped	88293269
Q15233	Q15233	K13214	1.8306975e+08
P20962	P20962	NotMapped	55592029
P62861	P62861	NotMapped	1.8096776e+08
Q99623	Q99623	NotMapped	1.2258932e+08
P35232	P35232	NotMapped	1.023072e+08
O75347	O75347	NotMapped	1.1480065e+08
P49773	P49773	hsa_P49773	1.5307715e+08
Q96AG4	Q96AG4	NotMapped	1.2452936e+08
P80723-1	P80723-1	NotMapped	318476.8
B4DLV7	B4DLV7	NotMapped	2.2400879e+08
P23246	P23246	K13219	1.5412244e+08
P08758	P08758	hsa_P08758	3.3046052e+08
P38117-1	P38117-1	NotMapped	90701948
Q8WVI0	Q8WVI0	NotMapped	2.260592e+08
B2R7D7	B2R7D7	NotMapped	574779.86
P49755	P49755	NotMapped	74263935
Q96IH1	Q96IH1	NotMapped	1.2172675e+08
Q59HD4	Q59HD4	K13162	85024969
Q96IX5	Q96IX5	NotMapped	88676413
Q12906	Q12906	K13090	1.068542e+08
P35637	P35637	K13098	1.173374e+08
Q8NC51	Q8NC51	K13199	1.616879e+08
Q99729	Q99729	K13044	1.0582712e+08
P02795	P02795	NotMapped	1.2707043e+08
Q12905	Q12905	K13089	1.1441977e+08
A8MXP9	A8MXP9	NotMapped	88596312
O43169	O43169	NotMapped	44617002
P52597	P52597	K12898	1.5818289e+08
P53999	P53999	NotMapped	2.3087267e+08
P61970	P61970	NotMapped	1.5907951e+08
P13797	P13797	NotMapped	27973040
P22087	P22087	NotMapped	51404729
Q5HYL3	Q5HYL3	NotMapped	9013972
Q13283	Q13283	NotMapped	1.1285989e+08
Q9Y266	Q9Y266	NotMapped	1.2704845e+08
O00264	O00264	NotMapped	83458034
P13804	P13804	NotMapped	42774938
Q96PK6	Q96PK6	K13189	85314641
P20290-2	P20290-2	NotMapped	86228293
Q9P035	Q9P035	NotMapped	42142598
Q9H9B4	Q9H9B4	NotMapped	74469024
Q01650	Q01650	NotMapped	16347325
Q9GZT3	Q9GZT3	NotMapped	82688137
P51858	P51858	NotMapped	1.2191647e+08
O00151	O00151	NotMapped	4931597.3
Q01518-1	Q01518-1	NotMapped	1.7375356e+08
P98179	P98179	K13186	47606380
Q9HDC9-1	Q9HDC9-1	NotMapped	75474694
P13489	P13489	NotMapped	43743653
Q9H3N1	Q9H3N1	NotMapped	70433020
P06454-1	P06454-1	NotMapped	16064982
Q99584	Q99584	NotMapped	64462269
Q15293	Q15293	NotMapped	1.6527464e+08
O43390	O43390	K13161	1.1282097e+08
P61923	P61923	NotMapped	77575871
Q99426	Q99426	NotMapped	89245495
Q9BRA2	Q9BRA2	NotMapped	27480369
P42704	P42704	NotMapped	60307392
Q00765	Q00765	NotMapped	46115022
