P37802	P37802	hsa_P37802	42482806
H0YC77	H0YC77	NotMapped	28246140
Q15233	Q15233	K13214	19299431
F8VZ69	F8VZ69	NotMapped	17627633
F8WDR7	F8WDR7	NotMapped	16455264
P22626	P22626	K13158	16401664
H0YB22	H0YB22	NotMapped	16101303
D6R970	D6R970	NotMapped	15890121
Q12906	Q12906	K13090	14825701
P14866	P14866	K13159	12336065
Q5T0R7	Q5T0R7	NotMapped	12309191
O00151	O00151	NotMapped	12248091
E7EU23	E7EU23	NotMapped	11799678
F5H0C5	F5H0C5	NotMapped	11340149
E9PG82	E9PG82	NotMapped	9432355
H9KVC3	H9KVC3	NotMapped	9335513.2
H0Y8R5	H0Y8R5	NotMapped	9299407.3
B4DVE7	B4DVE7	NotMapped	8208738.7
D6RBL5	D6RBL5	NotMapped	7933931.5
C9JDV1	C9JDV1	NotMapped	7919410.2
P23246	P23246	K13219	7887196.3
P09525	P09525	NotMapped	7209375.6
B4DT77	B4DT77	NotMapped	7147403.2
Q14103	Q14103	K13044	6968694.2
F8VY00	F8VY00	NotMapped	6853989.4
D6RAV0	D6RAV0	NotMapped	6832202.6
Q8NC51	Q8NC51	K13199	6797905.2
Q9UKM9	Q9UKM9	K12895	6637715.8
D6RBK0	D6RBK0	NotMapped	6338818.6
F8VZ58	F8VZ58	NotMapped	6288944.9
K7EL96	K7EL96	NotMapped	6206416.3
H7C3W8	H7C3W8	NotMapped	6196060.4
F8WCY3	F8WCY3	NotMapped	6080326.4
G3V2K7	G3V2K7	NotMapped	5992801.4
I3L3B0	I3L3B0	NotMapped	5708202.6
Q5T6W8	Q5T6W8	NotMapped	5604387.8
Q15717	Q15717	K13088	5489894.1
D6R9L5	D6R9L5	NotMapped	5468051.8
H7C2U6	H7C2U6	NotMapped	5107294.6
P31943	P31943	K12898	5106084.3
Q9Y266	Q9Y266	NotMapped	5051861.9
H7C597	H7C597	NotMapped	5047325.2
P38117	P38117	NotMapped	4917873.2
D6RD66	D6RD66	NotMapped	4904359.7
H7C310	H7C310	NotMapped	4716784.9
B4DDP6	B4DDP6	NotMapped	4447163.5
D6RD60	D6RD60	NotMapped	4412749.6
E7EQS9	E7EQS9	NotMapped	4394739.2
Q1KMD3	Q1KMD3	NotMapped	4358104.8
E5RHG6	E5RHG6	NotMapped	4357745.3
H0YFF6	H0YFF6	NotMapped	4319033.5
P55060	P55060	NotMapped	4262837.2
F8WED0	F8WED0	NotMapped	4188822.1
J3KQ32	J3KQ32	NotMapped	4136743.7
Q12905	Q12905	K13089	4111592.9
D6RDG3	D6RDG3	NotMapped	4103760.6
H0YLU7	H0YLU7	NotMapped	4081097.5
D6RAE9	D6RAE9	NotMapped	4070397.4
Q15056	Q15056	NotMapped	4052233.8
G5E972	G5E972	NotMapped	4034641.1
P35637	P35637	K13098	3993004.9
H3BT58	H3BT58	NotMapped	3949148.8
H0Y8C6	H0Y8C6	NotMapped	3867452.7
A8K8G0	A8K8G0	NotMapped	3860649.1
D6RA21	D6RA21	NotMapped	3854769.9
B7Z4S1	B7Z4S1	NotMapped	3809512.6
P31942	P31942	K12898	3726940.8
G3V279	G3V279	NotMapped	3699501.4
Q9BS26	Q9BS26	NotMapped	3649523.9
G3V3W9	G3V3W9	NotMapped	3535999.4
H0Y3T6	H0Y3T6	NotMapped	3533797
H3BQK6	H3BQK6	NotMapped	3507221.8
P26599	P26599	K13218	3489692.5
Q9NS69	Q9NS69	NotMapped	3489453
Q53EL6	Q53EL6	NotMapped	3436138.3
F6T1Q0	F6T1Q0	NotMapped	3432106.4
B0QY89	B0QY89	NotMapped	3426957.3
E7EPB7	E7EPB7	NotMapped	3365959.6
B0YIW6	B0YIW6	NotMapped	3354677.8
ENSG00000223380	ENSG00000223380	NotMapped	3342750.2
E9PP73	E9PP73	NotMapped	3333045.8
K7EPX7	K7EPX7	NotMapped	3305586.9
O75663	O75663	NotMapped	3265808.3
D6RAW4	D6RAW4	NotMapped	3220842.8
H3BM18	H3BM18	NotMapped	3209606.4
H0YFT5	H0YFT5	NotMapped	3164312.1
K7EKN4	K7EKN4	NotMapped	3160946
Q96AE4	Q96AE4	K13210	3160425.7
P04080	P04080	NotMapped	3108989.3
Q99729	Q99729	K13044	3065023.1
Q92945	Q92945	K13210	3047841.4
M0R0Y2	M0R0Y2	NotMapped	3041166.5
G3V589	G3V589	NotMapped	3038385.2
P50238	P50238	NotMapped	3029372.1
F2Z2Q0	F2Z2Q0	NotMapped	2986865.2
Q96PK6	Q96PK6	K13189	2984363.8
H0Y653	H0Y653	NotMapped	2968240.1
M0R1H0	M0R1H0	NotMapped	2870071.1
F5H6I6	F5H6I6	NotMapped	2849702.8
H0YJB9	H0YJB9	NotMapped	2848893.6
B1AHE4	B1AHE4	NotMapped	2846855.8
H0Y938	H0Y938	NotMapped	2807587.1
M0R061	M0R061	NotMapped	2799386.8
B8ZZQ6	B8ZZQ6	NotMapped	2795844.8
H3BRV9	H3BRV9	NotMapped	2793424.3
E2QRG8	E2QRG8	NotMapped	2782497.4
C9J9T4	C9J9T4	NotMapped	2769524.9
ENSG00000115128	ENSG00000115128	NotMapped	2752738.7
G3V314	G3V314	NotMapped	2752681.9
E5RIZ6	E5RIZ6	NotMapped	2714392
F8VVB7	F8VVB7	NotMapped	2709715.4
D6R937	D6R937	NotMapped	2701398.9
H3BND3	H3BND3	NotMapped	2604395.6
P43243	P43243	K13213	2594858.4
O75475	O75475	NotMapped	2527513.8
H0YIZ6	H0YIZ6	NotMapped	2487433.2
E9PRI2	E9PRI2	NotMapped	2485323.2
H0YE29	H0YE29	NotMapped	2484117.9
Q9NZ45	Q9NZ45	NotMapped	2479072.1
B7ZLZ0	B7ZLZ0	NotMapped	2473216.7
Q5T123	Q5T123	NotMapped	2453579.5
O43390	O43390	K13161	2446859.7
H0Y6C1	H0Y6C1	NotMapped	2432227.6
B4E1K7	B4E1K7	NotMapped	2423767.4
O60506	O60506	K13160	2404270.3
I3L1H3	I3L1H3	NotMapped	2399286
D6RII0	D6RII0	NotMapped	2397164.9
K7ERW5	K7ERW5	NotMapped	2396270.1
K7ERD2	K7ERD2	NotMapped	2332113.4
Q9ULC4	Q9ULC4	NotMapped	2319222.8
B0QZK8	B0QZK8	NotMapped	2301001.2
F8WAR1	F8WAR1	NotMapped	2241788.4
E9PHS0	E9PHS0	NotMapped	2220797.3
Q14498	Q14498	K13091	2219949.2
K7EJ99	K7EJ99	NotMapped	2210307
A8MZI2	A8MZI2	NotMapped	2203525.3
D6RFH4	D6RFH4	NotMapped	2183397.1
F8WD73	F8WD73	NotMapped	2180093.2
E9PJM7	E9PJM7	NotMapped	2161918.2
Q5T3N1	Q5T3N1	NotMapped	2136555.4
S4R3X6	S4R3X6	NotMapped	2134309.9
O76003	O76003	NotMapped	2132012.2
F8WEH9	F8WEH9	NotMapped	2131328.8
Q9UKD2	Q9UKD2	NotMapped	2113722.5
C9JWF5	C9JWF5	NotMapped	2106433.7
M0QYG8	M0QYG8	NotMapped	2097831.4
C9J5C3	C9J5C3	NotMapped	2082992.9
D6RGF4	D6RGF4	NotMapped	2050979
