Biosynthesis	0.10290343
Cancers	0
Cardiovascular Diseases	0
Cell Communication	0
Cell Growth and Death	0.021185268
Cell Motility	0
Central Carbon Metabolism	0.20692798
Circulatory System	0
Cytoskeleton	0.0050390447
DNA Maintenance	0.023407266
Development	0
Digestive System	0
Endocrine System	0
Energy Metabolism	0.01069451
Environmental Adaptation	0
Excretory System	0
Folding, Sorting and Degradation	0.096231265
Hemoglobin	0
Immune System	0
Immune System Diseases	0
Infectious Diseases	0
Membrane Transport	0.010371059
Nervous System	0
Neurodegenerative Diseases	0
Not Mapped	0.17167861
Other Enzymes	0.020913302
RNA Family	0
Sensory System	0
Signal Transduction	0.004562955
Signaling Molecules and Interaction	0.0044647564
Transcription	0.015325596
Translation	0.29730202
Vesicular Transport	0.00899294
