Adherens junction	0
Adipocytokine signaling pathway	0
Aldosterone-regulated sodium reabsorption	0
Alzheimer's disease	0
Amino acid metabolism	0.090134834
Amyotrophic lateral sclerosis (ALS)	0
Antigen processing and presentation	0
Apoptosis	0
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0
Axon guidance	0
B cell receptor signaling pathway	0
Bacterial chemotaxis	0
Bacterial invasion of epithelial cells	0
Bacterial motility proteins	0
Bacterial secretion system	0
Bacterial toxins	0
Basal transcription factors	0.00051570037
Base excision repair	6.0090198e-05
Bile secretion	0
Biosynthesis of other secondary metabolites	5.0198766e-05
Butanoate metabolism	0.0008412277
CAM ligands	0
Calcium signaling pathway	0.00034824855
Carbohydrate metabolism	0.010514361
Carbon fixation in photosynthetic organisms	5.5714718e-05
Cardiac muscle contraction	0
Cell adhesion molecules (CAMs)	0
Cell cycle	0.0037361692
Cell wall	0.0024018191
Cellular antigens	2.321029e-06
Chaperones and folding catalysts	0.089139038
Chemokine signaling pathway	0
Chromosome-related	0.0050916111
Circadian rhythm	0
Cofactor biosynthesis	0.0057939628
Collecting duct acid secretion	0
Complement and coagulation cascades	0
Cytochrome P450	0
Cytokine receptors	0
Cytokine-cytokine receptor interaction	0
Cytokines	0
Cytoskeleton proteins	0.00604372
Cytosolic DNA-sensing pathway	0
DNA repair and recombination proteins	0.00025210825
DNA replication	4.508669e-05
DNA replication complex	0.00086201875
DNA replication control	0.00036810758
Dorso-ventral axis formation	0
ECM-receptor interaction	0
Endocrine and other factor-regulated calcium reabsorption	0
Endocytosis	0.0020952107
Enzyme-linked receptors	0
Epstein-Barr virus infection	0
ErbB signaling pathway	2.6757977e-05
Fat digestion and absorption	0
Fc epsilon RI signaling pathway	0
Fc gamma R-mediated phagocytosis	0
Focal adhesion	0
FoxO signaling pathway	0
G protein-coupled receptors	6.3437451e-07
GABAergic synapse	0
GTP-binding signaling proteins	0.0016232431
Gap junction	0
Glutamatergic synapse	0
Glycan binding proteins	0
Glycan metabolism	0.0015234539
Glycolysis	0.20411138
HIF-1 signaling pathway	0
HTLV-I infection	0
Hedgehog signaling pathway	0
Hemoglobin	0
Hepatitis C	0
Herpes simplex infection	0
Hippo signaling pathway	3.8112579e-06
Homologous recombination	1.4617672e-05
Huntington's disease	0
Hypertrophic cardiomyopathy (HCM)	0
Influenza A	0
Insulin secretion	0
Insulin signaling pathway	0
Intestinal immune network for IgA production	0
Ion channels	7.5263073e-06
Jak-STAT signaling pathway	4.3224655e-05
Legionellosis	0
Leukocyte transendothelial migration	0
Lipid and steroid metabolism	0.028827033
Long-term potentiation	0
Lysosome	0
MAPK signaling pathway	0.00065469153
Measles	0
Meiosis	0.00015468315
Methane metabolism	0.00094547858
MicroRNAs in cancer	0
Mineral absorption	0
Mismatch repair	8.1608823e-05
NF-kappa B signaling pathway	0
NOD-like receptor signaling pathway	0
Natural killer cell mediated cytotoxicity	0
Neuroactive ligand-receptor interaction	0
Neurotrophin signaling pathway	0
Non-coding RNAs	0
Non-homologous end-joining	3.7210625e-06
Non-small cell lung cancer	0
Not mapped	0.10732335
Notch signaling pathway	0
Nucleotide excision repair	7.0943715e-06
Olfactory transduction	0
Oocyte meiosis	0
Osteoclast differentiation	0
Other central metabolism enzymes	0.0072068251
Other enzymes	0.019942839
Other signaling pathways	0
Oxidative phosphorylation	0.01477993
PI3K-Akt signaling pathway	0
PPAR signaling pathway	0
Pancreatic secretion	0
Parkinson's disease	0
Pathogenic Escherichia coli infection	0
Pathways in cancer	0
Pentose phosphate metabolism	0.010559149
Peptidases	0.011749536
Peroxisome	0.00028521698
Phagosome	0.0058698533
Phosphatidylinositol signaling system	0.00018175381
Photosynthesis	0
Photosynthesis - antenna proteins	0
Phototransduction	0
Plant hormone signal transduction	0
Plant-pathogen interaction	0
Protease inhibitors	0
Proteases	0
Proteasome	0.0061942351
Protein digestion and absorption	0
Protein export	0.0013214231
Protein kinases	6.284617e-06
