Numerator	Denominator	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8202	0.9079	0.8747	0.9206	0.8541	0.8558	0.8272	0.8324	0.821	0.8218	0.8841	0.8963
Genetic Information Processing	TOTAL	0.2905	0.321	0.3782	0.3448	0.3527	0.307	0.3552	0.353	0.3793	0.3575	0.2882	0.3583
-Transcription	TOTAL	0.02391	0.02042	0.009005	0.00453	0.007599	0.005987	0.04489	0.04204	0.0433	0.03526	0.03539	0.03802
-Translation	TOTAL	0.1243	0.2244	0.2449	0.2115	0.2284	0.1963	0.1116	0.1099	0.1583	0.1439	0.07946	0.1391
-Folding, Sorting and Degradation	TOTAL	0.1267	0.06085	0.1166	0.1252	0.1036	0.08896	0.1532	0.1491	0.1266	0.129	0.1229	0.1449
-DNA Maintenance	TOTAL	0.05791	0.02243	0.01718	0.008209	0.02224	0.023	0.05585	0.0566	0.0616	0.05769	0.06716	0.04136
-RNA Family	TOTAL	0	3.677e-10	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.001027	0.006305	0.004622	0.003269	0.00629	0.00565	0.01997	0.01914	0.02737	0.02815	0.01849	0.02681
-Signal Transduction	TOTAL	0.001027	0.006244	0.002885	0.002466	0.003529	0.003341	0.007497	0.008397	0.01014	0.01116	0.007008	0.01057
-Signaling Molecules and Interaction	TOTAL	0	0.0001792	0.00268	0.001471	0.002798	0.002308	0.01517	0.01372	0.01882	0.01943	0.01263	0.01907
Cellular Processes	TOTAL	0.04837	0.01086	0.01589	0.01542	0.02672	0.02571	0.1007	0.09368	0.1287	0.1668	0.3011	0.2027
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	1.657e-06	2.646e-06	0	1.539e-05
-Vesicular Transport	TOTAL	0	0	0.004382	0.003408	0.003646	0.003626	0.02058	0.02135	0.01453	0.01577	0.01931	0.01854
-Cytoskeleton	TOTAL	0.02061	0.003272	0.003103	0.005531	0.001948	0.002219	0.05762	0.04968	0.09366	0.1205	0.2502	0.1588
-Cell Motility	TOTAL	0.005774	0.005333	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.02301	0.003078	0.009268	0.006798	0.02069	0.01986	0.01575	0.01545	0.01259	0.0148	0.01127	0.01265
-Cell Communication	TOTAL	0	0	0.0003512	0.0005406	0.0006692	0.0006514	0.01963	0.01958	0.0157	0.02945	0.06407	0.01769
Metabolism	TOTAL	0.4846	0.5805	0.4656	0.5479	0.4617	0.5108	0.2608	0.2829	0.2039	0.1903	0.2149	0.2714
-Membrane Transport	TOTAL	0.04607	0.06063	0.02237	0.01696	0.0206	0.01488	0.003083	0.002361	0.003517	0.002264	0.001517	0.0007193
-Central Carbon Metabolism	TOTAL	0.1921	0.1418	0.1661	0.1825	0.1875	0.1827	0.0932	0.1098	0.04878	0.05071	0.06792	0.136
-Energy Metabolism	TOTAL	0.06678	0.04601	0.03665	0.05461	0.04318	0.0468	0.02435	0.02844	0.01618	0.01352	0.008781	0.03289
-Biosynthesis	TOTAL	0.09684	0.2089	0.15	0.1988	0.1331	0.1704	0.05372	0.05889	0.05553	0.05076	0.05938	0.04838
-Other Enzymes	TOTAL	0.197	0.1983	0.1693	0.2029	0.162	0.2	0.1227	0.1338	0.09604	0.09071	0.08924	0.1084
Organismal Systems	TOTAL	0	6e-05	0.003873	0.003125	0.003585	0.004201	0.04236	0.04005	0.03743	0.03826	0.04071	0.03459
-Immune System	TOTAL	0	0	0.002163	0.002251	0.000888	0.00113	0.02451	0.02571	0.009962	0.0106	0.0126	0.01174
-Endocrine System	TOTAL	0	0	0.0003237	0.0003161	0.0003055	0.0003179	0.008114	0.006754	0.009089	0.009227	0.01916	0.0059
-Circulatory System	TOTAL	0	0	6.092e-05	3.87e-05	0.0006209	0.0006077	0.001979	0.001749	0.004298	0.005808	0.002194	0.004279
-Digestive System	TOTAL	0	6e-05	0.0005757	0.0001632	0.0004088	0.0004123	0.003621	0.003715	0.008029	0.007768	0.005528	0.003285
-Excretory System	TOTAL	0	0	0.001958	0.002303	0.001706	0.001488	0.006645	0.005725	0.005252	0.007012	0.01298	0.004602
-Nervous System	TOTAL	0	2.626e-11	0.0001052	0.0001082	0.0006209	0.0006077	0.003824	0.003481	0.004056	0.004129	0.002279	0.003707
-Sensory System	TOTAL	0	0	0.0003787	3.61e-05	9.419e-05	0.0001359	0.0004492	0.0003392	0.0007935	0.0009533	0.0002192	2.877e-05
-Development	TOTAL	0	0	9.595e-05	0.0004291	0	0	0.001842	0.001661	0.003297	0.003957	0.004597	0.01443
-Environmental Adaptation	TOTAL	0	0	0.0001894	0.0001184	9.135e-05	7.217e-05	0.003328	0.002739	0.003322	0.003045	0.003053	0.001522
Human Diseases	TOTAL	0.08934	0.01086	0.02205	0.02672	0.01967	0.02215	0.0906	0.08623	0.07395	0.07154	0.1098	0.05814
-Cancers	TOTAL	0.002667	7.112e-05	0.00114	0.002111	0.0007892	0.0007721	0.01166	0.01164	0.01038	0.01056	0.008209	0.004957
-Immune System Diseases	TOTAL	0	7.232e-05	0.0003496	0.0008495	0.004731	0.005275	0.005204	0.004456	0.01776	0.01305	0.001368	0.00881
-Neurodegenerative Diseases	TOTAL	0	0	0.01337	0.01184	0.01039	0.01306	0.0367	0.03184	0.02337	0.02146	0.02694	0.0139
-Cardiovascular Diseases	TOTAL	0	0	0.0001065	0.000302	0.0001022	0.000123	0.01482	0.01214	0.01003	0.01628	0.05006	0.01108
-Metabolic Diseases	TOTAL	0.0504	0.004633	0.00206	0.004658	0	0	0.00428	0.007512	0.005025	0.004752	0.01556	0.009465
