KO number	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
K14721	NaN	NaN	1.2461e+10	24.015	83.716	71.132	NaN	NaN	NaN	NaN	1.7392258e+08	2620
K03040	7747.63	10200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03043	2745.995	6576	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03046	5982.347	5559	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03086	2124.877	1674	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03087	NaN	622	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02405	NaN	0.0002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03088	NaN	297	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03089	NaN	0.0002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03092	NaN	154	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03048	719.189	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03060	NaN	6266	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03010	NaN	NaN	3.0738e+10	85.587	528.611	417.069	923458.7	848613.6	3764629.9	10033545	1.9497338e+09	38200
K03006	NaN	NaN	6.7555e+10	287.057	571.505	517.371	221650.77	212752.97	2292699.1	3394167.3	2.2092048e+09	11900
K03011	NaN	NaN	6.1328e+09	53.899	240.994	213.908	571455.52	651536.27	249273.96	612535.11	1.5255264e+09	21600
K03008	NaN	NaN	6.8351e+09	79.496	275.392	206.385	NaN	NaN	1895718.5	10479596	0.0002	70500
K03012	NaN	NaN	3.0904e+09	68.805	204.523	181.924	130216.58	125882	2126702.2	5789804.9	81262139	46200
K03015	NaN	NaN	1.5956e+09	2.485	242.03	279.616	241479.04	311525.73	3335570.1	5649766.1	1.8648444e+08	74800
K03017	NaN	NaN	NaN	NaN	198.928	229.414	NaN	NaN	1605832.7	2320800.3	0.0002	13500
K03013	NaN	NaN	5.3859e+09	29.793	NaN	NaN	1471204.8	1902741.1	4116598.1	8856597.9	1.1722718e+09	57200
K03014	NaN	NaN	8.341e+09	73.448	524.674	552.835	NaN	NaN	NaN	NaN	1.9024984e+08	1530
K03016	NaN	NaN	4.0251e+09	33.723	125.574	145.13	471652.88	982437.6	11345624	19434001	1.2841441e+09	18400
K03009	NaN	NaN	2.7026e+09	40.45	353.72	317.536	543101.09	605322.06	3302209	2.0398955e+08	0.0002	26200
