ath	AT2G18110	AT2G18110	K03232	Translation factors	http://www.genome.jp/dbget-bin/www_bget?ath:AT2G18110
ath	AT3G46970	Phs2	K00688	Other enzymes	"Appeared in ""insulin signaling"""
ath	AT5G37600	AtgSr1	K01915	Amino acid metabolism	"ARABIDOPSIS THALIANA GLUTAMINE SYNTHASE Appeared in ""chemotaxis"""
ath	AT5G01940	AT5G01940	K03238	Chaperones and folding catalysts	In KEGG: assigned to RNA transport
ath	AT4G37910	mtHsc70-1	K04043	Chaperones and folding catalysts	In KEGG: assigned to RNA degradation
ath	AT1G26230	AT1G26230	K04077	Chaperones and folding catalysts	In KEGG: assigned to RNA degradation
ath	AT2G18110	AT2G18110	K03232	Translation factors	http://www.genome.jp/dbget-bin/www_bget?ath:AT2G18110
dme	Dmel_CG2184	Mlc2		Cytoskeleton proteins	http://www.genome.jp/dbget-bin/www_bget?dme:Dmel_CG2184
dme	Dmel_CG17521	RpL10	K02866	Ribosome	http://www.genome.jp/dbget-bin/www_bget?dme:Dmel_CG17521
dma	Dmel_CG6647	porin	K15040	Transport	http://www.genome.jp/dbget-bin/www_bget?dme:Dmel_CG6647
dme	Dmel_CG18572	CAD protein	K11540	Peptidases	http://www.ncbi.nlm.nih.gov/protein/24642586
mmu	11657	Alb		Blood proteins	Albumin http://www.ncbi.nlm.nih.gov/gene/?term=11657
mmu	19293	Pvalb		Blood proteins	Parvalbumin http://www.ncbi.nlm.nih.gov/gene/?term=19293
mmu	12652	Chga		Signaling molecules	chromogranin A http://www.ncbi.nlm.nih.gov/gene/?term=12652
mmu	12653	Chgb		Signaling molecules	chromogranin B http://www.ncbi.nlm.nih.gov/gene/?term=12653
mmu	108124	Napa		SNARE interactions in vesicular transport	Napa N-ethylmaleimide sensitive fusion protein attachment protein alpha
mmu	17196	Mbp		Myelin	Myelin http://www.ncbi.nlm.nih.gov/gene/?term=17196
mmu	16126	Igk-V8-19		Immunoglobulins	immunoglobulin kappa chain variable 8 (V8) - 19 http://www.ncbi.nlm.nih.gov/gene/?term=16126
mmu	12961	Crybb2		Crystallins	crystallin, beta B2 http://www.ncbi.nlm.nih.gov/gene/?term=12961
mmu	12957	Cryba1		Crystallins	Cryba1 crystallin, beta A1 
mmu	12962	Crybb3		Crystallins	crystallin, beta B3
mmu	12970	Crygs		Crystallins	crystallin, gamma S
mmu	12958	Cryba2		Crystallins	Cryba2 crystallin, beta A2
mmu	15129	Hbb-b1	K13823	Hemoglobin	Hemoglobin
mmu	15126	Hba-x		Hemoglobin	Hba-x hemoglobin X, alpha-like embryonic chain in Hba complex
mmu	15130	Hbb-b2	K13823	Hemoglobin	Hemoglobin
mmu	15122	Hba-a1	K13823	Hemoglobin	Hemoglobin http://www.ncbi.nlm.nih.gov/gene/?term=15122
mmu	15135	Hbb-y		Hemoglobin	hemoglobin Y, beta-like embryonic chain http://www.ncbi.nlm.nih.gov/gene/?term=15135
mmu	15132	Hbb-bh1		Hemoglobin	Hbb-bh1 hemoglobin Z, beta-like embryonic chain http://www.ncbi.nlm.nih.gov/gene/?term=15132
mmu	17189	Mb		Hemoglobin	Actually: myoglobin
mmu	17996	Neb		Regulation of actin cytoskeleton	Nebulin http://www.ncbi.nlm.nih.gov/gene/?term=17996
#hsa	P63261	ActG1	K05692	Cytoskeleton proteins	UniProt: Actin, cytoplasmic 2 (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]
#hsa	P68032	ActC	P68032	Cytoskeleton proteins	UniProt: Actin, alpha cardiac muscle 1 (Alpha-cardiac actin)
hsa	Q13123	IK	K13109	Cytokines    IK cytokine http://www.genome.jp/dbget-bin/www_bget?hsa:3550	
hsa	P23246	SfpQ	K13219	Spliceosome  splicing factor, proline- and glutamine-rich (KEGG)	
hsa	P11142	HspA8	K03283	Chaperones and folding catalysts	manual
hsa	Q86WU2	LdhD	K00102	Other central metabolism enzymes	Elad
hsa	B3KSM8	GNB2L1, Gnb2-rs1, H12.3, HLC-7, PIG21, RACK1	K14753	GTP-binding signaling proteins	
hsa	Q9NRG1-3	DOK1, P62DOK	K14752	Other signaling pathways	http://www.ncbi.nlm.nih.gov/gene?Db=gene&Cmd=ShowDetailView&TermToSearch=1796
hsa	Q6PEK7	Cps1	K01948	Pyrimidine metabolism	Arren
hsa	A0AUL6	A0AUL6		Cytoskeleton proteins	UniProt: ActB protein (Fragment)
hsa	A1E282	A1E282		Cytoskeleton proteins	UniProt: Beta-actin (Fragment)
hsa	A5A3E0	POTEF		Cytoskeleton proteins	UniProt: POTE ankyrin domain family member F (ANKRD26-like family C member 1B) (Chimeric POTE-actin protein)
hsa	A5GZ75	A5GZ75		Cytoskeleton proteins	UniProt: Beta-actin (Fragment)
hsa	A6NL76	A6NL76		Cytoskeleton proteins	UniProt: Actin, alpha skeletal muscle
hsa	A8K3K1	A8K3K1		Cytoskeleton proteins	UniProt: cDNA FLJ78096, highly similar to Homo sapiens actin, alpha, cardiac muscle (ACTC), mRNA
hsa	P07355	AnxA2		Regulation of actin cytoskeleton	Uniprot: Human annexin; siehe wikipedia
hsa	P08758	AnxA5			Uniprot: Human annexin; This protein is an anticoagulant protein
hsa	B2RB53	B2RB53		Cytoskeleton proteins	UniProt: cDNA, FLJ95315, highly similar to Homo sapiens actin related protein M2 (ARPM2), mRNA
hsa	B2RDG9	B2RDG9		Cytoskeleton proteins	UniProt: cDNA, FLJ96603, highly similar to Homo sapiens actin-related protein 10 homolog (S. cerevisiae) (ACTR10), mRNA
hsa	B3KPP5	B3KPP5		Cytoskeleton proteins	UniProt: cDNA FLJ32030 fis, clone NTONG2000040, highly similar to Actin, alpha cardiac
hsa	B3KUD3	B3KUD3		Cytoskeleton proteins	UniProt: cDNA FLJ39583 fis, clone SKMUS2004897, highly similar to ACTIN, ALPHA SKELETAL MUSCLE
hsa	B3KUP6	B3KUP6		Cytoskeleton proteins	UniProt: cDNA FLJ40351 fis, clone TESTI2033453, highly similar to Actin-like protein 7B
hsa	B3KW67	B3KW67		Cytoskeleton proteins	UniProt: cDNA FLJ42347 fis, clone UTERU2003399, highly similar to Actin, gamma-enteric smooth muscle
hsa	B3KWQ3	B3KWQ3		Cytoskeleton proteins	UniProt: cDNA FLJ43573 fis, clone RECTM2001691, highly similar to Actin, cytoplasmic 2
hsa	B4DHK9	B4DHK9		Cytoskeleton proteins	UniProt: cDNA FLJ51656, highly similar to Actin-like protein 2
hsa	B4DM97	B4DM97		Cytoskeleton proteins	UniProt: cDNA FLJ55002, highly similar to Alpha-centractin
hsa	B4DMT4	B4DMT4		Cytoskeleton proteins	UniProt: cDNA FLJ52695, highly similar to Alpha-centractin
hsa	B4DT29	B4DT29		Cytoskeleton proteins	UniProt: cDNA FLJ51082, highly similar to Actin-like protein 3
hsa	B4DTI0	B4DTI0		Cytoskeleton proteins	UniProt: cDNA FLJ52521, highly similar to Actin-like protein 3
hsa	B4DUI8	B4DUI8		Cytoskeleton proteins	UniProt: cDNA FLJ52761, highly similar to Actin, aortic smooth muscle
hsa	B4DVQ0	B4DVQ0		Cytoskeleton proteins	UniProt: cDNA FLJ58286, highly similar to Actin, cytoplasmic 2
hsa	B4DW52	B4DW52		Cytoskeleton proteins	UniProt: cDNA FLJ55253, highly similar to Actin, cytoplasmic 1
hsa	B4DWQ5	B4DWQ5		Cytoskeleton proteins	UniProt: cDNA FLJ51655, highly similar to Actin-like protein 2
hsa	B4DXP9	B4DXP9		Cytoskeleton proteins	UniProt: Alpha-centractin (cDNA FLJ52800, highly similar to Alpha-centractin)
hsa	B4DXW1	B4DXW1		Cytoskeleton proteins	UniProt: Actin-related protein 3 (cDNA FLJ51148, highly similar to Actin-like protein 3) (cDNA FLJ52434, highly similar to Actin-like protein 3) (cDNA, FLJ79112, highly similar to Actin-like protein 3) (cDNA, FLJ79295, highly similar to Actin-like protein 3)
