Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
TOTAL	TOTAL	1	1	1	1	1
MAPPED	TOTAL	0.9124	0.9282	0.9352	0.9412	0.9431
Genetic Information Processing	TOTAL	0.3671	0.391	0.4235	0.4484	0.484
-Transcription	TOTAL	0.04214	0.04363	0.04285	0.04015	0.04005
-Translation	TOTAL	0.233	0.2553	0.2919	0.323	0.3597
-Folding, Sorting and Degradation	TOTAL	0.0617	0.06222	0.06146	0.06088	0.06127
-DNA Maintenance	TOTAL	0.02454	0.02394	0.02184	0.0194	0.01825
-RNA Family	TOTAL	8.913e-07	7.449e-07	5.591e-07	4.824e-07	4.288e-07
Environmental Information Processing	TOTAL	0.008359	0.007091	0.005803	0.005036	0.00448
-Signal Transduction	TOTAL	0.008281	0.007091	0.005803	0.005035	0.00448
-Signaling Molecules and Interaction	TOTAL	7.794e-05	2.483e-07	1.864e-07	1.608e-07	1.429e-07
Cellular Processes	TOTAL	0.01287	0.009439	0.009121	0.00883	0.008416
-Cell Structure	TOTAL	0.001229	0.002709	0.002812	0.002696	0.002162
-Crystallins	TOTAL	0	0	0	0	0
-Stress Response	TOTAL	0	0	0	0	0
-       Stress response	TOTAL	0	0	0	0	0
-Vesicular transport	TOTAL	1.981e-05	1.49e-05	1.522e-05	1.313e-05	1.167e-05
-Cytoskeleton	TOTAL	0.003827	0.003713	0.003369	0.003188	0.003143
-Cell Motility	TOTAL	0.004297	3.89e-06	2.92e-06	2.519e-06	2.239e-06
-Cell Growth and Death	TOTAL	0.002691	0.002998	0.002922	0.002929	0.003097
-Cellular Community	TOTAL	0	0	0	0	0
Metabolism	TOTAL	0.5075	0.5027	0.4791	0.4623	0.4293
-Membrane Transport	TOTAL	0.08601	0.08207	0.07476	0.06595	0.05534
-Central Carbon Metabolism	TOTAL	0.1573	0.1527	0.1368	0.1221	0.1093
-Energy Metabolism	TOTAL	0.01802	0.02082	0.02173	0.02029	0.01843
-Biosynthesis	TOTAL	0.1297	0.1495	0.1538	0.1687	0.1692
-Other Enzymes	TOTAL	0.08485	0.07777	0.0711	0.06595	0.06592
Organismal Systems	TOTAL	0	0	0	0	0
-Immune System	TOTAL	0	0	0	0	0
-Endocrine System	TOTAL	0	0	0	0	0
-Circulatory System	TOTAL	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0
Human Diseases	TOTAL	0.0001379	0.00015	0.0001418	0.0001344	0.0001068
-Cancers	TOTAL	0	0	0	0	0
-Immune Diseases	TOTAL	0	0	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0
-Substance Dependence	TOTAL	0	0	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0
-Endocrine and Metabolic Diseases	TOTAL	0	0	0	0	0
-Infectious Diseases	TOTAL	3.961e-07	3.311e-07	2.485e-07	2.144e-07	1.906e-07
-Drug resistance	TOTAL	3.06e-05	3.344e-05	3.566e-05	3.532e-05	4.26e-05
Not Mapped	TOTAL	0.08757	0.07175	0.06477	0.05875	0.05688
-Not Mapped	TOTAL	0.08757	0.07175	0.06477	0.05875	0.05688
TOTAL	MAPPED	1.096	1.077	1.069	1.062	1.06
MAPPED	MAPPED	1	1	1	1	1
Genetic Information Processing	MAPPED	0.4023	0.4213	0.4528	0.4764	0.5132
-Transcription	MAPPED	0.04618	0.047	0.04582	0.04265	0.04246
-Translation	MAPPED	0.2553	0.275	0.3121	0.3432	0.3813
-Folding, Sorting and Degradation	MAPPED	0.06762	0.06703	0.06572	0.06468	0.06496
-DNA Maintenance	MAPPED	0.0269	0.02579	0.02335	0.02061	0.01935
-RNA Family	MAPPED	9.769e-07	8.025e-07	5.978e-07	5.125e-07	4.547e-07
Environmental Information Processing	MAPPED	0.009161	0.007639	0.006205	0.00535	0.004751
-Signal Transduction	MAPPED	0.009076	0.007639	0.006205	0.00535	0.004751
-Signaling Molecules and Interaction	MAPPED	8.542e-05	2.675e-07	1.993e-07	1.708e-07	1.516e-07
Cellular Processes	MAPPED	0.01411	0.01017	0.009753	0.009381	0.008923
-Cell Structure	MAPPED	0.001347	0.002918	0.003006	0.002865	0.002292
-Crystallins	MAPPED	0	0	0	0	0
-Stress Response	MAPPED	0	0	0	0	0
-       Stress response	MAPPED	0	0	0	0	0
-Vesicular transport	MAPPED	2.171e-05	1.605e-05	1.627e-05	1.395e-05	1.238e-05
-Cytoskeleton	MAPPED	0.004194	0.004	0.003602	0.003387	0.003332
-Cell Motility	MAPPED	0.004709	4.191e-06	3.122e-06	2.676e-06	2.374e-06
-Cell Growth and Death	MAPPED	0.002949	0.003229	0.003124	0.003112	0.003284
-Cellular Community	MAPPED	0	0	0	0	0
Metabolism	MAPPED	0.5562	0.5415	0.5123	0.4911	0.4552
-Membrane Transport	MAPPED	0.09426	0.08841	0.07994	0.07006	0.05867
-Central Carbon Metabolism	MAPPED	0.1724	0.1645	0.1462	0.1297	0.1159
-Energy Metabolism	MAPPED	0.01975	0.02242	0.02323	0.02156	0.01955
-Biosynthesis	MAPPED	0.1422	0.1611	0.1645	0.1792	0.1794
-Other Enzymes	MAPPED	0.093	0.08379	0.07603	0.07006	0.06989
Organismal Systems	MAPPED	0	0	0	0	0
-Immune System	MAPPED	0	0	0	0	0
-Endocrine System	MAPPED	0	0	0	0	0
-Circulatory System	MAPPED	0	0	0	0	0
-Digestive System	MAPPED	0	0	0	0	0
-Excretory System	MAPPED	0	0	0	0	0
-Nervous System	MAPPED	0	0	0	0	0
-Sensory System	MAPPED	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0
-Environmental Adaptation	MAPPED	0	0	0	0	0
Human Diseases	MAPPED	0.0001511	0.0001616	0.0001516	0.0001428	0.0001133
-Cancers	MAPPED	0	0	0	0	0
-Immune Diseases	MAPPED	0	0	0	0	0
-Neurodegenerative Diseases	MAPPED	0	0	0	0	0
-Substance Dependence	MAPPED	0	0	0	0	0
-Cardiovascular Diseases	MAPPED	0	0	0	0	0
-Endocrine and Metabolic Diseases	MAPPED	0	0	0	0	0
-Infectious Diseases	MAPPED	4.342e-07	3.567e-07	2.657e-07	2.278e-07	2.021e-07
-Drug resistance	MAPPED	3.354e-05	3.602e-05	3.813e-05	3.753e-05	4.517e-05
Not Mapped	MAPPED	0.09597	0.0773	0.06925	0.06242	0.06031
-Not Mapped	MAPPED	0.09597	0.0773	0.06925	0.06242	0.06031
TOTAL	Genetic Information Processing	2.638	2.47	2.287	2.165	2.009
MAPPED	Genetic Information Processing	2.407	2.292	2.139	2.037	1.895
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1
-Transcription	Genetic Information Processing	0.114	0.1107	0.1003	0.08874	0.08201
-Translation	Genetic Information Processing	0.6198	0.6366	0.673	0.7046	0.7277
-Folding, Sorting and Degradation	Genetic Information Processing	0.1681	0.1591	0.1451	0.1358	0.1266
-DNA Maintenance	Genetic Information Processing	0.06547	0.05969	0.05049	0.04248	0.03708
