Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.9124	0.9124	0.9124	0.9282	0.9282	0.9282	0.9352	0.9352	0.9352	0.9412	0.9412	0.9412	0.9431	0.9431	0.9431
Genetic Information Processing	TOTAL	0.3673	0.3703	0.3725	0.3919	0.3945	0.3981	0.4245	0.4266	0.4312	0.4497	0.4514	0.456	0.4855	0.4876	0.4915
-Transcription	TOTAL	0.04415	0.04541	0.04668	0.04597	0.04708	0.04856	0.04482	0.04611	0.04757	0.04186	0.04317	0.0446	0.04188	0.04313	0.04461
-Translation	TOTAL	0.2324	0.2341	0.2364	0.2547	0.2565	0.2594	0.2913	0.293	0.296	0.3224	0.3242	0.3272	0.3589	0.3605	0.3636
-Folding, Sorting and Degradation	TOTAL	0.0612	0.06453	0.06772	0.06201	0.06581	0.06952	0.06141	0.06483	0.06924	0.06083	0.06403	0.06815	0.0612	0.0647	0.06829
-DNA Maintenance	TOTAL	0.02424	0.02466	0.0266	0.02348	0.02398	0.02586	0.02135	0.02189	0.02334	0.01894	0.01947	0.02071	0.01772	0.01828	0.01967
-RNA Family	TOTAL	1.089e-06	1.486e-06	1.684e-06	9.105e-07	1.242e-06	1.407e-06	6.834e-07	9.318e-07	1.056e-06	5.896e-07	8.04e-07	9.112e-07	5.241e-07	7.147e-07	8.1e-07
Environmental Information Processing	TOTAL	0.00944	0.01083	0.01246	0.007172	0.009089	0.01101	0.00585	0.007358	0.009069	0.005057	0.00635	0.008161	0.004493	0.005666	0.007365
-Signal Transduction	TOTAL	0.009362	0.01075	0.01239	0.007172	0.009089	0.01101	0.00585	0.007358	0.009069	0.005057	0.00635	0.008161	0.004493	0.005666	0.007365
-Signaling Molecules and Interaction	TOTAL	7.794e-05	7.794e-05	7.794e-05	2.483e-07	2.483e-07	2.483e-07	1.864e-07	1.864e-07	1.864e-07	1.608e-07	1.608e-07	1.608e-07	1.429e-07	1.429e-07	1.429e-07
Cellular Processes	TOTAL	0.01243	0.01311	0.014	0.009439	0.009946	0.01029	0.009121	0.009741	0.01025	0.00883	0.009426	0.009785	0.008416	0.009103	0.009675
