Category	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
TOTAL	1	1	1	1	1
MAPPED	0.89993264	0.91773888	0.9246048	0.92986277	0.93071556
Genetic Information Processing	0.27104736	0.28946339	0.31278691	0.32672158	0.35449434
-Transcription	0.045043381	0.047851611	0.050471562	0.050207085	0.052002922
--RNA polymerase	0.011061505	0.012177006	0.013622108	0.013321027	0.014447325
--Basal transcription factors	0.01283244	0.013844012	0.015727045	0.016975583	0.017417437
--Transcription factors	0.016791809	0.017288329	0.016483695	0.015262839	0.015197845
--Transcription machinery	0.0043576271	0.0045422655	0.0046387139	0.004647636	0.0049403138
--Spliceosome	0	0	0	0	0
-Translation	0.14119603	0.15697797	0.17789232	0.19399241	0.21858922
--Ribosome	0.082740848	0.09157132	0.11203038	0.12744503	0.14780254
--Transfer RNA biogenesis	0.0042334384	0.0043008565	0.0043348387	0.0045092866	0.0049281705
--tRNA loading	0.017960286	0.021017533	0.02246221	0.023181486	0.025648158
--RNA transport	2.2253772e-05	2.9496241e-07	1.7771799e-05	1.9945988e-07	1.2221315e-05
--mRNA surveillance pathway	0	0	0	0	0
--Messenger RNA Biogenesis	0.00064073858	0.00073041296	0.00067715708	0.00069767651	0.00072084108
--Ribosome biogenesis in eukaryotes	0.00027039791	0.00027721004	0.00023659568	0.00024789355	0.0002869458
--Ribosome biogenesis	0.0066402519	0.006936855	0.006217432	0.0062348916	0.0069569264
--Mitochondrial biogenesis	0.00020248989	0.00021804277	0.00021439867	0.00019140023	0.00021064398
--Translation factors	0.028485326	0.031925444	0.031701539	0.031484543	0.032022767
-Folding, Sorting and Degradation	0.069688744	0.06920451	0.069559236	0.068856638	0.070553438
--Protease inhibitors	0	0	0	0	0
--Proteases	3.4984096e-07	2.9496241e-07	2.2532922e-07	1.9945988e-07	1.8125542e-07
--Chaperones and folding catalysts	0.049224267	0.048364561	0.048337907	0.0482946	0.049342696
