Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
TOTAL	TOTAL	1	1	1	1	1
MAPPED	TOTAL	0.8999	0.9177	0.9246	0.9299	0.9307
Genetic Information Processing	TOTAL	0.271	0.2895	0.3128	0.3267	0.3545
-Transcription	TOTAL	0.04504	0.04785	0.05047	0.05021	0.052
-Translation	TOTAL	0.1412	0.157	0.1779	0.194	0.2186
-Folding, Sorting and Degradation	TOTAL	0.06969	0.0692	0.06956	0.06886	0.07055
-DNA Maintenance	TOTAL	0.01512	0.01543	0.01486	0.01367	0.01335
-RNA Family	TOTAL	1.166e-07	9.832e-08	7.511e-08	6.649e-08	6.042e-08
Environmental Information Processing	TOTAL	0.01178	0.008581	0.006935	0.005999	0.005321
-Signal Transduction	TOTAL	0.01171	0.008581	0.006935	0.005999	0.005321
-Signaling Molecules and Interaction	TOTAL	7.652e-05	2.95e-07	2.253e-07	1.995e-07	1.813e-07
Cellular Processes	TOTAL	0.01591	0.01013	0.01001	0.009957	0.009721
-Cell Structure	TOTAL	0.001407	0.003129	0.003305	0.003252	0.002665
-Crystallins	TOTAL	0	0	0	0	0
-Vesicular transport	TOTAL	2.279e-05	1.73e-05	1.797e-05	1.59e-05	1.445e-05
-Cytoskeleton	TOTAL	0.003558	0.003566	0.003295	0.003193	0.003261
-Cell Motility	TOTAL	0.00789	4.916e-06	3.755e-06	3.324e-06	3.021e-06
-Cell Growth and Death	TOTAL	0.003034	0.003416	0.003393	0.003493	0.003777
-Cellular Community	TOTAL	0	0	0	0	0
Metabolism	TOTAL	0.6012	0.6096	0.5949	0.5872	0.5612
-Membrane Transport	TOTAL	0.1066	0.1019	0.0959	0.08441	0.069
-Central Carbon Metabolism	TOTAL	0.2611	0.2461	0.2243	0.2024	0.1824
-Energy Metabolism	TOTAL	0.02178	0.02556	0.02784	0.02662	0.02512
-Biosynthesis	TOTAL	0.1652	0.1908	0.2062	0.2361	0.2459
-Other Enzymes	TOTAL	0.04661	0.04518	0.04061	0.03772	0.0387
Organismal Systems	TOTAL	0	0	0	0	0
-Immune System	TOTAL	0	0	0	0	0
-Endocrine System	TOTAL	0	0	0	0	0
-Circulatory System	TOTAL	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0
Human Diseases	TOTAL	2.332e-07	1.966e-07	1.502e-07	1.33e-07	1.208e-07
-Cancers	TOTAL	0	0	0	0	0
-Immune Diseases	TOTAL	0	0	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0
-Substance Dependence	TOTAL	0	0	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0
-Endocrine and Metabolic Diseases	TOTAL	0	0	0	0	0
-Infectious Diseases	TOTAL	0	0	0	0	0
-Drug resistance	TOTAL	2.332e-07	1.966e-07	1.502e-07	1.33e-07	1.208e-07
Not Mapped	TOTAL	0.1001	0.08226	0.0754	0.07014	0.06928
-Not Mapped	TOTAL	0.1001	0.08226	0.0754	0.07014	0.06928
TOTAL	MAPPED	1.111	1.09	1.082	1.075	1.074
MAPPED	MAPPED	1	1	1	1	1
Genetic Information Processing	MAPPED	0.3012	0.3154	0.3383	0.3514	0.3809
-Transcription	MAPPED	0.05005	0.05214	0.05459	0.05399	0.05587
-Translation	MAPPED	0.1569	0.171	0.1924	0.2086	0.2349
-Folding, Sorting and Degradation	MAPPED	0.07744	0.07541	0.07523	0.07405	0.07581
-DNA Maintenance	MAPPED	0.0168	0.01681	0.01608	0.0147	0.01434
-RNA Family	MAPPED	1.296e-07	1.071e-07	8.123e-08	7.15e-08	6.492e-08
Environmental Information Processing	MAPPED	0.01309	0.00935	0.0075	0.006452	0.005717
-Signal Transduction	MAPPED	0.01301	0.00935	0.0075	0.006451	0.005717
-Signaling Molecules and Interaction	MAPPED	8.503e-05	3.214e-07	2.437e-07	2.145e-07	1.947e-07
Cellular Processes	MAPPED	0.01768	0.01104	0.01083	0.01071	0.01044
-Cell Structure	MAPPED	0.001563	0.003409	0.003575	0.003497	0.002863
-Crystallins	MAPPED	0	0	0	0	0
-Vesicular transport	MAPPED	2.533e-05	1.886e-05	1.943e-05	1.71e-05	1.553e-05
-Cytoskeleton	MAPPED	0.003954	0.003885	0.003564	0.003434	0.003504
-Cell Motility	MAPPED	0.008767	5.357e-06	4.062e-06	3.575e-06	3.246e-06
