Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
TOTAL	TOTAL	1	1	1	1	1
MAPPED	TOTAL	0.8999	0.9177	0.9246	0.9299	0.9307
Genetic Information Processing	TOTAL	0.2526	0.2694	0.2922	0.3067	0.3335
-Transcription	TOTAL	0.03987	0.04229	0.04506	0.04502	0.04654
-Translation	TOTAL	0.1375	0.1532	0.1741	0.1902	0.2144
-Folding, Sorting and Degradation	TOTAL	0.05597	0.05461	0.0541	0.05404	0.05552
-DNA Maintenance	TOTAL	0.01408	0.01405	0.01312	0.01198	0.0116
-RNA Family	TOTAL	1.05e-06	8.849e-07	6.76e-07	5.984e-07	5.438e-07
Environmental Information Processing	TOTAL	0.007635	0.006248	0.005047	0.00454	0.004115
-Signal Transduction	TOTAL	0.007559	0.006248	0.005047	0.00454	0.004115
-Signaling Molecules and Interaction	TOTAL	7.652e-05	2.95e-07	2.253e-07	1.995e-07	1.813e-07
Cellular Processes	TOTAL	0.01687	0.01013	0.01001	0.009958	0.009721
-Cell Structure	TOTAL	0.001407	0.003129	0.003305	0.003252	0.002665
-Crystallins	TOTAL	0	0	0	0	0
-Stress Response	TOTAL	0	0	0	0	0
-       Stress response	TOTAL	0	0	0	0	0
-Vesicular transport	TOTAL	2.267e-05	1.721e-05	1.789e-05	1.584e-05	1.439e-05
-Cytoskeleton	TOTAL	0.003558	0.003566	0.003295	0.003193	0.003261
-Cell Motility	TOTAL	0.007996	4.621e-06	3.53e-06	3.125e-06	2.84e-06
-Cell Growth and Death	TOTAL	0.003034	0.003416	0.003393	0.003493	0.003777
-Cellular Community	TOTAL	0	0	0	0	0
Metabolism	TOTAL	0.6082	0.6161	0.6006	0.5925	0.5661
-Membrane Transport	TOTAL	0.09699	0.08904	0.08132	0.07174	0.05971
-Central Carbon Metabolism	TOTAL	0.2232	0.2267	0.2071	0.1856	0.1667
-Energy Metabolism	TOTAL	0.0197	0.02322	0.02514	0.02385	0.02231
-Biosynthesis	TOTAL	0.1516	0.1774	0.1916	0.2197	0.2282
-Other Enzymes	TOTAL	0.08522	0.07801	0.07322	0.06989	0.06906
Organismal Systems	TOTAL	0	0	0	0	0
-Immune System	TOTAL	0	0	0	0	0
-Endocrine System	TOTAL	0	0	0	0	0
-Circulatory System	TOTAL	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0
Human Diseases	TOTAL	0.0001811	0.0001949	0.0001861	0.0001793	0.0001481
-Cancers	TOTAL	0	0	0	0	0
-Immune Diseases	TOTAL	0	0	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0
-Substance Dependence	TOTAL	0	0	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0
-Endocrine and Metabolic Diseases	TOTAL	0	0	0	0	0
-Infectious Diseases	TOTAL	4.665e-07	3.933e-07	3.004e-07	2.659e-07	2.417e-07
-Drug resistance	TOTAL	3.416e-05	3.765e-05	4.085e-05	4.152e-05	5.118e-05
Not Mapped	TOTAL	0.1001	0.08226	0.0754	0.07014	0.06928
-Not Mapped	TOTAL	0.1001	0.08226	0.0754	0.07014	0.06928
TOTAL	MAPPED	1.111	1.09	1.082	1.075	1.074
MAPPED	MAPPED	1	1	1	1	1
Genetic Information Processing	MAPPED	0.2807	0.2935	0.316	0.3299	0.3583
-Transcription	MAPPED	0.04431	0.04608	0.04873	0.04841	0.05001
-Translation	MAPPED	0.1528	0.1669	0.1883	0.2046	0.2304
-Folding, Sorting and Degradation	MAPPED	0.0622	0.05951	0.05851	0.05812	0.05966
-DNA Maintenance	MAPPED	0.01565	0.01531	0.01419	0.01288	0.01247
-RNA Family	MAPPED	1.166e-06	9.642e-07	7.311e-07	6.435e-07	5.842e-07
Environmental Information Processing	MAPPED	0.008484	0.006808	0.005459	0.004883	0.004422
-Signal Transduction	MAPPED	0.008399	0.006808	0.005459	0.004883	0.004422
-Signaling Molecules and Interaction	MAPPED	8.503e-05	3.214e-07	2.437e-07	2.145e-07	1.947e-07
Cellular Processes	MAPPED	0.01874	0.01104	0.01083	0.01071	0.01044
-Cell Structure	MAPPED	0.001563	0.003409	0.003575	0.003497	0.002863
-Crystallins	MAPPED	0	0	0	0	0
-Stress Response	MAPPED	0	0	0	0	0
-       Stress response	MAPPED	0	0	0	0	0
