!!SBtab TableType='Proteomaps' Organism='hsa' ProteinIdentifier='http://identifiers.org/uniprot/'
!ProteinIdentifier	!Abundance[original])	!Abundance[ppm]	!SizeWeightedAbundance[original]	!SizeWeightedAbundance[ppm]	!ProteinSize	!ProteinName	!Identifiers:kegg.orthology	!Pathway
P60709	988171270.0	6517.61403908	3.7056423e+11	6670.95937285	375.0	ActB		Cytoskeleton proteins
P68363	860892500.0	5678.13011214	3.8826252e+11	6989.56695556	451.0	TubA1b	K07374	Cytoskeleton proteins
P62805	3810298500.0	25131.3266745	3.9246075e+11	7065.14419562	103.0	HisT2h4a	K11254	Chromosome-related
P00352	26120567.0	172.281647277	13086404000.0	235.583638013	501.0	AldH1a1	K07249	Cofactor biosynthesis
P05783	326743730.0	2155.08139781	1.404998e+11	2529.30094654	430.0	Krt18	K07604	Cytoskeleton proteins
Q71DI3	1347013800.0	8884.40730898	1.8319388e+11	3297.88692998	136.0	HisT2h3d	K11253	Chromosome-related
P0C0S8	1424411200.0	9394.89207629	1.8517346e+11	3333.52366091	130.0	HisT1h2ag	K11251	Chromosome-related
P07355-2	10241070.0	67.5463288942	3584374500.0	64.5265104692	350			
P68104	895606590.0	5907.09147461	4.1377024e+11	7448.76120595	462.0	Eef1a1	K03231	Translation factors
P62807	1427490000.0	9415.19870806	1.7986374e+11	3237.93719159	126.0	HisT1h2bc	K11252	Chromosome-related
P14618	418460720.0	2760.012911	2.2220264e+11	4000.12916514	531.0	Pkm2	K00873	Glycolysis
P14618	928404.0	6.12341112117	492982520.0	8.87475394602	531.0	Pkm2	K00873	Glycolysis
P04406	879092980.0	5798.17378024	2.9449615e+11	5301.56904813	335.0	GapDh	K00134	Glycolysis
P07737	456084060.0	3008.16261583	63851768000.0	1149.47022872	140.0	Pfn1	K05759	Regulation of actin cytoskeleton
P23528	486180250.0	3206.66600935	99180771000.0	1785.46886166	204.0	Cfl1	K05765	Regulation of actin cytoskeleton
P62979	641933210.0	4233.95521471	1.0014158e+11	1802.7655063	156.0	Rps27a	K02977	Ribosome
P06733	675747380.0	4456.98103605	2.9327436e+11	5279.57417978	434.0	Eno1	K01689	RNA degradation
P06733	1388495.8	9.15800731515	602607180.0	10.8482354478	434.0	Eno1	K01689	RNA degradation
Q06830	591723150.0	3902.78813681	1.1775291e+11	2119.80762052	199.0	PrdX1	K13279	Peroxisome
P15121	4273796.9	28.1883915484	1350519800.0	24.3122837788	316.0	Akr1b1	K00011	Carbohydrate metabolism
P62937	746858200.0	4926.00183521	1.232316e+11	2218.43591609	165.0	PpiA	K03767	Chaperones and folding catalysts
P08670	6047769.8	39.8888639553	2818260700.0	50.7348014454	466.0	Vim	K07606	Cytoskeleton proteins
P68371	750180930.0	4947.91733949	3.3383051e+11	6009.67278906	445.0	TubB2c	K07375	Cytoskeleton proteins
