!!SBtab TableType='Proteomaps' Organism='hsa' ProteinIdentifier='http://identifiers.org/uniprot/'
!ProteinIdentifier	!Abundance[original])	!Abundance[ppm]	!SizeWeightedAbundance[original]	!SizeWeightedAbundance[ppm]	!ProteinSize	!ProteinName	!Identifiers:kegg.orthology	!Pathway
P04406	2865.85	23225.54806	960059.75	19193.8340748	335.0	GapDh	K00134	Glycolysis
P07737	1599.13	12959.7399268	223878.2	4475.84749153	140.0	Pfn1	K05759	Regulation of actin cytoskeleton
P62937	170.944	1385.37190975	28205.76	563.898942116	165.0	PpiA	K03767	Chaperones and folding catalysts
P14618	46.798	379.262417123	24849.738	496.804233251	531.0	Pkm2	K00873	Glycolysis
P06576	291.137	2359.44532531	154011.47	3079.04857046	529.0	Atp5b	K02133	Oxidative phosphorylation
P11142	230.588	1868.74144706	148959.85	2978.054902	646.0	HspA8	K03283	Chaperones and folding catalysts
Q06830	428.512	3472.76586363	85273.888	1704.82395203	199.0	PrdX1	K13279	Peroxisome
P00558	293.034	2374.81907644	122195.18	2442.96671083	417.0	Pgk1	K00927	Glycolysis
P37802	79.8768	647.341088082	27956.88	558.923250317	350			
P07195	156.533	1268.5816475	52282.022	1045.23958573	334.0	LdhB	K00016	Glycolysis
P00338	322.907	2616.91716154	116569.43	2330.49484432	361.0	LdhA	K00016	Glycolysis
P68104	0.925731	7.50235002918	427.68772	8.55047525271	462.0	Eef1a1	K03231	Translation factors
P23396	908.724	7364.52114914	220819.93	4414.70553976	243.0	Rps3	K02985	Ribosome
P62258	118.847	963.165102949	30305.985	605.887339369	255.0	YwhAe	K06630	Cell cycle
P06744	76.426	619.374962414	43486.394	869.394463153	569.0	Gpi	K01810	Glycolysis
P04075	197.341	1599.29964224	71832.124	1436.0917321	364.0	AldOa	K01623	Glycolysis
P10809	96.5203	782.224075376	55306.132	1105.69859941	573.0	HspD1	K04077	Chaperones and folding catalysts
P62304	35.7966	290.104385674	3293.2872	65.8404938624	92.0	SnrPe	K11097	Spliceosome
H0YC77	126.857	1028.08009849	44399.95	887.658578779	350			
P63220	165.553	1341.68192961	16058.641	321.049695939	97.0	Rps21	K02971	Ribosome
P62829	1449.6	11747.912301	202944.0	4057.32399725	140.0	Rpl23	K02894	Ribosome
P09669	57.5743	466.596183216	4318.0725	86.3283426764	75.0	Cox6c	K02268	Oxidative phosphorylation
P62906	111.602	904.449854177	24217.634	484.166999689	217.0	Rpl10a	K02865	Ribosome
P50990	94.0912	762.538055942	51561.978	1030.84422641	548.0	Cct8	K09500	Chaperones and folding catalysts
P25705	135.158	1095.35342907	74742.374	1494.27441876	553.0	Atp5a1	K02132	Oxidative phosphorylation
Q99873	60.7059	491.975434156	21914.83	438.12857564	361.0	PrmT1	K11434	Chromosome-related
P13639	742.667	6018.75468049	637208.29	12739.2802264	858.0	Eef2	K03234	Translation factors
P46777	294.539	2387.01596387	87478.083	1748.89095213	297.0	Rpl5	K02932	Ribosome
F5H6T1	34.808	282.09252992	12182.8	243.562592605	350	F5H6T1		Cytoskeleton proteins
Q15233	19.6062	158.893431399	9234.5202	184.619601518	471.0			
P40926	83.0006	672.657125917	28054.203	560.868964126	338.0	Mdh2	K00026	TCA cycle and anaplerotic enzymes
O00231	18.9553	153.61837889	7999.1366	159.921401394	422.0	PsmD11	K03036	Proteasome
P18124	0.448964	3.63851386472	111.34307	2.22600771562	248.0	Rpl7	K02937	Ribosome
P06748	122.698	994.374547121	36073.212	721.187661156	294.0	Npm1	K11276	Chromosome-related
O15145	78.8837	639.292763229	14041.299	280.718323209	178.0	ArpC3	K05756	Regulation of actin cytoskeleton
P78371	46.6476	378.043538805	24956.466	498.937974951	535.0	Cct2	K09494	Chaperones and folding catalysts
P62942	7.82428	63.4098753162	1134.5206	22.6817134567	145.0	FkbP1a	K09568	Chaperones and folding catalysts
P46778	5.49766	44.5543788222	879.6256	17.5857677757	160.0	Rpl21	K02889	Ribosome
F8VZ69	50.0864	405.912413543	17530.24	350.470392964	350			
P61978	48.0125	389.105021627	22277.8	445.385192693	464.0	HnrNpk	K12886	Spliceosome
P62847	863.932	7001.51584576	249676.35	4991.61269316	289.0	Rps24	K02974	Ribosome
P62910	9.42054	76.3463560623	1441.3426	28.8158010054	153.0	Rpl32	K02912	Ribosome
P07437	616.65	4997.48214708	273792.6	5473.75279018	444.0	TubB	K07375	Cytoskeleton proteins
P28066	82.4407	668.119559624	19868.209	397.211847397	241.0	PsmA5	K02729	Proteasome
F8WDR7	42.0956	341.153019493	14733.46	294.556236304	350			
P22626	364.297	2952.35182637	128596.84	2570.95082832	353.0			
H0YB22	174.287	1412.4643979	61000.45	1219.5413002	350			
D6R970	134.928	1093.48945292	47224.8	944.133920221	350			
P62888	442.286	3584.39372237	50862.89	1016.86782643	115.0	Rpl30	K02908	Ribosome
P25786	33.2041	269.094132749	8732.6783	174.586611217	263.0	PsmA1	K02725	Proteasome
P07237	122.583	993.442559045	62272.164	1244.96582978	508.0	P4hB	K09580	Chaperones and folding catalysts
Q12906	58.7457	476.089494798	52753.639	1054.66830977	898.0			
P46782	376.79	3053.59814838	76865.16	1536.71386304	204.0	Rps5	K02989	Ribosome
P61604	38.1569	309.232833111	3892.0038	77.8102354104	102.0	HspE1	K04078	Chaperones and folding catalysts
P62750	432.853	3507.94638743	83973.482	1678.82580245	194.0	Rpl23a	K02893	Ribosome
P54819	36.0415	292.089115063	8613.9185	172.212325767	239.0	Ak2	K00939	Purine metabolism
P60174	60.2354	488.162387289	17227.324	344.414395467	286.0	Tpi1	K01803	Glycolysis
B1AHC8	29.5109	239.163538302	17972.138	359.304964864	609.0	XrcC6	K10884	Non-homologous end-joining
P50991	112.447	911.297940472	60608.933	1211.71396202	539.0	Cct4	K09496	Chaperones and folding catalysts
Q06323	172.837	1400.71324391	43209.25	863.853708059	250.0	PsmE1	K06696	Proteasome
P42224	200.423	1624.27692267	150317.25	3005.19249461	750.0	StaT1	K11220	Transcription factors
P49368	104.392	846.018253949	56893.64	1137.43658774	545.0	Cct3	K09495	Chaperones and folding catalysts
O15144	141.186	1144.20581273	42355.8	846.791251591	300.0	ArpC2	K05758	Regulation of actin cytoskeleton
P23284	206.765	1675.67403899	44661.24	892.882375429	216.0	PpiB	K03768	Chaperones and folding catalysts
P62899	371.394	3009.86764701	48281.22	965.254220487	130.0	Rpl31	K02910	Ribosome
P27635	598.821	4852.99157836	137728.83	2753.52061195	230.0	Rpl10	K02866	Ribosome
P48047	19.2625	156.108002689	4102.9125	82.0267923411	213.0	Atp5o	K02137	Oxidative phosphorylation
P38646	50.6344	410.35353933	34482.026	689.376141022	681.0	HspA9	K04043	Chaperones and folding catalysts
P47756	120.062	973.011759575	40100.708	801.706701727	334.0	CapZb	K10365	Cytoskeleton proteins
P20618	59.241	480.10352692	14277.081	285.432155432	241.0	PsmB1	K02732	Proteasome
P37837	77.1796	625.482320795	26009.525	519.991080986	337.0	TalDo1	K00616	Pentose phosphate metabolism
P18669	3.81694	30.9334136162	969.50276	19.3826218738	254.0	PgaM1	K01834	Glycolysis
P49720	58.3885	473.194658793	11969.642	239.301066921	205.0	PsmB3	K02735	Proteasome
Q00839	75.6132	612.787832779	62380.89	1247.13951616	825.0	HnrNpu	K12888	Spliceosome
P04233	2031.5	16463.7719643	601324.0	12021.8695567	296.0	Cd74	K06505	Cellular antigens
P52272	110.335	894.181776855	80544.55	1610.27345259	730.0	HnrNpm	K12887	Spliceosome
P14866	16.7716	135.921140968	9878.4724	197.493708238	589.0			
Q5T0R7	72.5805	588.210091585	25403.175	507.868729964	350			
O00151	234.747	1902.44699843	82161.45	1642.59905557	350			
P26373	673.397	5457.37368912	142086.77	2840.64599896	211.0	Rpl13	K02873	Ribosome
E7EU23	144.624	1172.06820407	50618.4	1011.97990097	350			
P15311	89.554	725.767479444	52478.644	1049.17051819	586.0	Ezr	K08007	Regulation of actin cytoskeleton
P52565	149.188	1209.05597431	30434.352	608.453695159	204.0	ArhGdia	K12462	Vasopressin-regulated water reabsorption
F5H0C5	144.286	1169.32896955	50500.1	1009.61480799	350			
P62701	334.397	2710.03492668	87946.411	1758.25392139	263.0	Rps4x	K02987	Ribosome
P11021	84.2497	682.780137268	55099.304	1101.56362519	654.0	HspA5	K09490	Chaperones and folding catalysts
P10599	112.769	913.907507084	11840.745	236.724115194	105.0	Txn	K03671	Chaperones and folding catalysts
P49721	81.3346	659.155455185	16348.255	326.839755424	201.0	PsmB2	K02734	Proteasome
P09429	29.15	236.238716593	6296.4	125.879724536	216.0	HmgB1	K10802	Chromosome-related
P07108	126.794	1027.56953111	18765.512	375.166361944	148.0	Dbi	K08762	PPAR signaling pathway
Q9C037	13.188	106.878771679	6594.0	131.829442792	500.0	TriM4	K11998	Ubiquitin labeling
P35579	86.8421	703.789579769	170210.52	3402.90536986	1960.0	Myh9	K10352	Cytoskeleton proteins
P20700	55.6872	451.302664105	32632.699	652.403780096	586.0	LmnB1	K07611	Cytoskeleton proteins
P09972	135.606	1098.98413044	49360.584	986.833224838	364.0	AldOc	K01623	Glycolysis
O15533	27.9703	226.678139785	13034.16	260.583265098	466.0	TapBp	K08058	Antigen processing and presentation
P36542	67.823	549.654150103	20211.254	404.070117218	298.0	Atp5c1	K02136	Oxidative phosphorylation
P48643	45.3187	367.273808771	24517.417	490.160361207	541.0	Cct5	K09497	Chaperones and folding catalysts
P52566	256.022	2074.86479244	51460.422	1028.81388506	201.0	ArhGdib	K12462	Vasopressin-regulated water reabsorption
P40939	31.1087	252.112499584	23735.938	474.536772926	763.0	HadHa	K07515	Butanoate metabolism
P01903	1056.83	8564.8083313	268434.82	5366.6382691	254.0	Hla-dra	K06752	Cell adhesion molecules (CAMs)
P48735	51.1524	414.551537793	23120.885	462.240428632	452.0	Idh2	K00031	Peroxisome
E9PH29	14.5725	118.099097686	3730.56	74.5825972248	256.0	PrdX3	K03386	Other enzymes
P46781	280.482	2273.09460403	54413.508	1087.8529633	194.0	Rps9	K02997	Ribosome
P25788	29.489	238.986055356	7519.695	150.336245346	255.0	PsmA3	K02727	Proteasome
P28070	76.4507	619.575137244	20182.985	403.504953961	264.0	PsmB4	K02736	Proteasome
P55084	15.6281	126.653937797	7407.7194	148.09759188	474.0	HadHb	K07509	Lipid and steroid metabolism
P62753	1601.74	12980.892004	398833.26	7973.60728428	249.0	Rps6	K02991	Ribosome
P28838	62.786	508.833072385	32585.934	651.46883865	519.0	Lap3	K11142	Peptidases
P50453	56.4293	457.31682368	21217.417	424.185662812	376.0	SerPinb9	K13963	Protease inhibitors
Q9HB71	22.0309	178.543792158	5023.0452	100.422391543	228.0	CacYbp	K04507	Wnt signaling pathway
P13010	89.2561	723.353225116	65335.465	1306.20836298	732.0	XrcC5	K10885	Non-homologous end-joining
E9PG82	16.691	135.267938891	5841.85	116.792209641	350			
P78417	21.3577	173.088015005	5147.2057	102.904649585	241.0	GstO1	K00799	Cofactor biosynthesis
H9KVC3	97.5666	790.703546016	34148.31	682.704379674	350			
H0Y8R5	729.813	5914.58272635	255434.55	5106.73254416	350			
P00492	73.0741	592.210346491	15930.154	318.480941068	218.0	HprT1	K00760	Purine metabolism
P50914	10.6524	86.3296502449	2343.528	46.8525918117	220.0	Rpl14	K02875	Ribosome
P39023	772.115	6257.40846183	311162.35	6220.86127058	403.0	Rpl3	K02925	Ribosome
