K01369	DelTa-vpe
K01368	-
K01365	-
K01367	-
K01366	AalP
K01360	-
K01363	-
K09175	-
K08568	-
K05849	-
K05841	-
K08565	-
K05847	-
K00509	-
K00502	-
K00503	-
K00500	-
K00501	-
K00506	-
K00507	DS2 Fad5 Ads1
K00504	-
K01109	-
K01108	-
K09280	-
K09286	AteRf6 Cbf1 Erf5 Rap2.6 Erf3 Erf2 Erf1 Erf4 Rap2.4 Rap2.12 Tny Abi4 Rap2.1 AteBp DreB2b Cbf2 DreB1a
K09287	Tem1 Rav2
K09284	Ap2 Rap2.7 Toe2
K09285	Ant Bbm Plt2
K04461	-
K04460	Pp5.2
K01103	-
K01104	-
K04467	-
K01106	-
K05592	-
K05590	-
K05596	-
K14549	SWA1
K14548	AT4G07410 AT1G27470
K14543	-
K14547	-
K14546	AT5G11240 AT1G15420
K14545	AT5G38720
K14544	AT1G63810
K06573	-
hsa_B8ZZJ2	-
K01403	-
eco_b4155	-
hsa_Q9C0K3	-
K05336	-
K02105	-
K08139	-
K02108	AtpI
K02109	AT4G32260 AtpF AT2G07707
K03850	AT5G02410
K03853	-
K03854	-
K03857	SetH2
K03856	-
K05845	-
K03719	-
K13279	-
K03274	-
K03277	-
K03271	-
K03270	-
K03272	-
mpn_MPN452	-
mpn_MPN453	-
K12275	AT3G20920
K12273	-
K12272	AT5G05670 AT2G18770
K12271	Cao
K16196	-
K16197	-
K16195	-
K16190	AT5G14470 GLCAK
K04468	-
K16198	-
K06736	-
K06229	-
K01101	-
K01100	SbpAse
K06221	-
K09903	AT3G18680
K06222	-
K06225	-
K09288	-
K06227	-
K16221	AT5G08330
K16222	CDF1
K16223	FT
hsa_Q562P9	-
hsa_Q562P8	-
hsa_Q562P0	-
K00771	-
K00770	AtcSld5
K00773	-
K00772	-
K01107	-
K07173	-
K07178	AT5G37350 AT2G24990
K07179	AT3G51270
K10108	-
K10105	-
K04678	-
K04679	-
K01827	-
K04676	-
K01825	-
K01823	Ipp2 Ipp1
K01821	-
spo_SPAP8A3.08	-
K15086	TPS14
K00999	AtpIs1 Pis2
K00998	-
K00995	Pgp1 PgpS2
K00991	IspD
K00990	-
K00993	AapT1
hsa_Q13841	-
K15889	PCME
sce_YJR150C	-
K13484	Ttl
K02739	Pbb1 Pbb2
K02738	Pba1
K05105	-
K02732	Pbf1
K02731	Pad1 Pad2
K02730	Paa2 Paa1
K02737	Pbe1 AT3G26340
K02736	Pbg1
K02735	Pbc2 Pbc1
K02734	Pbd2 Pbd1
K03469	-
K03462	-
K03465	-
K01648	AclA-1 AclA-2 AclA-3 AclB-1 AclB-2
K01649	MamL-4 Mam1 Ims2 Ims1
K01640	AT2G26800
K01641	Mva1
K01647	Csy1 Csy3 Csy2 Csy5 AtcS
sce_YBL063W	-
K02599	-
K14066	Gps1
K02846	-
K09754	CYP98A3 Cyp98a9 Cyp98a8
K09755	Fah1
K09756	ScpL19
K09757	Sng1
K09753	Ccr1 Ccr2
K01581	-
K01580	Gad4 Gad5 Gad Gad2 Gad3
K04469	-
hsa_P49773	-
hsa_F5H3P5	-
K02703	PsbA
K03644	Lip1 AT5G08415
K03645	-
K03648	UNG
K03649	-
K06696	-
K06697	-
K06698	-
K06699	PA200
K07611	-
K07610	-
K07342	AT4G24920 AT5G50460
K16507	-
K06969	-
K06965	PEL1
K08991	Mus81 AT5G39770
hsa_B2RB53	-
K05929	Xpl1 PMEAMT
K05928	G-tMt
K10352	-
K00698	-
K00699	-
K10356	-
K10357	-
K10355	Act8 Act1 Act2 Act3 Act4 Act7 Act12 Act11
K00340	-
K00693	-
NotMapped	-
K00696	AtsPs4f SPS1F SPS3F
K00697	AttPs1 AttPs2 AttPs3 AttPs4 AttPs6 AttPs7
