Systematic name	Abundance (data value)	Abundance [ppm]	Size-weighted abundance	Size-weighted abundance [ppm]	Size	Gene name	KO number	KO category
P11142	0.0041308752	4174.97841031	2.6685454	7975.71314628	646	HspA8	K03283	Chaperones and folding catalysts
P36578	0.0023937791	2419.33623692	1.0221437	3054.96955213	427	Rpl4	K02930	Ribosome
P06733	0.0058845068	5947.33262465	2.553876	7632.99076237	434	Eno1	K01689	Glycolysis / Gluconeogenesis
P06733	4.3124599e-06	4.3585017959	0.0018716076	5.59383600519	434	Eno1	K01689	Glycolysis / Gluconeogenesis
P39023	0.0023011243	2325.69220971	0.92735309	2771.66063248	403	Rpl3	K02925	Ribosome
P23528	0.0044716013	4519.34226602	0.91220667	2726.391213	204	Cfl1	K05765	Regulation of actin cytoskeleton
P68104	0.010488396	10600.3751599	4.845639	14482.5816621	462	Eef1a1	K03231	Translation factors
Q53HE2	0.0056861207	5746.82845924	1.6262305	4860.45617876	286	Tpi1	K01803	Glycolysis / Gluconeogenesis
P63244	0.0018095145	1828.83374706	0.63333008	1892.88855456	350			
P68400	0.000293055	296.18379612	0.11634284	347.723939215	397	CsnK2a1	K03097	Ribosome biogenesis in eukaryotes
Q14152	0.0003264939	329.979705898	0.45121457	1348.58413042	1382	Eif3a	K03254	Translation factors
Q7KZF4;B2R5U1;B3KU67;Q59FF0	0.0003778306	381.864501197	0.13224071	395.239282502	350			
P61978	0.0012203463	1233.375304	0.56624068	1692.37264445	464	HnrNpk	K12886	Spliceosome
P61978	3.3489223e-05	33.8467700508	0.015538999	46.4427543951	464	HnrNpk	K12886	Spliceosome
P62241	0.002721843	2750.90270489	0.56614334	1692.08171595	208	Rps8	K02995	Ribosome
Q6P2Q9	0.0002340772	236.576320763	0.54657026	1633.58195369	2335	PrpF8	K12856	Spliceosome
P23396	0.0024199315	2445.76785252	0.58804335	1757.53617577	243	Rps3	K02985	Ribosome
P11940	0.0008763409	885.69713691	0.55735281	1665.80869631	636	PabPc1	K13126	RNA degradation
Q00610	0.0008396399	848.604299383	1.4063968	4203.42012792	1675	CltC	K04646	Endocytosis
P50991	0.0008348627	843.776095699	0.449991	1344.92714061	539	Cct4	K09496	Chaperones and folding catalysts
P06748	0.0054289404	5486.90237867	1.5961085	4770.42794413	294	Npm1	K11276	Chromosome-related
P62847	0.0011753848	1187.93377341	0.33968621	1015.24964526	289	Rps24	K02974	Ribosome
P54136	0.0004767317	481.821516906	0.31464292	940.400591808	660	RarS	K01887	
P54136	1.3766834e-11	1.39138153407e-05	9.0861104e-09	2.71564464168e-05	660	RarS	K01887	
P14866	0.0011451386	1157.36465043	0.67448664	2015.89673597	589	HnrNpl	K13159	
O43143	0.0005979351	604.318942695	0.4753584	1420.74488973	795	Dhx15	K12820	Spliceosome
P15880	0.0016370128	1654.49033595	0.47964475	1433.55587584	293	Rps2	K02981	Ribosome
O43242	0.0002903702	293.470331904	0.15505769	463.434370112	534	PsmD3	K03033	Proteasome
P31948	0.0013354391	1349.69689009	0.78790907	2354.89219245	590	StiP1	K09553	Chaperones and folding catalysts
O00148	0.0013201554	1334.25001396	0.56370636	1684.7981024	427	Ddx39	K13182	Other enzymes
P62750	0.0033169817	3352.39539188	0.64349445	1923.26768899	194	Rpl23a	K02893	Ribosome
P14678	0.0006236516	630.310004417	0.17961166	536.820950427	288	SnrPb	K11086	Spliceosome
P62906	0.0021474896	2170.41723177	0.46600524	1392.79028901	217	Rpl10a	K02865	Ribosome
Q08211	0.0004693805	474.391831959	0.59611324	1781.65535611	1270	Dhx9	K13184	Other enzymes
P22626	0.0027763619	2806.00367489	0.98005575	2929.17764463	353	HnrNpa2b1	K13158	
Q16531	0.0002847673	287.807612649	0.32463472	970.263951305	1140	Ddb1	K10610	Nucleotide excision repair
B3KT15	0.000418305	422.771025357	0.14640675	437.578555223	350			
A8MXP9	0.0006112067	617.732236679	0.21392235	639.36828625	350			
P04843	0.0006774794	684.712495897	0.41123	1229.0787772	607	Rpn1	K12666	N-Glycan biosynthesis
P51148	0.0004883094	493.522825999	0.12158904	363.403712289	249	Rab5c	K07889	GTP-binding signaling proteins
P61247	0.0027288651	2757.99977621	0.72042039	2153.18291957	264	Rps3a	K02984	Ribosome
P62910	0.0019799493	2001.08819095	0.30293224	905.399866534	153	Rpl32	K02912	Ribosome
P68371	0.005342642	5399.68261545	2.3774757	7105.76788217	445	TubB2c	K07375	Phagosome
O00232	0.0002603305	263.10991362	0.11871071	354.800997709	456	PsmD12	K03035	Proteasome
P19338	0.0020549728	2076.91267792	1.4590307	4360.7316311	710	Ncl	K11294	Ribosome Biogenesis
P62280	0.0031086947	3141.88461969	0.49117376	1468.01362823	158	Rps11	K02949	Ribosome
P07900	0.0020548403	2076.77876328	1.5041431	4495.5629747	732	Hsp90aa1	K04079	Protein processing in endoplasmic reticulum
P05388	0.0026413082	2669.50807664	0.8372947	2502.49530928	317	RplP0	K02941	Ribosome
Q8WWY3	0.0001213492	122.64478242	0.060553251	180.980754553	499	PrpF31	K12844	Spliceosome
P63104	0.0032576474	3292.42761035	0.80138126	2395.15769549	246	YwhAz	K06630	
P00558	0.0024901475	2516.73351231	1.0383915	3103.53076156	417	Pgk1	K00927	Glycolysis / Gluconeogenesis
P52272	0.0008510657	860.152086719	0.62127796	1856.86733794	730	HnrNpm	K12887	Spliceosome
P18124	0.00300571	3037.80040551	0.74541608	2227.88970677	248	Rpl7	K02937	Ribosome
Q9Y3I0;B4DNA0	0.0004126198	417.025127428	0.14441693	431.631407562	350			
P04406	0.0064782704	6547.43553041	2.1702206	6486.32658442	335	GapDh	K00134	Glycolysis / Gluconeogenesis
P26196	0.0002230915	225.473332146	0.10775319	322.051307066	483	Ddx6	K12614	RNA degradation
P62937	0.0049487677	5001.60312399	0.81654667	2440.48387203	165	PpiA	K03767	Chaperones and folding catalysts
O00571	0.0006626666	669.74154732	0.43868529	1311.13678431	662	Ddx3x	K11594	Chromosome-related
O75533	0.0001864443	188.434869014	0.24312337	726.643908054	1304	Sf3B1	K12828	Spliceosome
Q12906	0.0008848223	894.269088416	0.79457043	2374.80157699	898	Ilf3	K13090	
Q12906	1.3766834e-11	1.39138153407e-05	1.2362617e-08	3.69492259451e-05	898	Ilf3	K13090	
P51665	0.0002714958	274.394419732	0.087964639	262.90754794	324	PsmD7	K03038	Proteasome
P50914	0.001415781	1430.89655885	0.31147182	930.92285013	220	Rpl14	K02875	Ribosome
P46777	0.0019111117	1931.51564763	0.56760017	1696.43587016	297	Rpl5	K02932	Ribosome
Q14204	0.0001913177	193.360299776	0.88886203	2656.61906217	4646	DynC1h1	K10413	Chromosome-related
P62701	0.003223644	3258.0611737	0.84781837	2533.94831479	263	Rps4x	K02987	Ribosome
P40429	0.0017461843	1764.82740339	0.35447541	1059.45141033	203	Rpl13a	K02872	Ribosome
P53621	0.0002108255	213.076374431	0.25805041	771.257647496	1224	CopA	K05236	Neuroactive ligand-receptor interaction
Q9BUQ0	0.0019722369	1993.29344966	1.098536	3283.28984654	557	PtbP1	K13218	
Q15286	0.0001169879	118.236919084	0.03228866	96.5039193403	276	Rab35	K07876	GTP-binding signaling proteins
Q92499	0.0002824263	285.441619007	0.20899546	624.642862675	740	Ddx1	K13177	Other enzymes
P60842	0.0028292223	2859.42843794	1.1486643	3433.11264563	406	Eif4a1	K03257	RNA transport
P34932	0.0009997745	1010.44857339	0.83981058	2510.0147381	840	HspA4	K09489	Chaperones and folding catalysts
P62917	0.0022824069	2306.77497375	0.58657857	1753.1582607	257	Rpl8	K02938	Ribosome
P25788	0.0005101161	515.562344816	0.13007961	388.780215446	255	PsmA3	K02727	Proteasome
A8K4L9	0.0001141698	115.388731693	0.044754562	133.761842125	392	TiaL1	K13201	
Q9UQ80;A8K6Y1;Q6PIN5	0.001455017	1470.55146126	0.50925595	1522.0574382	350			
P61201	0.0002222241	224.596671367	0.098445276	294.231936988	443	CopS2	K12176	Ubiquitin labeling
P35606;B4DZI8	0.0002349725	237.481179416	0.082240375	245.798943515	350			
Q06830	0.0047748867	4825.86568681	0.95020245	2839.952497	199	PrdX1	K13279	Peroxisome
