!!SBtab TableType='Proteomaps' Organism='hsa' ProteinIdentifier='http://identifiers.org/uniprot/'
!ProteinIdentifier	!Abundance[original])	!Abundance[ppm]	!SizeWeightedAbundance[original]	!SizeWeightedAbundance[ppm]	!ProteinSize	!ProteinName	!Identifiers:kegg.orthology	!Pathway
P60709	2329267700.0	15789.9761112	8.7347539e+11	15310.1235899	375.0	ActB		Cytoskeleton proteins
P68363	1251956200.0	8486.94140664	5.6463225e+11	9896.77514592	451.0	TubA1b	K07374	Cytoskeleton proteins
P62805	2821599600.0	19127.4666623	2.9062476e+11	5094.01987144	103.0	HisT2h4a	K11254	Chromosome-related
P00352	4702589.4	31.8785918367	2355997300.0	41.2955078682	501.0	AldH1a1	K07249	Cofactor biosynthesis
P05783	28661000.0	194.291323974	12324230000.0	216.016944049	430.0	Krt18	K07604	Cytoskeleton proteins
Q71DI3	906749530.0	6146.80460195	1.2331794e+11	2161.49524516	136.0	HisT2h3d	K11253	Chromosome-related
P0C0S8	1316633700.0	8925.38657974	1.7116238e+11	3000.10420641	130.0	HisT1h2ag	K11251	Chromosome-related
P07355-2	1224789200.0	8302.77782552	4.2867622e+11	7513.76167362	350			
P68104	1251265200.0	8482.25715609	5.7808452e+11	10132.5641774	462.0	Eef1a1	K03231	Translation factors
P62807	1067625600.0	7237.3745275	1.3452083e+11	2357.85753816	126.0	HisT1h2bc	K11252	Chromosome-related
P14618	936088730.0	6345.69340598	4.9706312e+11	8712.43527441	531.0	Pkm2	K00873	Glycolysis
P14618	2849636.8	19.3175292808	1513157100.0	26.5223525209	531.0	Pkm2	K00873	Glycolysis
P04406	1136571600.0	7704.75562455	3.8075149e+11	6673.74540332	335.0	GapDh	K00134	Glycolysis
P07737	753579420.0	5108.4729504	1.0550112e+11	1849.20514597	140.0	Pfn1	K05759	Regulation of actin cytoskeleton
P23528	729011750.0	4941.9300827	1.487184e+11	2606.71005749	204.0	Cfl1	K05765	Regulation of actin cytoskeleton
P62979	621836150.0	4215.39265477	97006439000.0	1700.3118658	156.0	Rps27a	K02977	Ribosome
P06733	854032300.0	5789.43743357	3.7065002e+11	6496.68860709	434.0	Eno1	K01689	RNA degradation
P06733	984415.78	6.67329978846	427236450.0	7.48852563733	434.0	Eno1	K01689	RNA degradation
Q06830	772326390.0	5235.55761673	1.5369295e+11	2693.90309828	199.0	PrdX1	K13279	Peroxisome
P15121	215653390.0	1461.90232939	68146471000.0	1194.4594034	316.0	Akr1b1	K00011	Carbohydrate metabolism
