Systematic name	Abundance (data value)	Abundance [ppm]	Size-weighted abundance	Size-weighted abundance [ppm]	Size	Gene name	KO number	KO category
4155	19500000.0	29.8498983839	6825000000.0	29.8498983839	350			
121506	1855100.0	2.83972033292	649285000.0	2.83972033292	350			
12954	139000000.0	212.776198736	48650000000.0	212.776198736	350	CryAa	K09541	Chaperones and folding catalysts
Abpa	7490000.0	11.4654225074	2621500000.0	11.4654225074	350			
14077	714000000.0	1092.96551006	2.499e+11	1092.96551006	350	FabP3	K08752	PPAR signaling pathway
1415	57700000.0	88.3250839358	20195000000.0	88.3250839358	350			
10815	4657500.0	7.12953342168	1630125000.0	7.12953342168	350			
12955	2010000000.0	3076.83567957	7.035e+11	3076.83567957	350	CryAb	K09542	Chaperones and folding catalysts
380684	20400000.0	31.2275860016	7140000000.0	31.2275860016	350	NefH	K04574	Cytoskeleton proteins
226180	4757500.0	7.28260982365	1665125000.0	7.28260982365	350	Ina	K07608	Cytoskeleton proteins
18039	46200000.0	70.7212977094	16170000000.0	70.7212977094	350	NefL	K04572	Cytoskeleton proteins
4151	114000000.0	174.507098244	39900000000.0	174.507098244	350			
1414	1994700.0	3.05341499007	698145000.0	3.05341499007	350			
Abpg	3873700.0	5.92972058305	1355795000.0	5.92972058305	350			
20617	5772300.0	8.83602915083	2020305000.0	8.83602915083	350	SncA	K04528	Alzheimer's disease
5354	966240.0	1.47908542638	338184000.0	1.47908542638	350			
1417	12900000.0	19.7468558539	4515000000.0	19.7468558539	350			
Bpifa2	3565000.0	5.45717373018	1247750000.0	5.45717373018	350			
Try5	2107800.0	3.22654440069	737730000.0	3.22654440069	350			
845	1597800.0	2.44585475065	559230000.0	2.44585475065	350			
21956	17200000.0	26.3291411386	6020000000.0	26.3291411386	350	TnnT2	K12045	Cytoskeleton proteins
10409	6172300.0	9.4483347587	2160305000.0	9.4483347587	350			
22349	2050000000.0	3138.06624035	7.175e+11	3138.06624035	350	Vil1	K05761	Cytoskeleton proteins
218038	1655400.0	2.53402675819	579390000.0	2.53402675819	350	AmpH	K12562	Fc gamma R-mediated phagocytosis
21954	7772100.0	11.8972510374	2720235000.0	11.8972510374	350	TnnI3	K12044	Cytoskeleton proteins
66473	6139000.0	9.39736031685	2148650000.0	9.39736031685	350	CtrB1	K01310	Peptidases
19752	10200000.0	15.6137930008	3570000000.0	15.6137930008	350	RnaSe1	K01168	Other enzymes
Amy2;Amy2a2	46200000.0	70.7212977094	16170000000.0	70.7212977094	350			
21924	8066900.0	12.3485202704	2823415000.0	12.3485202704	350	TnnC1	K05865	Calcium signaling pathway
342898	763980.0	1.16947309576	267393000.0	1.16947309576	350			
16204	24500000.0	37.5037184823	8575000000.0	37.5037184823	350	FabP6	K08755	PPAR signaling pathway
5948	24300000.0	37.1975656783	8505000000.0	37.1975656783	350			
22003	30200000.0	46.2290733945	10570000000.0	46.2290733945	350	Tpm1	K10373	Cytoskeleton proteins
22003	2660000000.0	4071.83229236	9.31e+11	4071.83229236	350	Tpm1	K10373	Cytoskeleton proteins
22003	239000000.0	365.852600705	83650000000.0	365.852600705	350	Tpm1	K10373	Cytoskeleton proteins
22003	932600.0	1.42759052476	326410000.0	1.42759052476	350	Tpm1	K10373	Cytoskeleton proteins
22003	32400000.0	49.5967542378	11340000000.0	49.5967542378	350	Tpm1	K10373	Cytoskeleton proteins
22072	7322800.0	11.2094787633	2562980000.0	11.2094787633	350	PrsS2	K01312	Peptidases
374897	4059300.0	6.21383038511	1420755000.0	6.21383038511	350			
12716	150000000.0	229.614602953	52500000000.0	229.614602953	350	CkmT1	K00933	Arginine and proline metabolism
5816	191000000.0	292.37592776	66850000000.0	292.37592776	350			
17906	80700000.0	123.532656389	28245000000.0	123.532656389	350	Myl2	K10351	Regulation of actin cytoskeleton
12409	25400000.0	38.8814061	8890000000.0	38.8814061	350	Cbr2	K00079	Arachidonic acid metabolism
5334	13600000.0	20.8183906677	4760000000.0	20.8183906677	350			
56727	513000000.0	785.281942098	1.7955e+11	785.281942098	350	MioX	K00469	Ascorbate and aldarate metabolism
55268	60500000.0	92.6112231909	21175000000.0	92.6112231909	350			
109901	5523600.0	8.45532813913	1933260000.0	8.45532813913	350	CelA1	K01326	Peptidases
12613	6150800.0	9.41542333228	2152780000.0	9.41542333228	350	Cel	K12298	Steroid biosynthesis
793	3630000000.0	5556.67339146	1.2705e+12	5556.67339146	350			
794	6509200.0	9.96404915693	2278220000.0	9.96404915693	350			
1427	4243700.0	6.49610327034	1485295000.0	6.49610327034	350			
22227	2582600.0	3.95335115724	903910000.0	3.95335115724	350	Ucp1	K08769	PPAR signaling pathway
51778	134710.0	0.206209221092	47148500.0	0.206209221092	350			
109697	14000000.0	21.4306962756	4900000000.0	21.4306962756	350	Cpa1	K08779	Chaperones and folding catalysts
55948	73800000.0	112.970384653	25830000000.0	112.970384653	350	Sfn	K06644	Cell cycle
8857	13300000.0	20.3591614618	4655000000.0	20.3591614618	350			
13706	1411800.0	2.16113264299	494130000.0	2.16113264299	350	CelA2a	K01346	Peptidases
7447	3218800.0	4.92722322656	1126580000.0	4.92722322656	350			
Klk1b26;Egfbp2	107000.0	0.163791750106	37450000.0	0.163791750106	350			
4975	2083600.0	3.18949991142	729260000.0	3.18949991142	350			
1264	61000000.0	93.3766052008	21350000000.0	93.3766052008	350			
1411	6126700.0	9.3785319194	2144345000.0	9.3785319194	350			
7356	8097700.0	12.3956678022	2834195000.0	12.3956678022	350			
16612	87700000.0	134.248004526	30695000000.0	134.248004526	350	Klk1	K01325	Peptidases
14120	39800000.0	60.9244079835	13930000000.0	60.9244079835	350	Fbp2	K03841	Glycolysis / Gluconeogenesis
17897	46500000.0	71.1805269154	16275000000.0	71.1805269154	350	Myl3	K12749	Cytoskeleton proteins
Try4	8921000.0	13.6559458196	3122350000.0	13.6559458196	350			
29818	573740.0	0.878260548654	200809000.0	0.878260548654	350	HspB7	K09546	Chaperones and folding catalysts
107753	10900000.0	16.6853278146	3815000000.0	16.6853278146	350	LgaLs2	K10090	Glycan bindng proteins
140781	5329400.0	8.15805376651	1865290000.0	8.15805376651	350	Myh7	K10352	Cytoskeleton proteins
22004	891000000.0	1363.91074154	3.1185e+11	1363.91074154	350	Tpm2	K10374	Cytoskeleton proteins
22004	176000000.0	269.414467465	61600000000.0	269.414467465	350	Tpm2	K10374	Cytoskeleton proteins
1113	1721100.0	2.63459795428	602385000.0	2.63459795428	350			
Adh6a	9856900.0	15.0885878656	3449915000.0	15.0885878656	350			
6876	929000000.0	1422.07977429	3.2515e+11	1422.07977429	350			
76703	16900000.0	25.8699119327	5915000000.0	25.8699119327	350	Cpb1	K01291	Peptidases
18040	35200000.0	53.8828934929	12320000000.0	53.8828934929	350	NefM	K04573	Cytoskeleton proteins
17888	32400000.0	49.5967542378	11340000000.0	49.5967542378	350	Myh6	K10352	Cytoskeleton proteins
14580	2914600.0	4.46156481177	1020110000.0	4.46156481177	350	GfaP	K05640	Cytoskeleton proteins
233335	5284200.0	8.08886323282	1849470000.0	8.08886323282	350	SynM	K10376	Cytoskeleton proteins
18946	4292200.0	6.57034532529	1502270000.0	6.57034532529	350	PnlIprp1	K14074	Glycerolipid metabolism
20259	265000000.0	405.652465217	92750000000.0	405.652465217	350	SciN	K05768	Regulation of actin cytoskeleton
17901	48700000.0	74.5482077587	17045000000.0	74.5482077587	350	Myl1	K05738	Cytoskeleton proteins
17901	777980.0	1.19090379203	272293000.0	1.19090379203	350	Myl1	K05738	Cytoskeleton proteins
10551	5963000.0	9.12794584938	2087050000.0	9.12794584938	350			
29114	3646000.0	5.58116561577	1276100000.0	5.58116561577	350			
11847	134000000.0	205.122378638	46900000000.0	205.122378638	350	Arg2	K01476	Arginine and proline metabolism
17287	1140000000.0	1745.07098244	3.99e+11	1745.07098244	350	Mep1a	K01395	Peptidases
69191	251000000.0	384.221768941	87850000000.0	384.221768941	350	PdiA2	K09581	Chaperones and folding catalysts
200504	2665700.0	4.08055764727	932995000.0	4.08055764727	350			
17907	67800000.0	103.785800535	23730000000.0	103.785800535	350	MylPf	K12758	Regulation of actin cytoskeleton
6345	10100000.0	15.4607165988	3535000000.0	15.4607165988	350			
18645	49900000.0	76.3851245823	17465000000.0	76.3851245823	350	Pfn2	K05759	Cytokinesis
27295	5773500.0	8.83786606765	2020725000.0	8.83786606765	350			
11770	1080000000.0	1653.22514126	3.78e+11	1653.22514126	350	FabP4	K08753	PPAR signaling pathway
69060	3573100.0	5.46957291874	1250585000.0	5.46957291874	350	PnlIp	K14073	Glycerolipid metabolism
10223	31650.0	0.048448681223	11077500.0	0.048448681223	350			
68738	302000000.0	462.290733945	1.057e+11	462.290733945	350	AcsS1	K01895	Glycolysis / Gluconeogenesis
6295	234510.0	0.358979470256	82078500.0	0.358979470256	350			
6623	46900000.0	71.7928325232	16415000000.0	71.7928325232	350			
17896	1810100.0	2.77083595203	633535000.0	2.77083595203	350	Myl4	K12750	Cytoskeleton proteins
AI747448	491100.0	0.751758210067	171885000.0	0.751758210067	350			
21953	17600000.0	26.9414467465	6160000000.0	26.9414467465	350	TnnI2	K12043	Cytoskeleton proteins
11636	340000000.0	520.459766693	1.19e+11	520.459766693	350	Ak1	K00939	Purine metabolism
17075	13500000.0	20.6653142657	4725000000.0	20.6653142657	350	EpcAm	K06737	Cellular antigens
Lgals4;Lgals6	5364200.0	8.21132435439	1877470000.0	8.21132435439	350			
67041	1850000000.0	2831.91343642	6.475e+11	2831.91343642	350	OxcT1	K01027	Butanoate metabolism
5276	4090100.0	6.26097791691	1431535000.0	6.26097791691	350			
56287	5776200.0	8.8419991305	2021670000.0	8.8419991305	350			
6276	1223400.0	1.87273670168	428190000.0	1.87273670168	350			
Car1;Ca1	50000000.0	76.5382009843	17500000000.0	76.5382009843	350			
12180	687920.0	1.05304318442	240772000.0	1.05304318442	350	SmyD1	K11426	Chromosome-related
76722	31300000.0	47.9129138161	10955000000.0	47.9129138161	350	CkmT2	K00933	Arginine and proline metabolism
103968	11400000.0	17.4507098244	3990000000.0	17.4507098244	350	PliN1	K08768	PPAR signaling pathway
12865	107000000.0	163.791750106	37450000000.0	163.791750106	350	Cox7a1	K02270	Oxidative phosphorylation
266629	42300000.0	64.7513180327	14805000000.0	64.7513180327	350			
12709	106000000.0	162.260986087	37100000000.0	162.260986087	350	Ckb	K00933	Arginine and proline metabolism
12036	311000000.0	476.067610122	1.0885e+11	476.067610122	350	BcaT2	K00826	Valine, leucine and isoleucine degradation
18951	5510500.0	8.43527513047	1928675000.0	8.43527513047	350	SepT5	K04557	Parkinson's disease
16765	58600000.0	89.7027715535	20510000000.0	89.7027715535	350	StmN1	K04381	MAPK signaling pathway
67868	192260.0	0.294304690425	67291000.0	0.294304690425	350	CelA3b	K01345	Peptidases
Ren1;Ren2	179000000.0	274.006759524	62650000000.0	274.006759524	350			
11475	2320000000.0	3551.37252567	8.12e+11	3551.37252567	350	ActA2	K12313	Cytoskeleton proteins
58529	10400000.0	15.9199458047	3640000000.0	15.9199458047	350			
284119	249000000.0	381.160240902	87150000000.0	381.160240902	350			
11754	3075200.0	4.70740551334	1076320000.0	4.70740551334	350	Aoc3	K00276	Glycine, serine and threonine metabolism
236539	25900000.0	39.6467881098	9065000000.0	39.6467881098	350	PhgDh	K00058	Glycine, serine and threonine metabolism
4133	56500000.0	86.4881671122	19775000000.0	86.4881671122	350			
11472	10500000.0	16.0730222067	3675000000.0	16.0730222067	350	ActN2	K05699	Regulation of actin cytoskeleton
6277	154000000.0	235.737659031	53900000000.0	235.737659031	350			
12722	7974800.0	12.2075369042	2791180000.0	12.2075369042	350	ClcA1	K05027	Ion channels
17762	117000000.0	179.099390303	40950000000.0	179.099390303	350	MapT	K04380	MAPK signaling pathway
13807	11100000.0	16.9914806185	3885000000.0	16.9914806185	350	Eno2	K01689	Glycolysis / Gluconeogenesis
18600	2404600.0	3.68087516173	841610000.0	3.68087516173	350	PadI2	K01481	Other enzymes
Akr1c21	688000000.0	1053.16564554	2.408e+11	1053.16564554	350			
17882	21200000.0	32.4521972173	7420000000.0	32.4521972173	350	Myh2	K10352	Cytoskeleton proteins
22223	41900000.0	64.1390124248	14665000000.0	64.1390124248	350	UchL1	K05611	Ubiquitin labeling
54200	425890.0	0.651937088344	149061500.0	0.651937088344	350	SulT2b1	K01015	Sulfur metabolism
2210010C04Rik	4465300.0	6.8353205771	1562855000.0	6.8353205771	350			
91860	68100000.0	104.245029741	23835000000.0	104.245029741	350			
63908	470400.0	0.72007139486	164640000.0	0.72007139486	350			
11155	7002000.0	10.7184096658	2450700000.0	10.7184096658	350			
11155	235620.0	0.360678618318	82467000.0	0.360678618318	350			
14264	3329000.0	5.09591342153	1165150000.0	5.09591342153	350	FmoD	K08121	Proteoglycans
12389	11200000.0	17.1445570205	3920000000.0	17.1445570205	350	Cav1	K06278	Endocytosis
17868	1007100.0	1.54163244422	352485000.0	1.54163244422	350	MybPc3	K12568	Hypertrophic cardiomyopathy (HCM)
392465	122000000.0	186.753210402	42700000000.0	186.753210402	350			
13346	220000000.0	336.768084331	77000000000.0	336.768084331	350	Des	K07610	Cytoskeleton proteins
1412	3992800.0	6.1120345778	1397480000.0	6.1120345778	350			
81600	1809000.0	2.76915211161	633150000.0	2.76915211161	350	ChiA	K01183	Amino sugar and nucleotide sugar metabolism
18479	6278100.0	9.61028959198	2197335000.0	9.61028959198	350	Pak1	K04409	MAPK signaling pathway
130120	1083800.0	1.65904204453	379330000.0	1.65904204453	350			
283463	2361100.0	3.61428692688	826385000.0	3.61428692688	350			
17880	455000000.0	696.497628957	1.5925e+11	696.497628957	350	Myh11	K10352	Cytoskeleton proteins
259300	18800000.0	28.7783635701	6580000000.0	28.7783635701	350	Ehd2	K12469	Endocytosis
11459	19200000.0	29.390669178	6720000000.0	29.390669178	350	ActA1	K10354	Cytoskeleton proteins
6853	9192900.0	14.0721605566	3217515000.0	14.0721605566	350			
16832	5180000000.0	7929.35762197	1.813e+12	7929.35762197	350	LdhB	K00016	Glycolysis / Gluconeogenesis
14778	724000000.0	1108.27315025	2.534e+11	1108.27315025	350	Gpx3	K00432	Glutathione metabolism
4925	63500000.0	97.20351525	22225000000.0	97.20351525	350			
21925	5527800.0	8.46175734801	1934730000.0	8.46175734801	350	TnnC2	K12042	Calcium signaling pathway
6620	8239300.0	12.6124239874	2883755000.0	12.6124239874	350			
12715	56700000.0	86.7943199161	19845000000.0	86.7943199161	350	Ckm	K00933	Arginine and proline metabolism
69983	7073200.0	10.827400064	2475620000.0	10.827400064	350	Sis	K01203	Starch and sucrose metabolism
233799	1110000000.0	1699.14806185	3.885e+11	1699.14806185	350	AcsM2	K01896	Butanoate metabolism
14598	284000000.0	434.736981591	99400000000.0	434.736981591	350	Ggt1	K00681	Peptidases
329251	12800000.0	19.593779452	4480000000.0	19.593779452	350	Ppp1r12b	K12329	Vascular smooth muscle contraction
13142	169000000.0	258.699119327	59150000000.0	258.699119327	350	Dao	K00273	Glycine, serine and threonine metabolism
765	2684400.0	4.10918293444	939540000.0	4.10918293444	350			
1396	53100000.0	81.2835694453	18585000000.0	81.2835694453	350			
6285	4439000.0	6.79506148338	1553650000.0	6.79506148338	350			
216188	2385000.0	3.65087218695	834750000.0	3.65087218695	350	AldH1l2	K00289	One carbon pool by folate
74551	17700000.0	27.0945231484	6195000000.0	27.0945231484	350	Pck2	K01596	Glycolysis / Gluconeogenesis
20404	45500000.0	69.6497628957	15925000000.0	69.6497628957	350	Sh3Gl2	K11247	Endocytosis
66824	14000000.0	21.4306962756	4900000000.0	21.4306962756	350	PycArd	K12799	NOD-like receptor signaling pathway
15277	4121000.0	6.30827852512	1442350000.0	6.30827852512	350	Hk2	K00844	Glycolysis / Gluconeogenesis
23136	186000000.0	284.722107661	65100000000.0	284.722107661	350			
