K16786	SACOL2708:SACOL2708
K01689	eno:SACOL0842
K15633	pgm:SACOL0841
K01803	tpiA:SACOL0840
K12573	SACOL0846:SACOL0846
K00819	rocD:SACOL0960
K00260	gluD:SACOL0961
K01810	pgi:SACOL0966
K02428	SACOL1162:SACOL1162
K01776	murI:SACOL1161
K01867	trpS:SACOL1001
K00928	SACOL1360:SACOL1360
K01733	thrC:SACOL1363
K00003	hom:SACOL1362
K00872	thrB:SACOL1364
K00116	mqo1:SACOL2362
K03781	kataA:SACOL1368
K00380	cysJ:SACOL2639
K02798	SACOL2148:SACOL2148
K00009	mtlD:SACOL2149
K00611	arcB1:SACOL1181
K00820	glmS:SACOL2145
K02994	rpsH:SACOL2225
K02933	rplF:SACOL2224
K02931	rplE:SACOL2227
K02907	rpmD:SACOL2221
K02876	rplO:SACOL2220
K02881	rplR:SACOL2223
K02988	rpsE:SACOL2222
K02874	rplN:SACOL2229
K02895	rplX:SACOL2228
K01903	sucC:SACOL1262
K01902	sucD:SACOL1263
K01735	aroB:SACOL1505
K00800	aroA:SACOL1504
K01736	aroC:SACOL1506
K00945	cmk:SACOL1518
K00560	thyA:SACOL1462
K00287	folA:SACOL1461
K00940	ndk:SACOL1509
K15986	ppaC:SACOL1982
K00266	gltD:SACOL0515
K00128	aldA2:SACOL1984
K03784	deoD:SACOL2130
K01809	manA1:SACOL2135
K06215	SACOL0564:SACOL0564
K08681	SACOL0565:SACOL0565
K04567	lysS:SACOL0562
K00656	pflB:SACOL0204
K01465	pyrC:SACOL1213
K00609	pyrB:SACOL1212
K01955	carB:SACOL1215
K01956	carA:SACOL1214
K00762	pyrE:SACOL1217
K01591	pyrF:SACOL1216
K01126	SACOL0031:SACOL0031
K03043	rpoB:SACOL0588
K03046	rpoC:SACOL0589
K02913	rpmG:SACOL1608
K02867	rplK:SACOL0583
K00845	glk:SACOL1604
K02935	rplL:SACOL0586
K00549	metE:SACOL0428
K02863	rplA:SACOL0584
K02864	rplJ:SACOL0585
K00052	leuB:SACOL2047
K01619	deoC2:SACOL2129
K05847	SACOL2453:SACOL2453
K03644	lipA:SACOL0927
K00625	eutD:SACOL0634
K01597	mvaD:SACOL0637
K00938	SACOL0638:SACOL0638
K10563	fpg:SACOL1736
K02335	polA:SACOL1737
K00134	gapA2:SACOL1734
K00859	coaE:SACOL1735
K00432	gpxA1:SACOL1325
K01704	leuD:SACOL2049
K00111	glpD:SACOL1321
K00864	glpK:SACOL1320
K00001	SACOL2367:SACOL2367
K04041	SACOL2527:SACOL2527
K03070	secA:SACOL0816
K06347	kapB:SACOL0956
K01661	menB:SACOL1054
K00954	coaD:SACOL1134
K02911	rpmF:SACOL1137
K03800	SACOL1034:SACOL1034
K13853	SACOL1787:SACOL1787
K01895	acs:SACOL1783
K01938	fhs:SACOL1782
K00133	asd:SACOL1429
K01921	ddl:SACOL2074
K00317	SACOL0392:SACOL0392
K01929	murF:SACOL2073
K00001	SACOL2177:SACOL2177
K00001	SACOL2178:SACOL2178
K02959	rpsP:SACOL1254
K02884	rplS:SACOL1257
K03110	SACOL1251:SACOL1251
K03106	ffh:SACOL1253
K00033	gnd:SACOL1554
K01915	femC:SACOL1329
K04103	ipdC:SACOL0173
K02217	SACOL1952:SACOL1952
K00794	ribH:SACOL1817
K11038	SACOL2004:SACOL2004
K01866	tyrS:SACOL1778
K01633	folB:SACOL0559
K00760	hpt:SACOL0554
K01738	cysK:SACOL0557
K00158	SACOL2553:SACOL2553
K01664	pabA:SACOL0773
K00058	serA:SACOL1773
K01126	SACOL1770:SACOL1770
K04487	SACOL1677:SACOL1677
K00566	mnmA:SACOL1676
