K07541	PigX:Q8TBF5
K13154	ZcrB1:Q8TBF4
K08469	Gpr158:Q5T848
K08456	Gpr113:Q8IZF5
K12406	PklR:P30613
K03132	Taf7l:Q5H9L4
K04620	GprC5c:Q9NQ84
K01444	Aga:P20933
K14538	GNL3L:Q8NB15-1
K04352	RasA1:P20936
K03374	ST6GALNAC4:Q9NXB0-1
K04798	PfdN6:Q5STK2
K02649	Pik3r1:B3KT19
hsa_G5E9R0	G5E9R0:G5E9R0
K09228	Znf304:Q2T9G7
K16333	CRTC2:Q5T0D9-1
K15717	FAM213B:Q8TBF2
K15728	LPIN1:Q9H5N1-1
K06724	Nrp1:Q96I90
K00943	DtyMk:P23919
K05857	PlcD3:Q8N3E9
K14077	TpcN2:Q8NHX9
K09228	Znf226:Q8WWE6
K11319	Ing3:Q9NXR8
K00485	Fmo2:Q86U73
K14738	STEAP2, IPCA1, PCANAP1, PUMPCn, STAMP1, STMP:Q9C0H2
K07942	Arl1:P40616
K08339	Atg5:Q9H1Y0
K10442	KlhL4:Q9C0H6
K02090	Cdk5:Q00535
K02091	Cdk6:Q00534
K08820	Cdk17:Q00537
K08820	Cdk16:Q00536
K05438	Gh2:B1A4H7
K08824	CdkL1:Q00532
K05671	AbcC11:Q96J66
K09169	NfiB:O00712
K13748	MgaT4c:Q9UBM8
K05672	AbcC12:Q96J65
K06551	SirPb1:O00241
K06620	E2f3:O00716
K09849	TraF5:Q6FHY1
K09525	DnaJc5g:Q8N7S2
K09592	EglN2:Q96KS0
K00213	DhcR7:Q9UBM7
K06824	NpnT:Q6UXI9
K04402	GadD45a:P24522
K02737	PsmB5:E9PAV2
K10387	Pkp1:Q13835
K04257	Or2W3:Q7Z3T1
K09355	Pbx1:P40424
K09355	Pbx2:P40425
K09355	Pbx3:P40426
K10665	MarCh10:B3KVK0
K09397	FoxD4l1:B3KVK3
K12741	HnrNpa3:P51991
K12812	Bat1:Q13838
K13513	LclAt1:A6H8Z7
K01131	Sts:P08842
K10443	KlhL2:B4DFH7
K08446	Cd97:P48960
K03880	Nd3:P03897
K00816	CcbL1:A8K563
K02186	CasP2:Q9BZL0
K02943	RplP2:P05387
K02941	RplP0:P05388
K13051	AsrGl1:Q7L266
K08830	RagE:Q9UQ07
K04907	KcnH4:Q9UQ05
K00884	NagK:Q9UJ70
K06561	Cd207:Q9UJ71
K01045	Pon2:Q15165
K01045	Pon3:Q15166
K02899	MRPL27, L27mt:B2ZCW1
K00232	AcoX3:O15254
K08035	FoxA2:B0ZTD4
K02907	MRPL30, L28MT, L30MT, MRP-L28, MRP-L30, MRPL28, MRPL28M, RPML28:Q49AI7
K01539	Atp1a3:B3KNQ8
K04612	CasR:P41180
K01443	AmdHd2:Q9Y303
K02864	MRPL10, L10MT, MRP-L10, MRP-L8, MRPL8, RPML8:Q9UN70-3
K00615	Tkt:P29401
K07424	Cyp3a4:Q6GRK0
K08527	RarA:B8Y636
K14561	IMP4:P83111-1
K01529	Ddx47:Q9H0S4
K05021	CliC1:Q5SRT3
K04079	Hsp90aa1:P07900
K02925	Rpl3:P39023
K05455	Nrg1:Q7RTW5
K10894	FanCg:Q53XM5
K00681	Ggt5:Q53XM9
K06756	NrcAm:Q14CA1
K04839	Scn7a:Q01118
K04264	TbxA2r:P21731
K09228	Znf224:Q9NZL3
K09228	Znf689:Q96CS4
K02886	MRPL2, MRP-L14, RPML14:B3KXU8
K09228	Znf221:Q9UK13
K09228	Znf222:Q9UK12
K09228	Znf223:Q9UK11
K09228	Znf225:Q9UK10
K04893	KcnD3:Q9UK17
K10484	Slx4:Q8IY92
K01253	EphX1:P07099
K04459	DusP1:P28562
K06062	Kat2b:Q92831
K06062	Kat2a:Q92830
K03069	FraT1:Q92837
K11863	AtxN3l:Q9H3M9
K04223	TacR2:P21452
K04367	Mos:P00540
K10520	AbtB1:Q969K4
K05480	Eda:Q92838
K04899	KcnF1:Q9H3M0
K04395	CasP5:P51878
K08342	Atg4d:Q969K0
K08042	AdcY2:Q08462
K07921	Rab34:Q9BZG1
K13781	Slc7a8:F2Z2J4
K08838	Stk24:Q9Y6E0
K01078	AcpT:Q9BZG2
K04928	KcnQ3:B4DJY4
K00789	Mat2b:Q9NZL9
K05439	Prl:P01236
K07950	Arl5b:B0YIW9
K01672	Ca12:O43570
K12882	NcbP1:Q09161
K02152	Atp6v1g2:Q5HYU8
K07838	Rap2b:Q5JQ44
K09228	Znf544:Q6NX49
K14358	ScrN2:Q96FV2
K14537	GNL2:P09001
K06584	ItgA8:P53708
K00021	HmgCr:P04035
K08341	GabArapl2:P60520
K01764	HccS:P53701
K06840	SemA3a:Q14563
K12818	Dhx8:Q14562
K11306	MysT4:Q8WYB5
K02542	Mcm6:Q14566
K10872	Dmc1:Q14565
K14555	TBL3:Q9NWM3
hsa_Q562L5	Q562L5:Q562L5
K10366	Dmd:A1L0U9
hsa_Q562L2	Q562L2:Q562L2
hsa_Q562L3	Q562L3:Q562L3
K13515	LpcAt3:Q6P1A2
hsa_Q562L9	Q562L9:Q562L9
K08802	SnrK:Q9NRH2
K10389	TubG2:Q9NRH3
K08626	AdaMts12:P58397
K05240	Tac3:Q9UHF0
K01528	Dnm2:Q8N1K8
K05490	Il17b:Q9UHF5
K07607	PrpH:P41219
K03233	Eef1g:Q53YD7
K06556	Cd200:P41217
K07380	CntNap2:Q9UHC6
K03211	Etv6:P41212
K11830	TfaM:E5KSU5
K11288	TspYl5:Q86VY4
K09498	Cct6b:Q92526
K05286	PigB:Q92521
K08765	Cpt1b:Q92523
K11275	H1fX:Q92522
K14216	Oas2:Q6PJ33
K06279	Shc3:Q92529
K14398	CPSF7:Q8N5F7
K11981	Rnf41:Q9H4P4
K08449	RamP3:O60896
K10800	SmuG1:Q53HV7
K13997	PdhX:E9PBP7
K13712	Pip5kl1:Q5T9C9
K02934	Rpl6:Q02878
K05444	Il24:Q53XZ7
K02155	Atp6v0c:P27449
K08798	MarK3:P27448
K09113	MlxIp:Q9HAP2
K09257	NfkBil2:Q96HA7
K14316	Pom121:Q96HA1
K12560	FcgR2b:P31994
K10756	Rfc3:C9JU95
K13353	Pex11g:Q96HA9
K09025	ApoA5:Q6Q788
K05858	PlcB3:Q8N1A4
K06709	Kdm4a:O75164
K09533	DnaJc13:O75165
K16942	SEPT2, DIFF6, NEDD-5, NEDD5, Pnutl3, hNedd5:Q5GIT6
K14561	IMP4:Q96G28
K10727	Cdt1:Q9H211
K13161	HnrNpr:Q0VGD6
K11838	Usp7:Q6U8A4
K11485	Mtf2:Q96G26
K09611	NpePl1:E9PN47
K02208	Cdk19:Q9BWU1
K00940	Nme3:Q13232
K04416	Map3k1:Q13233
K01183	ChiT1:Q13231
K07365	Nck2:O43639
K07376	PrkG2:Q13237
K05228	PomC:Q53T23
K02519	MtiF2:P46199
K11964	PelI1:Q53T26
K06568	Muc1:A5YRV2
K01025	SulT1c2:O00338
K14560	IMP3, BRMS2, C15orf12, MRPS4:B4DDD6
K06567	Cd226:Q15762
K09444	Irf1:P10914
K04316	Gpr19:Q15760
K10351	Myl2:P10916
K07435	Cyp20a1:Q6UW02
K05080	Ghr:P10912
K05463	EfnB3:Q15768
K14004	Sec13:A8MV37
K00901	DgkA:P23743
K11419	Suv39h2:Q9H5I1
K08147	Slc2a10:O95528
K14165	DusP21:Q9H596
K12173	Bre:Q9NXR7
K05622	Tgm5:B4DPS8
K14565	NOP58, NOP5, NOP5/NOP58:Q96BT7
K05455	Nrg1:Q02297
K04257	Or14i1:A6ND48
K08136	SpoCk2:C9J767
K07213	ATOX1:O00244
K08529	RarG:B7Z492
K08377	NpbWr2:P48146
K01065	AoaH:B7Z490
K01186	Neu1:Q99519
K00485	Fmo2:Q99518
K02331	MybBp1a:Q9BQG0
K08814	TriB3:Q96RU7
K15043	KPNA2:Q6PL24
K11849	Usp28:Q96RU2
K11718	UggT2:Q9NYU1
K11718	UggT1:Q9NYU2
K08814	TriB1:Q96RU8
K13744	ArhGef26:Q96DR7
K00734	B3gAlt6:Q96L58
K03026	PolR3d:P05423
K10348	PpiL5:Q96L50
K00781	St3Gal3:Q96L53
K09230	ZscAn21:Q9Y5A6
K05253	Trh:P20396
K09228	Znf248:Q8NDW4
K01046	LipF:B7Z723
K00558	DnmT3b:B4DSU1
K14404	CPSF4:Q13641
K06088	OCLN, BLCPMG:Q9Y5A9
K02733	PsmB10:P40306
K12188	Snf8:Q96H20
K04910	KcnH7:Q9NS40
K06504	Cd72:Q5TLG3
K00551	PemT:Q9UBM1
K00254	DhoDh:Q02127
K09556	Bag2:O95816
K08136	SpoCk3:B4DI52
K00716	Fut3:P21217
K04257	Or5T1:Q8NG75
K04459	DusP9:Q99956
K03120	TbpL1:P62380
K07767	KatNa1:A8K7S5
K04257	Or2T12:Q8NG77
K06087	CldN10:Q96N78
K02954	MRPS14, DJ262D12.2, HSMRPS14, MRP-S14, S14mt:Q9NZM1-5
K04257	Or2T33:Q8NG76
K05856	Lck:P06239
K06943	GTPBP4:Q9NZM1-1
K01832	TbxAs1:Q96CN2
K08449	RamP3:A4D2L1
K14574	SBDS, SDS, SWDS:C5NM88
K09228	Znf641:Q96N77
K01712	UroC1:Q96N76
K11497	CenPc1:Q03188
K12587	ExoSc6:Q5RKV6
K09431	Etv1:B7Z2C9
K04504	PpaRd:Q03181
K10492	ZbtB5:O15062
K10376	SynM:O15061
K10511	ZbtB39:O15060
K01952	PfaS:O15067
K10394	Kif3b:O15066
K00948	PrpS1:P60891
K01908	AcsS3:Q9H6R3
K10495	ZbtB8b:Q8NAP8
K04257	Or2H2:O95918
K01855	Pus7:Q96PZ0
K13431	SrpR:B4E0H3
K09206	Klf5:Q5T6X2
K10510	ZbtB38:Q8NAP3
K03345	SenP2:Q9HC62
K01046	LipF:P07098
K06737	EpcAm:P16422
K04257	Or51d1:Q8NGF3
K06114	SptA1:P02549
