!!SBtab TableType='Proteomaps' Organism='sce' DefaultProteinLength='350' ProteinURL='identifiers.org/sgd/'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
YAL001C	1019.7744	66.06009648579828	356921.04	55.558356061283725		TFC3	K15204	Transcription machinery	Tfc3p
YAL002W	1116.4677	72.32380415244518	390763.69	60.82630551799662					
YAL003W	16989.828	1100.5862443272918	3533884.2	550.0846816510027	208.0	EFB1	K03232	Translation factors	translation elongation factor 1 subunit beta
YAL005C	8803.7279	570.2978173493218	5651993.3	879.7897042365169	642.0	Ssa1	K03283	Chaperones and folding catalysts	Hsp70 family ATPase SSA1
YAL007C	3711.2707	240.4128800712355	1298944.7	202.1938301718424		ERP2	K14825	Ribosome biogenesis	Erp2p
YAL008W	1540.4328	99.78789367323635	539151.48	83.92436012404337					
YAL009W	799.48077	51.78966720947329	279818.27	43.55653305591743					
YAL010C	814.17813	52.74174937557446	284962.35	44.35726093748958		MDM10	K17774	Mitochondrial biogenesis	Mdm10p
YAL011W	1509.2325	97.76676544292792	943270.31	146.82952774377625	625.0	SWC3	K11682	Chromosome-related	Swc3p
YAL012W	5592.9311	362.305200154487	2203614.9	343.01486187575307	394.0	CYS3	K01758	Amino acid metabolism	cystathionine gamma-lyase CYS3
YAL013W	1969.5594	127.58634066369088	689345.79	107.30361776982079					
YAL014C	1906.9735	123.53208063063795	486278.24	75.69410758966292	255.0	SYN8	K08501	SNARE interactions in vesicular transport	Syn8p
YAL015C	671.86807	43.52302776959989	268075.36	41.728630797828046	399.0	NTG1	K10773	Base excision repair	bifunctional N-glycosylase/AP lyase NTG1
YAL016W	3638.9289	235.72664134239866	2310719.9	359.6868342703863	635.0	TPD3	K03456	mRNA surveillance pathway	protein phosphatase 2A structural subunit TPD3
YAL017W	2644.0081	171.27653939462706	925402.83	144.04827445661263		PSK1	K08286	Other enzymes	Psk1p
YAL018C	125.72458	8.144328672534302	44003.603	6.849604168623325					
YAL019W	850.68251	55.10647128363004	297738.88	46.34605656289645		FUN30	K14439	Chromosome-related	Fun30p
YAL020C	871.72778	56.46976552475796	305104.72	47.4926237739817		ATS1	K15462	Transfer RNA biogenesis	Ats1p
YAL021C	2239.9127	145.09959171534894	1874806.9	291.8325837455577	837.0	CCR4	K12603	RNA degradation	Ccr4p
YAL022C	1170.3706	75.81558701624753	409629.71	63.76299161702654		FUN26	K15014	Alcoholism	Fun26p
YAL023C	6827.1655	442.25782845158034	5181818.6	806.602274900305	759.0	PMT2	K00728	Glycan metabolism	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2
YAL024C	1379.5719	89.36746482662838	1979685.7	308.1580256799423	1435.0	LTE1	K06681	Cell cycle	Lte1p
YAL025C	677.014	43.85637662823879	236954.9	36.88441764224905		MAK16	K14831	Ribosome biogenesis	Mak16p
YAL026C	1705.3611	110.47180514545873	2310764.3	359.69374557774194	1355.0	DRS2	K14802	Ribosome biogenesis	aminophospholipid-translocating P4-type ATPase DRS2
YAL027W	452.75961	29.32937277251949	158465.86	24.666807743913157		SAW1	K15080	DNA repair and recombination proteins	Saw1p
YAL028W	261.41801	16.934430756180365	91496.303	14.242321439960788					
YAL029C	2372.1424	153.66531638963784	830249.84	129.2367528418718		MYO4	K10357	Messenger RNA Biogenesis	myosin 4
YAL030W	1943.7906	125.91706026763147	229367.29	35.70332969620318	118.0	SNC1	K08513	SNARE interactions in vesicular transport	SNAP receptor SNC1
YAL031C	1481.6961	95.98298146004745	518593.63	80.72432363935069					
YAL032C	1001.145	64.8533001968617	385440.83	59.99774872811289	385.0	PRP45	K06063	Spliceosome	Prp45p
YAL033W	2276.8055	147.48947513233927	393887.35	61.312534669672274	173.0	POP5	K03537	Ribosome biogenesis in eukaryotes	Pop5p
YAL034C	1802.5666	116.76869268151599	630898.31	98.20567861575815					
YAL034W-A	659.40091	42.71541601497663	190566.86	29.66365182999805	289.0	MTW1	K11559	Chromosome-related	Mtw1p
YAL035W	6913.9805	447.8816284571645	6941636.4	1080.5356466493758	1004.0	FUN12	K03243	RNA transport	translation initiation factor eIF5B
YAL036C	2291.7801	148.45951666391355	802123.04	124.8585330281435					
YAL037C-A	85.570664	5.543193004446694	29949.732	4.661977546619339					
YAL037W	223.61354	14.485490151479496	78264.739	12.182695187723981					
YAL038W	19786.094	1281.7259177295236	9893047.0	1539.9524437029959	500.0	Pyk1	K00873	Glycolysis	pyruvate kinase CDC19
YAL039C	2894.5659	187.50745521607675	778638.23	121.20288572864108	269.0	CYC3	K01764	Cofactor biosynthesis	holocytochrome c synthase CYC3
YAL040C	4306.4856	278.9703823225028	2497761.6	388.8017594283647	580.0	CLN3	K06646	Cell cycle	Cln3p
YAL041W	1455.8791	94.31057871001386	1243320.8	193.5354096939764	854.0	CDC24	K11236	MAPK signaling pathway	Cdc24p
YAL042W	3010.3039	195.00486194355815	1053606.4	164.00445185200434					
YAL043C	1834.5853	118.84283615025753	642104.85	99.9500894791105		Pta1	K06100	mRNA surveillance pathway	Pta1p
YAL044C	7614.0306	493.2302635581169	2664910.7	414.82020096692776		Gcv3		Amino acid metabolism	glycine decarboxylase subunit H
YAL044W-A	2965.2025	192.08323257568563	1037820.9	161.54727972898974					
YAL046C	2786.8729	180.53119657412117	975405.51	151.83169540444587					
YAL047C	408.75497	26.47879056117665	143064.24	22.269390410710866		Spc72		Cytoskeleton proteins	
