Systematic name	Abundance (data value)	Abundance [ppm]	Size-weighted abundance	Size-weighted abundance [ppm]	Size	Gene name	KO number	KO category
A0AV56	28243587.0	77.5699817861	9885255400.0	62.0857803695	350			
Q9H173	2510999.0	6.8963671893	1175147500.0	7.38068432575	468.0	Sil1	K14001	Protein processing in endoplasmic reticulum
Q99798	25711670.0	70.6161640726	20697894000.0	129.996125441	805.0	Aco2	K01681	TCA cycle and anaplerotic enzymes
O95816	40798139.0	112.050601049	8608407300.0	54.0663506741	211.0	Bag2	K09556	Chaperones and folding catalysts
P21980	8170596.6	22.4402456191	5613199900.0	35.2545161516	687.0	Tgm2	K05625	CAM ligands
P16949	134878020.0	370.43756357	20096825000.0	126.221024403	149.0	StmN1	K04381	MAPK signaling pathway
Q9P2E9	441090670.0	1211.43944067	6.7927963e+11	4266.31424391	1540.0	RrbP1	K14000	Protein processing in endoplasmic reticulum
A2A3N8	17693915.0	48.5956923345	6192870200.0	38.8952195503	350			
P62753	200793870.0	551.473041957	49997674000.0	314.017643586	249.0	Rps6	K02991	Ribosome
P45880	210909670.0	579.255717782	62007443000.0	389.446739775	294.0	VdaC2	K05862	Calcium signaling pathway
O75955	1553100.8	4.265534713	917882570.0	5.76489461729	591.0	FloT1	K07192	Insulin signaling pathway
O15212	53460871.0	146.828332738	6896452400.0	43.3141696101	129.0	PfdN6	K04798	Chaperones and folding catalysts
P04439	3831319.7	10.522579846	1421419600.0	8.9274319709	371.0	Hla-a	K06751	Endocytosis
A2BFH1	4061090400.0	11153.6366949	6.6601883e+11	4183.02786606	164.0	PpiAl4g	K12738	Chaperones and folding catalysts
Q04917	105249640.0	289.064298306	25891411000.0	162.614762265	246.0	YwhAh	K06630	Cell cycle
A2T926	17814023.0	48.9255645767	6234908000.0	39.1592440507	350			
O95865	26564385.0	72.9581147256	7570849700.0	47.5498196723	285.0	DdaH2	K01482	Other enzymes
A5PL29	20609269.0	56.6026057864	7213244200.0	45.3038264598	350			
P30044	127379690.0	349.843673653	27259254000.0	171.205698629	214.0	PrdX5	K11187	Peroxisome
Q9GZQ8	14291064.0	39.2498861488	1786383000.0	11.2196375416	125.0	Map1lc3b	K10435	Cytoskeleton proteins
A6NCP5	1310903.4	3.60034838568	458816190.0	2.88166163135	350			
Q9UKK9	17470772.0	47.982838222	4053219100.0	25.4568304661	232.0	NudT5	K13987	Purine metabolism
A6NDF3	18804049.0	51.6446348842	6581417200.0	41.3355453415	350			
P08865	708582210.0	1946.09520114	2.0903175e+11	1312.85422537	295.0	RpsA	K02998	Ribosome
P61326	8398847.8	23.0671292166	1226231800.0	7.70152668154	146.0	MagOh	K12877	Spliceosome
O95861	8263204.8	22.6945906634	2677278400.0	16.8150353233	324.0	BpnT1	K01082	Amino acid metabolism
A6NFL3	32491973.0	89.2380190167	11372191000.0	71.4246950813	350			
Q9NYB9	4240638.3	11.646758455	2175447400.0	13.6632129385	513.0	Abi2	K05751	Regulation of actin cytoskeleton
