!!SBtab TableType='Proteomaps' Organism='mmu'
!ProteinIdentifier	!Abundance[original])	!Abundance[ppm]	!SizeWeightedAbundance[original]	!SizeWeightedAbundance[ppm]	!ProteinSize	!ProteinName	!Identifiers:kegg.orthology	!Pathway
17196	118571.43	35.7799734147	41500000.0	34.5112149547	350	Mbp		Myelin
69187	11562.286	3.48902164453	4046800.1	3.36530091879	350			
12954	1295918.4	391.054792032	254000010.0	211.22527575	196.0	Cryaa	K09541	Crystallins
11354	12588.286	3.79862618184	4405900.1	3.66392687759	350			
14077	584210.53	176.290673326	77700000.0	64.6149735417	133.0	Fabp3	K08752	PPAR signaling pathway
12961	342857.14	103.460161982	120000000.0	99.7914649293	350	Crybb2		Crystallins
12889	5943.4286	1.79348193152	2080200.0	1.72988504455	350			
12955	1331428.6	401.770307666	233000010.0	193.761769387	175.0	Cryab	K09542	Crystallins
380684	98165.138	29.622195059	107000000.0	88.9807228953	1090.0	Nefh	K04574	Amyotrophic lateral sclerosis (ALS)
226180	45436.508	13.7108665072	22900000.0	19.0435378907	504.0	Ina	K07608	Cytoskeleton proteins
18039	153775.32	46.4030573084	83499999.0	69.4382268484	543.0	Nefl	K04572	Cytoskeleton proteins
17189	917142.86	276.75593647	321000000.0	266.942168686	350	Mb		Hemoglobin
12960	331428.57	100.011490318	116000000.0	96.465082765	350			
110187	8866.8571	2.67565223182	3103400.0	2.58077360218	350			
20617	225714.29	68.1112751656	31600001.0	26.2784199296	140.0	Snca	K04528	Synaptic vesicle cycle
18823	7256.5714	2.18973433797	2539800.0	2.11208635523	350			
12962	133714.29	40.3494648025	46800002.0	38.9186729856	350	Crybb3		Crystallins
19194	15769.143	4.75847779952	5519200.0	4.58974211031	350			
G3UXD0	17470.0	5.27172638092	6114500.0	5.08479093592	350			
12373	13874.286	4.18668800931	4856000.1	4.03822803063	350			
21956	125913.62	37.9955439194	37900000.0	31.5174710068	301.0	Tnnt2	K12045	Cardiac muscle contraction
70350	18891.429	5.70065510204	6612000.2	5.49850988392	350			
22349	8766626.4	2645.40673523	7250000000.0	6029.06767281	827.0	Vil1	K05761	Cytoskeleton proteins
218038	6228.2799	1.87943832035	4272600.0	3.55307510881	686.0	Amph	K12562	Fc gamma R-mediated phagocytosis
21954	248341.23	74.9391536154	52400000.0	43.5756063525	211.0	Tnni3	K12044	Cardiac muscle contraction
66473	138783.27	41.8790741665	36500000.0	30.3532372493	263.0	Ctrb1	K01310	Pancreatic secretion
19752	83892.617	25.3153361307	12500000.0	10.3949442635	149.0	RnaSe1	K01168	Other enzymes
11723	802857.14	242.269213798	281000000.0	233.678347043	350			
21924	198757.76	59.9769047971	31999999.0	26.6110564829	161.0	Tnnc1	K05865	Calcium signaling pathway
68416	83714.286	25.2615231807	29300000.0	24.3657493536	350			
16204	496875.0	149.936407872	63600000.0	52.8894764125	128.0	Fabp6	K08755	PPAR signaling pathway
19660	388571.43	117.254851654	136000000.0	113.096993587	350			
22003	166901.41	50.3639705844	47400000.0	39.4176286471	284.0	Tpm1	K10373	Cardiac muscle contraction
22003	44014085.0	13281.6378378	12500000000.0	10394.9442635	284.0	Tpm1	K10373	Cardiac muscle contraction
22003	531690.14	160.442183029	151000000.0	125.570926703	284.0	Tpm1	K10373	Cardiac muscle contraction
22003	75352.113	22.7381638214	21400000.0	17.7961445791	284.0	Tpm1	K10373	Cardiac muscle contraction
22072	203252.03	61.3330903564	49999999.0	41.5797762223	246.0	Prss2	K01312	Neuroactive ligand-receptor interaction
282619	7080.8571	2.13671100021	2478300.0	2.06094322945	350			
12716	3157894.7	952.922541394	1320000000.0	1097.70611422	418.0	Ckmt1	K00933	Amino acid metabolism
19293	103142.86	31.1242665178	36100001.0	30.0205998645	350	Pvalb		Blood proteins
17906	1072289.2	323.57271114	178000010.0	148.024014628	166.0	Myl2	K10351	Cardiac muscle contraction
12409	561475.41	169.430150609	137000000.0	113.928589128	244.0	Cbr2	K00081	Lipid and steroid metabolism
227120	37142.857	11.208184265	13000000.0	10.810742034	350			
56727	17623.86	5.31815499116	5022800.1	4.17693816688	285.0	Miox	K00469	Carbohydrate metabolism
109901	93984.962	28.3607901308	25000000.0	20.7898885269	266.0	CelA1	K01326	Peptidases
12613	19866.444	5.99487446651	11900000.0	9.89598693882	599.0	Cel	K12298	Lipid and steroid metabolism
12307	75714.286	22.8474527143	26500000.0	22.0372818386	350			
12308	229714.29	69.3183103988	80400002.0	66.8602831658	350			
12970	93142.857	28.1066775295	32600000.0	27.1100146391	350	Crygs		Crystallins
22227	19453.42	5.87024083647	5972199.9	4.96645480726	307.0	Ucp1	K08769	PPAR signaling pathway
59006	1560.9143	0.471019639019	546320.01	0.454317284317	350			
109697	113126.49	34.136914809	47399999.0	39.4176278155	419.0	Cpa1	K08779	Pancreatic secretion
55948	4153225.8	1253.27246799	1030000000.0	856.54340731	248.0	Sfn	K06644	Cell cycle
215384	6542857.1	1974.36476134	2290000000.0	1904.35378907	350			
