!!SBtab TableType='Proteomaps' Organism='mmu'
!ProteinIdentifier	!Abundance[original])	!Abundance[ppm]	!SizeWeightedAbundance[original]	!SizeWeightedAbundance[ppm]	!ProteinSize	!ProteinName	!Identifiers:kegg.orthology	!Pathway
17196	48857.143	24.455200802	17100000.0	24.1085537865	350	Mbp		Myelin
69187	964.6	0.482825749627	337610.0	0.475981803734	350			
12954	358673.47	179.532227892	70300000.0	99.1129433444	196.0	Cryaa	K09541	Crystallins
11354	2218.9429	1.11068087194	776630.02	1.09493722862	350			
14077	413533.83	206.992309212	54999999.0	77.5421306519	133.0	Fabp3	K08752	PPAR signaling pathway
12961	124000.0	62.0675854798	43400000.0	61.1877914815	350	Crybb2		Crystallins
12889	8020.2857	4.01451426014	2807100.0	3.95760943474	350			
12955	554857.14	277.730991661	97100000.0	136.897109513	175.0	Cryab	K09542	Crystallins
380684	10917.431	5.46466598236	11900000.0	16.7772976643	1090.0	Nefh	K04574	Amyotrophic lateral sclerosis (ALS)
226180	882936.51	441.949494416	445000000.0	627.386341227	504.0	Ina	K07608	Cytoskeleton proteins
18039	839779.01	420.347221672	456000000.0	642.89476764	543.0	Nefl	K04572	Cytoskeleton proteins
17189	246285.71	123.277091596	86199998.0	121.529665975	350	Mb		Hemoglobin
20617	300000.0	150.163513258	42000000.0	59.2139917563	140.0	Snca	K04528	Synaptic vesicle cycle
18823	3749.4286	1.87675790428	1312300.0	1.85015527099	350			
12962	12305.143	6.15927834672	4306800.0	6.07197189752	350	Crybb3		Crystallins
19194	3752.0	1.87804500581	1313200.0	1.85142414225	350			
12373	36000.0	18.0196215909	12600000.0	17.7641975269	350			
21956	198006.64	99.1112423691	59599999.0	84.0274726062	301.0	Tnnt2	K12045	Cardiac muscle contraction
70350	119714.29	59.9223945784	41900002.0	59.0730088813	350			
22349	50906.892	25.4811925058	42100000.0	59.3549774509	827.0	Vil1	K05761	Cytoskeleton proteins
218038	15451.895	7.73436946562	10600000.0	14.9444836337	686.0	Amph	K12562	Fc gamma R-mediated phagocytosis
21954	73459.716	36.7698967915	15500000.0	21.852782672	211.0	Tnni3	K12044	Cardiac muscle contraction
66473	70342.205	35.2094421103	18500000.0	26.0823535117	263.0	Ctrb1	K01310	Pancreatic secretion
19752	8500.0	4.25463287563	1266500.0	1.78558382284	149.0	RnaSe1	K01168	Other enzymes
11723	79428.571	39.7575775813	27800000.0	39.1940231149	350			
21924	95031.056	47.5673241251	15300000.0	21.5708112826	161.0	Tnnc1	K05865	Calcium signaling pathway
68416	2574.8286	1.28881769537	901190.01	1.27054899579	350			
16204	129687.5	64.9144354186	16600000.0	23.4036253132	128.0	Fabp6	K08755	PPAR signaling pathway
19660	54857.143	27.4584710672	19200000.0	27.0692533743	350			
22003	202816.9	101.518994173	57600000.0	81.2077601229	284.0	Tpm1	K10373	Cardiac muscle contraction
22003	3626760.6	1815.3570448	1030000000.0	1452.15265498	284.0	Tpm1	K10373	Cardiac muscle contraction
22003	15103.873	7.56016877825	4289499.9	6.04758123136	284.0	Tpm1	K10373	Cardiac muscle contraction
22003	16859.155	8.43876648451	4788000.0	6.75039506022	284.0	Tpm1	K10373	Cardiac muscle contraction
22072	19719.919	9.87070772731	4851100.1	6.83935717453	246.0	Prss2	K01312	Neuroactive ligand-receptor interaction
282619	1654.9143	0.828359151427	579220.01	0.816617354695	350			
12716	17736.364	8.87784910218	7413800.2	10.4523977125	418.0	Ckmt1	K00933	Amino acid metabolism
19293	24515.429	12.2710764922	8580400.2	12.0971368264	350	Pvalb		Blood proteins
17906	728915.66	364.855121247	121000000.0	170.592690536	166.0	Myl2	K10351	Cardiac muscle contraction
17906	2514.3373	1.25853907494	417379.99	0.588446078264	166.0	Myl2	K10351	Cardiac muscle contraction
12409	37075.41	18.5579127369	9046400.0	12.7541298815	244.0	Cbr2	K00081	Lipid and steroid metabolism
227120	239428.57	119.844784151	83800000.0	118.146012123	350			
56727	2801.4386	1.40224620784	798410.0	1.12564388472	285.0	Miox	K00469	Carbohydrate metabolism
109901	9800.7519	4.9057177929	2607000.0	3.67549705973	266.0	CelA1	K01326	Peptidases
12613	16131.219	8.07440172722	9662600.2	13.622884014	599.0	Cel	K12298	Lipid and steroid metabolism
12307	17233.429	8.62610748038	6031700.2	8.50383442665	350			
12308	31142.857	15.5884027333	10900000.0	15.3674407177	350			
12970	7897.4286	3.95301874759	2764100.0	3.89698558604	350	Crygs		Crystallins
22227	1975.2117	0.988682427665	606389.99	0.854923139737	307.0	Ucp1	K08769	PPAR signaling pathway
59006	2287.4	1.14494673408	800590.0	1.12871737286	350			
109697	52505.967	26.2816015723	22000000.0	31.0168528247	419.0	Cpa1	K08779	Pancreatic secretion
55948	235080.65	117.668454343	58300001.0	82.1946613954	248.0	Sfn	K06644	Cell cycle
215384	11040.0	5.52601728788	3864000.0	5.44768724158	350			
13706	8451.2915	4.23025207735	2290300.0	3.22899536475	271.0	Cela2a	K01346	Pancreatic secretion
26950	45428.571	22.7390460788	15900000.0	22.4167254506	350			
18378	1001.4286	0.501260122842	350500.01	0.494154873874	350			
12797	11066.0	5.53903145903	3873100.0	5.46051693979	350			
12957	74571.429	37.3263592242	26100000.0	36.7972663057	350	Cryba1		Crystallins
22287	7408.5714	3.70832369881	2593000.0	3.65575906248	350			
16612	25863.985	12.9460895148	6750500.1	9.51723945886	261.0	Klk1	K01325	Endocrine and other factor-regulated calcium reabsorption
14120	7697.3451	3.85286794324	2609400.0	3.6788807164	339.0	Fbp2	K03841	Glycolysis
17897	383333.33	191.875598605	78199999.0	110.250811813	204.0	Myl3	K12749	Cardiac muscle contraction
22074	3943.1429	1.97372063713	1380100.0	1.94574357197	350			
29818	19889.349	9.95551507415	3361300.0	4.73895215453	169.0	HspB7	K09546	Chaperones and folding catalysts
107753	97692.308	48.8994006251	12700000.0	17.9051832215	130.0	LgaLs2	K10090	Glycan binding proteins
140781	242377.26	121.320736318	469000000.0	661.222907945	1935.0	Myh7	K17751	Cardiac muscle contraction
22004	859154.93	430.045742404	244000000.0	344.005094965	284.0	Tpm2	K10374	Cardiac muscle contraction
22004	44718.31	22.3835284551	12700000.0	17.9051832215	284.0	Tpm2	K10374	Cardiac muscle contraction
12652	34000.0	17.0185315025	11900000.0	16.7772976643	350	Chga		Signaling molecules
69117	4921.4286	2.46339669607	1722500.0	2.42847859048	350			
21345	468571.43	234.541107136	164000000.0	231.216539239	350			
76703	13102.571	6.55842698022	4585899.8	6.46546268934	350	Cpb1	K01291	Pancreatic secretion
18040	705188.68	352.978698994	598000000.0	843.094454054	848.0	Nefm	K04573	Cytoskeleton proteins
17888	279669.76	139.987312378	541999990.0	764.142450947	1938.0	Myh6	K17751	Cardiac muscle contraction
14580	5817.4419	2.91189171292	2501500.0	3.52675715186	430.0	GfaP	K05640	Cytoskeleton proteins
233335	20948.11	10.4854726457	32700000.0	46.1023221531	1561.0	SynM	K10376	Cytoskeleton proteins
18946	16347.569	8.18269464753	7732400.1	10.9015779947	473.0	Pnliprp1	K14074	Lipid and steroid metabolism
20259	14405.594	7.21064868534	10300000.0	14.5215265498	715.0	Scin	K05768	Fc gamma R-mediated phagocytosis
17901	978723.4	489.895147505	184000000.0	259.41367817	188.0	Myl1	K05738	Cytoskeleton proteins
23795	5316.5714	2.66118346636	1860800.0	2.62346180619	350			
56370	754285.71	377.553974045	264000000.0	372.202233897	350			
11847	15138.418	7.5774601068	5359000.0	7.55542337671	354.0	Arg2	K01476	Amino acid metabolism
69191	44212.524	22.1303597794	23300000.0	32.8496668553	527.0	PdiA2	K09581	Chaperones and folding catalysts
66284	1219.0	0.61016440887	426650.0	0.601515466257	350			
17907	952662.72	476.850603282	161000000.0	226.986968399	169.0	Mylpf	K12758	Focal adhesion
106393	82857.143	41.4737323045	29000000.0	40.8858514508	350			
18645	878571.43	439.764575255	123000000.0	173.412404429	140.0	Pfn2	K05759	Rap1 signaling pathway
53318	18113.714	9.06672977461	6339799.9	8.93821092893	350			
11770	361363.64	180.878779153	47700000.0	67.2501763518	132.0	Fabp4	K08753	PPAR signaling pathway
69060	9476.129	4.74322940907	4406400.0	6.2123936494	465.0	Pnlip	K14073	Lipid and steroid metabolism
68738	15102.639	7.55955110567	10300000.0	14.5215265498	682.0	Acss1	K01895	Glycolysis
20215	686.54286	0.343645626198	240290.0	0.338774525693	350			
20618	166857.14	83.519514515	58399999.0	82.3356442703	350			
17896	647668.39	324.187202894	125000000.0	176.232118322	193.0	Myl4	K12750	Cardiac muscle contraction
99709	1477.5429	0.739576776176	517140.01	0.729093435452	350			
21953	84615.385	42.3538116241	15400000.0	21.7117969773	182.0	TnnI2	K12043	Cytoskeleton proteins
11636	348969.07	174.674738565	67700000.0	95.4473152833	194.0	Ak1	K00939	Purine metabolism
16855	3348.4663	1.67605821211	1091600.0	1.53899984288	326.0	LgaLs4	K10091	Glycan binding proteins
67041	350000.0	175.190765467	182000000.0	256.593964277	520.0	Oxct1	K01027	Butanoate metabolism
67931	7663.7143	3.83603421297	2682300.0	3.78165928781	350			
66283	4149.7143	2.07711892768	1452400.0	2.04767622921	350			
20199	1259.5714	0.630472222076	440849.99	0.6215354208	350			
12346	88505.747	44.3011130433	23100000.0	32.567695466	261.0	Car1	K01672	Amino acid metabolism
12180	12724.286	6.36907829818	6234900.1	8.7903172172	490.0	SmyD1	K11426	Chromosome-related
76722	6004.2959	3.00542055661	2515800.0	3.5469181062	419.0	Ckmt2	K00933	Amino acid metabolism
103968	852.51451	0.426721913082	440750.0	0.621394449204	517.0	Plin1	K08768	PPAR signaling pathway
12865	74643.75	37.3625591424	5971500.0	8.41896075649	80.0	Cox7a1	K02270	Oxidative phosphorylation
380683	4608.2857	2.30665456935	1612900.0	2.27395826914	350			
12709	3464566.9	1734.17179207	1320000000.0	1861.01116948	381.0	Ckb	K00933	Amino acid metabolism
12036	186513.99	93.3586533669	73299998.0	103.342511364	393.0	Bcat2	K00826	Amino acid metabolism
18951	395663.96	198.047634343	146000000.0	205.8391142	369.0	Sept5	K04557	Parkinson's disease
16765	1489932.9	745.778529273	222000000.0	312.98824214	149.0	Stmn1	K04381	MAPK signaling pathway
19701	1572.6119	0.787163092982	632189.98	0.89129743486	402.0	Ren1	K01380	Renin-angiotensin system
11475	5066313.0	2535.91786447	1910000000.0	2692.82676796	377.0	Acta2	K12313	Vascular smooth muscle contraction
59011	6159.4286	3.08307146078	2155800.0	3.03936960543	350			
19285	52285.714	26.1713550247	18300000.0	25.8003821224	350			
11754	980.94118	0.491005246293	750420.0	1.05798484985	765.0	Aoc3	K00276	Amino acid metabolism
236539	1397748.6	699.636134756	745000000.0	1050.3434252	533.0	Phgdh	K00058	Amino acid metabolism
17756	444748.36	222.61658751	813000000.0	1146.21369757	1828.0	MtaP2	K10430	Cytoskeleton proteins
17756	2463.2932	1.23298920365	4502900.0	6.34844484475	1828.0	MtaP2	K10430	Cytoskeleton proteins
11472	126398.21	63.2679976102	113000000.0	159.313834963	894.0	Actn2	K05699	Focal adhesion
20200	12477.714	6.24565790554	4367199.9	6.15712711611	350			
12722	1818.4009	0.910191558849	1660200.0	2.34064450271	913.0	Clca1	K05027	Olfactory transduction
17762	95907.231	48.0058891792	70300000.0	99.1129433444	733.0	Mapt	K04380	MAPK signaling pathway
17762	13778.99	6.89700515847	10100000.0	14.2395551604	733.0	Mapt	K04380	MAPK signaling pathway
18600	662.3477	0.331534858767	445760.0	0.628457832507	673.0	PadI2	K01481	Other enzymes
17882	110285.71	55.2029655857	38599998.0	54.4204753182	350	Myh2	K10352	Tight junction
22223	2197309.4	1099.85233073	490000000.0	690.829903823	223.0	Uchl1	K05611	Ubiquitin labeling
67373	13304.857	6.65968023503	4656700.0	6.56528084313	350			
75600	496.88571	0.24871367967	173910.0	0.245188221579	350			
17957	27673.714	13.8519403971	9685799.9	13.6555922722	350			
24131	33428.571	16.7325055485	11700000.0	16.495326275	350			
17156	455.95944	0.228228238044	292270.0	0.412058889776	641.0	Man1a2	K01230	Glycan metabolism
14264	23198.138	11.6117130104	8722499.9	12.2974770755	376.0	FmoD	K08121	Glycan metabolism
12389	53552.809	26.8055931475	9532400.0	13.4393203576	178.0	Cav1	K06278	Endocytosis
17868	15039.37	7.52788212127	19100000.0	26.9282676796	1270.0	Mybpc3	K12568	Hypertrophic cardiomyopathy (HCM)
69824	1343.3143	0.672389315657	470160.01	0.662858356102	350			
13346	184008.53	92.1045577805	86300001.0	121.6706559	469.0	Des	K07610	Cytoskeleton proteins
