SACOL2702	hisD	K00013	histidinol dehydrogenase 
SACOL2703	hisG	K00765	ATP phosphoribosyltransferase catalytic subunit 
SACOL2700	hisB	K01693	imidazoleglycerol-phosphate dehydratase 
SACOL0968	spsA	K03100	signal peptidase IA, inactive
SACOL0842	eno	K01689	phosphopyruvate hydratase 
SACOL0841	pgm	K15633	phosphoglyceromutase 
SACOL0840	tpiA	K01803	triosephosphate isomerase 
SACOL0845	est	K03928	carboxylesterase 
SACOL0844	secG	K03075	preprotein translocase subunit SecG
SACOL0960	rocD	K00819	ornithine--oxo-acid transaminase 
SACOL0961	gluD	K00260	glutamate dehydrogenase 
SACOL0963	argH	K01755	argininosuccinate lyase 
SACOL0964	argG	K01940	argininosuccinate synthase 
SACOL0966	pgi	K01810	glucose-6-phosphate isomerase 
SACOL1161	murI	K01776	glutamate racemase 
SACOL1160	sdhB	K00240	succinate dehydrogenase iron-sulfur subunit 
SACOL1100	def	K01462	peptide deformylase 
SACOL1001	trpS	K01867	tryptophanyl-tRNA synthetase 
SACOL1168	efb	K14200	fibrinogen-binding protein
SACOL2739	rnpA	K03536	ribonuclease P 
SACOL1363	thrC	K01733	threonine synthase 
SACOL1362	hom	K00003	homoserine dehydrogenase 
SACOL1364	thrB	K00872	homoserine kinase 
SACOL2362	mqo1	K00116	malate:quinone oxidoreductase 
SACOL1962	gatC	K02435	aspartyl/glutamyl-tRNA amidotransferase subunit C 
SACOL1369	rpmG	K02913	50S ribosomal protein L33
SACOL1368	kataA	K03781	catalase 
SACOL1513	hup	K03530	DNA-binding protein HU
SACOL2639	cysJ	K00380	sulfite reductase (NADPH) flavoprotein alpha-component 
SACOL2149	mtlD	K00009	mannitol-1-phosphate 5-dehydrogenase 
SACOL1181	arcB1	K00611	ornithine carbamoyltransferase 
SACOL2145	glmS	K00820	glucosamine--fructose-6-phosphate aminotransferase 
SACOL1182	arcC1	K00926	carbamate kinase 
SACOL2634	nrdG	K04068	anaerobic ribonucleoside-triphosphate reductase activating protein
SACOL2635	nrdD	K00527	anaerobic ribonucleoside triphosphate reductase 
SACOL2225	rpsH	K02994	30S ribosomal protein S8
SACOL2224	rplF	K02933	50S ribosomal protein L6
SACOL2227	rplE	K02931	50S ribosomal protein L5
SACOL2226	rpsN	K02954	30S ribosomal protein S14
SACOL2221	rpmD	K02907	50S ribosomal protein L30
SACOL2220	rplO	K02876	50S ribosomal protein L15
SACOL2223	rplR	K02881	50S ribosomal protein L18
SACOL2222	rpsE	K02988	30S ribosomal protein S5
SACOL2229	rplN	K02874	50S ribosomal protein L14
SACOL2228	rplX	K02895	50S ribosomal protein L24
SACOL1268	gid	K04094	tRNA (uracil-5-)-methyltransferase Gid
SACOL1269	xerC	K03733	tyrosine recombinase XerC
SACOL0969	spsB	K03100	signal peptidase IB 
SACOL2737	gidA	K03495	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
SACOL1267	topA	K03168	DNA topoisomerase I 
SACOL1260	rbgA	K14540	ribosomal biogenesis GTPase
SACOL1261	rnhB	K03470	ribonuclease HII 
SACOL1262	sucC	K01903	succinyl-CoA synthetase subunit beta 
SACOL1263	sucD	K01902	succinyl-CoA synthetase subunit alpha 
SACOL1505	aroB	K01735	3-dehydroquinate synthase 
SACOL1504	aroA	K00800	3-phosphoshikimate 1-carboxyvinyltransferase 
SACOL1506	aroC	K01736	chorismate synthase 
SACOL0991	oppB	K15581	oligopeptide ABC transporter permease
SACOL1518	cmk	K00945	cytidylate kinase 
SACOL0993	oppD	K15583	oligopeptide ABC transporter ATP-binding protein
SACOL0992	oppC	K15582	oligopeptide ABC transporter permease
SACOL1462	thyA	K00560	thymidylate synthase 
SACOL1461	folA	K00287	dihydrofolate reductase 
SACOL1509	ndk	K00940	nucleoside diphosphate kinase 
SACOL1982	ppaC	K15986	manganese-dependent inorganic pyrophosphatase 
SACOL0515	gltD	K00266	glutamate synthase 
SACOL1984	aldA2	K00128	aldehyde dehydrogenase 
SACOL2030	scrR	K03484	sucrose operon repressor
SACOL1862	hsdM2	K03427	type I restriction-modification system, M subunit 
SACOL1861	hsdS	K01154	type I restriction-modification enzyme, S subunit, EcoA family protein
SACOL2130	deoD	K03784	purine nucleoside phosphorylase 
SACOL2135	manA1	K01809	mannose-6-phosphate isomerase, class I 
SACOL0459	pbuX	K16169	xanthine permease
SACOL0190	acpD	K01118	azoreductase
SACOL0566	nupC	K11535	nucleoside permease NupC
SACOL0567	ctsR	K03708	transcriptional regulator CtsR
SACOL0560	folK	K00950	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase 
SACOL0562	lysS	K04567	lysyl-tRNA synthetase 
SACOL0205	pflA	K04069	pyruvate formate-lyase-activating enzyme 
SACOL1210	pyrR	K02825	bifunctional pyrimidine regulatory protein PyrR uracil phosphoribosyltransferase 
SACOL1213	pyrC	K01465	dihydroorotase 
SACOL1212	pyrB	K00609	aspartate carbamoyltransferase catalytic subunit 
SACOL1215	carB	K01955	carbamoyl phosphate synthase large subunit 
SACOL1214	carA	K01956	carbamoyl phosphate synthase small subunit 
SACOL1217	pyrE	K00762	orotate phosphoribosyltransferase 
SACOL1216	pyrF	K01591	orotidine 5'-phosphate decarboxylase 
SACOL0033	mecA	K02545	penicillin-binding protein 2' 
SACOL0034	mecR1	K02547	methicillin-resistance MecR1 regulatory protein
SACOL0743	uppP	K06153	UDP pyrophosphate phosphatase 
SACOL0588	rpoB	K03043	DNA-directed RNA polymerase subunit beta 
SACOL0589	rpoC	K03046	DNA-directed RNA polymerase subunit beta' 
SACOL1608	rpmG	K02913	50S ribosomal protein L33
SACOL1609	pbp3	K12553	penicillin-binding protein 3
SACOL0582	nusG	K02601	transcription antitermination protein
SACOL0583	rplK	K02867	50S ribosomal protein L11
SACOL1604	glk	K00845	glucokinase 
